Topic,Subject,Title,"District 01 Value","District 01 MOE","District 02 Value","District 02 MOE","District 03 Value","District 03 MOE","District 04 Value","District 04 MOE","District 05 Value","District 05 MOE","District 06 Value","District 06 MOE","District 07 Value","District 07 MOE","District 08 Value","District 08 MOE","District 09 Value","District 09 MOE","District 10 Value","District 10 MOE","District 11 Value","District 11 MOE","District 12 Value","District 12 MOE","District 13 Value","District 13 MOE","District 14 Value","District 14 MOE","District 15 Value","District 15 MOE","District 16 Value","District 16 MOE"
People,Ancestry,Scottish,11983,"(+/-2,531)",13634,"(+/-2,003)",10842,"(+/-1,924)",13273,"(+/-2,079)",12269,"(+/-1,819)",14338,"(+/-2,239)",13746,"(+/-2,147)",11808,"(+/-2,066)",9332,"(+/-1,375)",15834,"(+/-3,029)",5195,"(+/-1,149)",23860,"(+/-3,920)",11824,"(+/-1,826)",13566,"(+/-2,160)",16299,"(+/-2,674)",13922,"(+/-2,071)"
People,Ancestry,Slovak,1032,(+/-504),708,(+/-334),1215,(+/-692),4198,"(+/-1,341)",1931,(+/-639),7916,"(+/-1,442)",9542,"(+/-2,337)",1565,"(+/-1,079)",15497,"(+/-2,136)",1156,(+/-584),7272,"(+/-1,466)",4238,"(+/-1,376)",23213,"(+/-2,629)",18258,"(+/-2,375)",3093,"(+/-1,093)",20082,"(+/-2,840)"
People,Ancestry,"Subsaharan African",8915,"(+/-2,331)",4098,"(+/-1,856)",42923,"(+/-8,107)",4978,"(+/-1,468)",1730,(+/-792),1177,(+/-641),3869,"(+/-1,863)",3492,"(+/-1,541)",7638,"(+/-2,005)",9810,"(+/-2,905)",7937,"(+/-1,973)",5197,"(+/-2,298)",5399,"(+/-1,729)",1312,(+/-864),3810,"(+/-2,064)",586,(+/-527)
People,Ancestry,Swedish,3858,"(+/-1,097)",3283,"(+/-1,029)",4535,"(+/-1,730)",3701,"(+/-1,481)",4024,"(+/-1,152)",3364,"(+/-1,158)",3314,(+/-932),4540,"(+/-1,436)",4260,"(+/-1,380)",4632,"(+/-1,452)",2133,(+/-611),5459,"(+/-1,474)",5037,"(+/-1,343)",7296,"(+/-1,559)",4216,"(+/-1,276)",4889,"(+/-1,215)"
People,Ancestry,Swiss,2411,"(+/-1,015)",3806,"(+/-1,453)",3051,"(+/-1,030)",5100,"(+/-1,436)",6027,"(+/-1,365)",5319,"(+/-1,660)",12644,"(+/-2,320)",2123,"(+/-1,215)",1947,(+/-550),2381,(+/-791),1711,(+/-598),3950,(+/-940),2303,(+/-660),4111,"(+/-1,526)",3684,"(+/-1,191)",10718,"(+/-1,970)"
People,Ancestry,Ukrainian,928,(+/-616),663,(+/-315),1559,(+/-641),685,(+/-415),1604,(+/-674),1265,(+/-541),2651,"(+/-1,079)",899,(+/-855),4715,"(+/-1,100)",1298,(+/-810),3449,(+/-872),1144,(+/-609),4144,"(+/-1,165)",5474,"(+/-1,506)",1719,(+/-690),8818,"(+/-1,842)"
People,Ancestry,Welsh,3965,"(+/-1,841)",5473,"(+/-1,120)",6977,"(+/-1,605)",7013,"(+/-1,709)",5454,"(+/-1,313)",10523,"(+/-1,722)",8182,"(+/-1,646)",5694,"(+/-1,232)",4340,"(+/-1,098)",5666,"(+/-1,481)",3337,(+/-847),12665,"(+/-2,395)",14470,"(+/-2,175)",7177,"(+/-1,490)",10292,"(+/-2,090)",8595,"(+/-1,776)"
People,Ancestry,"West Indian (excluding Hispanic origin groups)",991,(+/-666),247,(+/-256),2649,"(+/-1,585)",1390,(+/-771),377,(+/-273),201,(+/-164),236,(+/-265),650,(+/-531),1702,"(+/-1,106)",2609,"(+/-1,386)",4713,"(+/-1,758)",1040,(+/-582),461,(+/-299),333,(+/-253),815,(+/-520),595,(+/-408)
People,"Veteran Status","Civilian population 18 years and over",551950,"(+/-5,685)",562525,"(+/-6,603)",579205,"(+/-8,997)",550775,"(+/-4,445)",554710,"(+/-4,422)",554057,"(+/-4,646)",568441,"(+/-6,603)",554946,"(+/-1,344)",552656,"(+/-7,697)",557842,"(+/-1,234)",546869,"(+/-7,233)",583828,"(+/-7,021)",565796,"(+/-6,285)",560005,"(+/-6,057)",578272,"(+/-8,357)",554879,"(+/-8,086)"
People,"Veteran Status","Civilian veterans",42902,"(+/-3,103)",47066,"(+/-2,896)",40366,"(+/-2,904)",52548,"(+/-2,913)",45481,"(+/-2,273)",52148,"(+/-2,537)",50111,"(+/-3,036)",51375,"(+/-2,742)",44376,"(+/-3,024)",59713,"(+/-3,431)",36191,"(+/-2,637)",44996,"(+/-3,119)",50837,"(+/-2,948)",47094,"(+/-2,831)",47640,"(+/-3,165)",48054,"(+/-3,042)"
People,"Disability Status of the Civilian Noninstitutionalized Population","Total civilian noninstitutionalized population",717584,"(+/-8,613)",723193,"(+/-9,567)",761711,"(+/-11,298)",693292,"(+/-5,655)",713042,"(+/-6,557)",682002,"(+/-6,539)",737892,"(+/-7,807)",720565,"(+/-2,203)",703060,"(+/-10,720)",708315,"(+/-2,246)",692676,"(+/-10,104)",754582,"(+/-9,388)",701035,"(+/-9,529)",707861,"(+/-8,278)",726619,"(+/-10,782)",698600,"(+/-9,152)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",84311,"(+/-4,242)",105024,"(+/-5,300)",96700,"(+/-4,201)",102969,"(+/-4,540)",91563,"(+/-4,073)",121616,"(+/-5,158)",94088,"(+/-4,640)",103711,"(+/-5,242)",119139,"(+/-5,657)",105261,"(+/-5,050)",116019,"(+/-4,142)",83332,"(+/-4,607)",101455,"(+/-4,179)",84410,"(+/-4,046)",101668,"(+/-4,696)",82046,"(+/-3,769)"
People,"Disability Status of the Civilian Noninstitutionalized Population","Under 18 years",177524,"(+/-4,427)",167773,"(+/-5,007)",187683,"(+/-6,062)",162284,"(+/-3,270)",165963,"(+/-3,872)",144690,"(+/-3,184)",176626,"(+/-4,336)",172249,"(+/-1,258)",156729,"(+/-6,543)",158547,"(+/-1,072)",157306,"(+/-5,340)",180879,"(+/-5,173)",144034,"(+/-5,131)",155888,"(+/-4,630)",168544,"(+/-5,368)",150052,"(+/-5,675)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",8451,"(+/-1,752)",8039,"(+/-1,668)",8802,"(+/-1,590)",9256,"(+/-1,454)",9194,"(+/-1,562)",7172,"(+/-1,328)",7251,"(+/-1,330)",9049,"(+/-1,514)",13400,"(+/-2,150)",9784,"(+/-2,099)",8782,"(+/-1,512)",7066,"(+/-1,334)",6509,"(+/-1,257)",6576,"(+/-1,425)",8710,"(+/-1,464)",5052,"(+/-1,004)"
People,"Disability Status of the Civilian Noninstitutionalized Population","18 to 64 years",445340,"(+/-6,199)",443555,"(+/-6,281)",500614,"(+/-8,668)",420311,"(+/-4,530)",432075,"(+/-4,241)",411685,"(+/-4,855)",435464,"(+/-6,288)",440324,"(+/-1,606)",448814,"(+/-8,129)",433116,"(+/-1,765)",430287,"(+/-7,328)",470118,"(+/-6,419)",435808,"(+/-6,316)",423981,"(+/-6,225)",455405,"(+/-7,572)",418192,"(+/-7,720)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",44832,"(+/-2,979)",56992,"(+/-4,280)",60547,"(+/-3,685)",53188,"(+/-3,196)",44272,"(+/-2,961)",68475,"(+/-4,229)",45018,"(+/-3,302)",56153,"(+/-4,019)",66377,"(+/-4,137)",55689,"(+/-3,719)",65903,"(+/-3,366)",42292,"(+/-3,301)",54145,"(+/-3,250)",38069,"(+/-3,206)",57181,"(+/-3,510)",38799,"(+/-2,980)"
People,"Disability Status of the Civilian Noninstitutionalized Population","65 years and over",94720,"(+/-2,694)",111865,"(+/-3,242)",73414,"(+/-2,947)",110697,"(+/-2,319)",115004,"(+/-1,889)",125627,"(+/-2,389)",125802,"(+/-3,200)",107992,"(+/-1,165)",97517,"(+/-3,547)",116652,"(+/-1,082)",105083,"(+/-3,616)",103585,"(+/-3,198)",121193,"(+/-3,289)",127992,"(+/-3,414)",102670,"(+/-3,390)",130356,"(+/-4,373)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",31028,"(+/-2,228)",39993,"(+/-2,647)",27351,"(+/-2,219)",40525,"(+/-2,478)",38097,"(+/-2,153)",45969,"(+/-2,508)",41819,"(+/-2,974)",38509,"(+/-2,161)",39362,"(+/-2,501)",39788,"(+/-2,424)",41334,"(+/-2,599)",33974,"(+/-2,662)",40801,"(+/-2,663)",39765,"(+/-2,296)",35777,"(+/-2,695)",38195,"(+/-2,256)"
People,"Residence 1 Year Ago","Population 1 year and over",722322,"(+/-8,232)",722517,"(+/-9,393)",756524,"(+/-11,248)",703385,"(+/-5,400)",713121,"(+/-6,662)",693033,"(+/-6,182)",737761,"(+/-7,800)",717720,"(+/-2,101)",701211,"(+/-10,837)",711532,"(+/-1,938)",696796,"(+/-10,020)",757485,"(+/-9,198)",701578,"(+/-9,042)",709221,"(+/-8,427)",738371,"(+/-10,162)",699565,"(+/-9,072)"
People,"Residence 1 Year Ago","Same house",600247,"(+/-8,639)",621735,"(+/-11,546)",580968,"(+/-14,519)",602536,"(+/-7,329)",610140,"(+/-7,837)",604764,"(+/-9,139)",645580,"(+/-9,158)",599387,"(+/-7,484)",568100,"(+/-10,908)",576459,"(+/-7,121)",573750,"(+/-11,425)",636783,"(+/-11,882)",611776,"(+/-10,226)",639513,"(+/-9,735)",628409,"(+/-10,400)",619797,"(+/-10,657)"
People,"Residence 1 Year Ago","Different house in the U.S.",118001,"(+/-8,490)",97428,"(+/-7,004)",169525,"(+/-9,971)",99387,"(+/-6,805)",101064,"(+/-6,364)",87154,"(+/-6,445)",89834,"(+/-6,842)",115957,"(+/-7,630)",130201,"(+/-7,434)",129970,"(+/-7,524)",117444,"(+/-7,989)",117863,"(+/-8,626)",86788,"(+/-8,428)",66528,"(+/-5,096)",107618,"(+/-7,212)",77602,"(+/-6,271)"
People,"Residence 1 Year Ago","Same county",73425,"(+/-7,206)",62139,"(+/-5,062)",122463,"(+/-9,419)",61071,"(+/-5,308)",62838,"(+/-5,641)",55340,"(+/-6,512)",55704,"(+/-5,439)",73001,"(+/-6,252)",97483,"(+/-7,664)",82750,"(+/-6,853)",89323,"(+/-6,859)",68186,"(+/-8,149)",57606,"(+/-7,872)",40910,"(+/-4,439)",56737,"(+/-5,938)",49464,"(+/-6,281)"
People,"Residence 1 Year Ago","Different county",44576,"(+/-5,566)",35289,"(+/-3,963)",47062,"(+/-4,392)",38316,"(+/-4,399)",38226,"(+/-4,123)",31814,"(+/-2,973)",34130,"(+/-4,964)",42956,"(+/-4,973)",32718,"(+/-3,568)",47220,"(+/-4,974)",28121,"(+/-3,834)",49677,"(+/-4,846)",29182,"(+/-3,831)",25618,"(+/-2,718)",50881,"(+/-4,557)",28138,"(+/-4,022)"
People,"Residence 1 Year Ago","Same state",28201,"(+/-4,045)",23535,"(+/-3,733)",28415,"(+/-3,278)",27802,"(+/-3,618)",27016,"(+/-3,107)",16306,"(+/-2,761)",26372,"(+/-4,945)",27684,"(+/-4,274)",19269,"(+/-2,870)",28718,"(+/-3,967)",14641,"(+/-2,926)",36794,"(+/-4,413)",21131,"(+/-3,384)",18831,"(+/-2,735)",34009,"(+/-3,820)",21725,"(+/-3,509)"
People,"Residence 1 Year Ago","Different state",16375,"(+/-3,091)",11754,"(+/-2,367)",18647,"(+/-3,173)",10514,"(+/-2,069)",11210,"(+/-2,458)",15508,"(+/-1,938)",7758,"(+/-1,765)",15272,"(+/-3,327)",13449,"(+/-2,759)",18502,"(+/-2,878)",13480,"(+/-2,526)",12883,"(+/-2,903)",8051,"(+/-1,601)",6787,"(+/-1,534)",16872,"(+/-3,053)",6413,"(+/-2,237)"
People,"Residence 1 Year Ago",Abroad,4074,"(+/-1,747)",3354,"(+/-1,457)",6031,"(+/-1,618)",1462,(+/-590),1917,(+/-753),1115,(+/-516),2347,"(+/-1,004)",2376,"(+/-1,028)",2910,"(+/-1,329)",5103,"(+/-1,811)",5602,"(+/-2,068)",2839,"(+/-1,342)",3014,"(+/-1,210)",3180,"(+/-2,156)",2344,(+/-909),2166,(+/-960)
Workers,"Employment Status","Population 16 years and over",573635,"(+/-6,136)",581705,"(+/-7,008)",599532,"(+/-8,883)",570627,"(+/-5,024)",576356,"(+/-4,848)",571865,"(+/-5,064)",590431,"(+/-7,028)",575201,"(+/-1,958)",570163,"(+/-7,920)",579855,"(+/-1,475)",564279,"(+/-7,936)",604116,"(+/-7,419)",583430,"(+/-6,697)",580736,"(+/-6,328)",598791,"(+/-8,238)",574533,"(+/-8,423)"
Workers,"Employment Status","In labor force",375204,"(+/-6,519)",361873,"(+/-7,310)",409212,"(+/-8,274)",352967,"(+/-5,956)",377051,"(+/-5,472)",317681,"(+/-5,576)",376031,"(+/-6,884)",363936,"(+/-5,016)",361193,"(+/-8,315)",359915,"(+/-4,238)",339061,"(+/-7,053)",404449,"(+/-7,391)",353415,"(+/-7,193)",373483,"(+/-6,931)",370717,"(+/-8,556)",374310,"(+/-8,041)"
Workers,"Employment Status","Civilian labor force",374913,"(+/-6,555)",361630,"(+/-7,294)",408963,"(+/-8,283)",352884,"(+/-5,965)",376355,"(+/-5,499)",317556,"(+/-5,572)",375833,"(+/-6,885)",363729,"(+/-5,020)",361014,"(+/-8,333)",356427,"(+/-4,204)",338985,"(+/-7,050)",404034,"(+/-7,382)",353372,"(+/-7,206)",373343,"(+/-6,939)",370406,"(+/-8,567)",374195,"(+/-8,052)"
Workers,"Employment Status",Employed,349212,"(+/-6,368)",342538,"(+/-7,321)",377530,"(+/-8,079)",331707,"(+/-5,714)",358570,"(+/-5,716)",296236,"(+/-4,998)",355488,"(+/-6,786)",343113,"(+/-5,443)",328828,"(+/-7,900)",330534,"(+/-3,969)",297073,"(+/-6,755)",384798,"(+/-7,591)",327699,"(+/-7,444)",356586,"(+/-6,843)",351267,"(+/-8,048)",358563,"(+/-7,768)"
Workers,"Employment Status",Unemployed,25701,"(+/-3,050)",19092,"(+/-2,179)",31433,"(+/-2,920)",21177,"(+/-2,349)",17785,"(+/-2,378)",21320,"(+/-2,713)",20345,"(+/-2,840)",20616,"(+/-2,533)",32186,"(+/-2,998)",25893,"(+/-2,416)",41912,"(+/-2,994)",19236,"(+/-2,277)",25673,"(+/-2,771)",16757,"(+/-2,191)",19139,"(+/-2,380)",15632,"(+/-2,037)"
Workers,"Employment Status","Armed Forces",291,(+/-197),243,(+/-303),249,(+/-253),83,(+/-99),696,(+/-411),125,(+/-116),198,(+/-158),207,(+/-178),179,(+/-154),3488,(+/-594),76,(+/-130),415,(+/-243),43,(+/-72),140,(+/-160),311,(+/-235),115,(+/-145)
Workers,"Employment Status","Not in labor force",198431,"(+/-6,042)",219832,"(+/-5,449)",190320,"(+/-5,815)",217660,"(+/-5,700)",199305,"(+/-4,320)",254184,"(+/-5,509)",214400,"(+/-6,008)",211265,"(+/-4,902)",208970,"(+/-5,799)",219940,"(+/-4,360)",225218,"(+/-7,243)",199667,"(+/-6,372)",230015,"(+/-5,712)",207253,"(+/-5,832)",228074,"(+/-5,462)",200223,"(+/-6,277)"
Workers,"Employment Status","Civilian labor force",374913,"(+/-6,555)",361630,"(+/-7,294)",408963,"(+/-8,283)",352884,"(+/-5,965)",376355,"(+/-5,499)",317556,"(+/-5,572)",375833,"(+/-6,885)",363729,"(+/-5,020)",361014,"(+/-8,333)",356427,"(+/-4,204)",338985,"(+/-7,050)",404034,"(+/-7,382)",353372,"(+/-7,206)",373343,"(+/-6,939)",370406,"(+/-8,567)",374195,"(+/-8,052)"
Workers,"Employment Status","Unemployment Rate",6.9,(+/-0.8),5.3,(+/-0.6),7.7,(+/-0.7),6,(+/-0.6),4.7,(+/-0.6),6.7,(+/-0.8),5.4,(+/-0.7),5.7,(+/-0.7),8.9,(+/-0.8),7.3,(+/-0.7),12.4,(+/-0.8),4.8,(+/-0.6),7.3,(+/-0.8),4.5,(+/-0.6),5.2,(+/-0.6),4.2,(+/-0.5)
Workers,"Commuting to Work","Workers 16 years and over",343697,"(+/-6,547)",337533,"(+/-7,473)",368893,"(+/-7,806)",324844,"(+/-5,597)",348398,"(+/-5,974)",289933,"(+/-4,890)",348710,"(+/-6,925)",336128,"(+/-5,419)",321629,"(+/-7,663)",325236,"(+/-4,411)",289706,"(+/-6,900)",379292,"(+/-7,669)",321325,"(+/-7,576)",351286,"(+/-6,866)",342960,"(+/-8,095)",351865,"(+/-7,479)"
Workers,"Commuting to Work","Car, truck, or van -- drove alone",279972,"(+/-6,661)",280024,"(+/-7,121)",283892,"(+/-7,601)",278892,"(+/-6,367)",298551,"(+/-5,825)",246523,"(+/-5,036)",285022,"(+/-6,665)",285137,"(+/-5,661)",264779,"(+/-7,205)",269082,"(+/-5,311)",217024,"(+/-5,958)",323777,"(+/-7,369)",276225,"(+/-7,444)",301098,"(+/-6,798)",289431,"(+/-7,096)",299438,"(+/-7,123)"
Workers,"Commuting to Work","Car, truck, or van -- carpooled",24958,"(+/-2,865)",26880,"(+/-2,565)",38265,"(+/-4,167)",25347,"(+/-2,608)",25256,"(+/-2,835)",23062,"(+/-2,786)",31036,"(+/-3,090)",26595,"(+/-2,521)",26498,"(+/-2,751)",27002,"(+/-2,869)",23223,"(+/-2,305)",23990,"(+/-2,970)",22561,"(+/-2,483)",24071,"(+/-2,575)",25727,"(+/-2,925)",23974,"(+/-2,987)"
Workers,"Commuting to Work","Public transportation (excluding taxicab)",10977,"(+/-1,666)",5271,"(+/-1,307)",15552,"(+/-2,291)",1143,(+/-446),1109,(+/-481),749,(+/-311),3999,"(+/-1,135)",2101,(+/-780),9650,"(+/-1,849)",6083,"(+/-1,650)",24189,"(+/-2,767)",2016,(+/-636),4099,"(+/-1,058)",3062,(+/-792),2537,(+/-946),3161,"(+/-1,130)"
Workers,"Commuting to Work",Walked,9492,"(+/-1,511)",5998,"(+/-1,635)",11798,"(+/-1,904)",6460,"(+/-1,110)",7774,"(+/-1,086)",8567,"(+/-1,709)",9550,"(+/-1,565)",6486,"(+/-1,186)",7885,"(+/-1,613)",9283,"(+/-1,370)",10876,"(+/-1,462)",6655,"(+/-1,522)",6695,"(+/-1,307)",4734,"(+/-1,203)",8661,"(+/-1,527)",6312,"(+/-1,408)"
Workers,"Commuting to Work","Other means",2644,(+/-682),3003,(+/-858),5541,"(+/-1,484)",3760,(+/-906),4111,"(+/-1,170)",3161,(+/-938),6077,"(+/-1,209)",3195,(+/-723),4427,"(+/-1,112)",2392,(+/-795),3538,(+/-820),4542,"(+/-1,031)",2259,(+/-773),3659,(+/-805),3764,"(+/-1,081)",4706,"(+/-1,492)"
Workers,"Commuting to Work","Worked at home",15654,"(+/-1,847)",16357,"(+/-2,472)",13845,"(+/-1,914)",9242,"(+/-1,473)",11597,"(+/-1,769)",7871,"(+/-1,302)",13026,"(+/-1,757)",12614,"(+/-1,928)",8390,"(+/-1,387)",11394,"(+/-1,614)",10856,"(+/-1,522)",18312,"(+/-2,213)",9486,"(+/-1,607)",14662,"(+/-1,522)",12840,"(+/-1,434)",14274,"(+/-1,941)"
Workers,"Commuting to Work","Mean travel time to work (minutes)",24.3,(+/-0.6),26.2,(+/-0.6),22.2,(+/-0.5),20.8,(+/-0.4),21.1,(+/-0.5),24.5,(+/-0.8),23.5,(+/-0.6),23.6,(+/-0.6),22.6,(+/-0.6),21.3,(+/-0.5),24.6,(+/-0.7),24,(+/-0.5),22,(+/-0.4),24.6,(+/-0.5),24.9,(+/-0.6),24.2,(+/-0.4)
Workers,Occupation,"Civilian employed population 16 years and over",349212,"(+/-6,368)",342538,"(+/-7,321)",377530,"(+/-8,079)",331707,"(+/-5,714)",358570,"(+/-5,716)",296236,"(+/-4,998)",355488,"(+/-6,786)",343113,"(+/-5,443)",328828,"(+/-7,900)",330534,"(+/-3,969)",297073,"(+/-6,755)",384798,"(+/-7,591)",327699,"(+/-7,444)",356586,"(+/-6,843)",351267,"(+/-8,048)",358563,"(+/-7,768)"
Workers,Occupation,"Management, business, science, and arts occupations",145260,"(+/-6,393)",132228,"(+/-5,946)",125493,"(+/-5,984)",92992,"(+/-3,968)",121051,"(+/-4,285)",82215,"(+/-3,680)",107109,"(+/-4,956)",118220,"(+/-5,135)",99140,"(+/-4,551)",125374,"(+/-4,373)",109004,"(+/-4,213)",179251,"(+/-6,144)",98055,"(+/-4,976)",142609,"(+/-5,029)",142844,"(+/-5,534)",140841,"(+/-5,072)"
Workers,Occupation,"Service occupations",58864,"(+/-3,852)",55782,"(+/-3,610)",72661,"(+/-4,443)",53729,"(+/-3,063)",55166,"(+/-3,109)",55248,"(+/-3,459)",62342,"(+/-3,839)",59698,"(+/-3,579)",68559,"(+/-3,798)",59579,"(+/-3,727)",64649,"(+/-3,544)",55510,"(+/-3,996)",64580,"(+/-3,735)",52119,"(+/-4,090)",58712,"(+/-3,969)",52422,"(+/-3,628)"
Workers,Occupation,"Sales and office occupations",84035,"(+/-4,268)",81691,"(+/-4,499)",99956,"(+/-5,975)",68151,"(+/-3,369)",72951,"(+/-3,709)",69709,"(+/-3,815)",80899,"(+/-3,987)",75751,"(+/-4,706)",78342,"(+/-4,097)",75791,"(+/-3,549)",69292,"(+/-3,796)",90403,"(+/-4,488)",81458,"(+/-4,253)",86848,"(+/-4,257)",77314,"(+/-4,176)",87823,"(+/-4,600)"
Workers,Occupation,"Natural resources, construction, and maintenance occupations",20226,"(+/-2,198)",26032,"(+/-2,201)",23368,"(+/-2,583)",28266,"(+/-2,393)",31727,"(+/-2,449)",33661,"(+/-2,536)",35511,"(+/-2,435)",29495,"(+/-2,696)",24718,"(+/-2,504)",23421,"(+/-2,327)",13141,"(+/-2,250)",20952,"(+/-2,083)",23581,"(+/-2,402)",25124,"(+/-2,431)",27304,"(+/-2,668)",26509,"(+/-2,166)"
Workers,Occupation,"Production, transportation, and material moving occupations",40827,"(+/-3,452)",46805,"(+/-3,072)",56052,"(+/-4,270)",88569,"(+/-4,290)",77675,"(+/-3,832)",55403,"(+/-3,115)",69627,"(+/-3,781)",59949,"(+/-3,515)",58069,"(+/-3,562)",46369,"(+/-3,369)",40987,"(+/-2,845)",38682,"(+/-3,271)",60025,"(+/-3,859)",49886,"(+/-2,750)",45093,"(+/-2,495)",50968,"(+/-3,553)"
Workers,Industry,"Civilian employed population 16 years and over",349212,"(+/-6,368)",342538,"(+/-7,321)",377530,"(+/-8,079)",331707,"(+/-5,714)",358570,"(+/-5,716)",296236,"(+/-4,998)",355488,"(+/-6,786)",343113,"(+/-5,443)",328828,"(+/-7,900)",330534,"(+/-3,969)",297073,"(+/-6,755)",384798,"(+/-7,591)",327699,"(+/-7,444)",356586,"(+/-6,843)",351267,"(+/-8,048)",358563,"(+/-7,768)"
Workers,Industry,"Agriculture, forestry, fishing and hunting, and mining",1423,(+/-600),3423,"(+/-1,262)",711,(+/-352),5534,"(+/-1,353)",6411,"(+/-1,175)",9853,"(+/-1,600)",9872,"(+/-1,771)",4198,"(+/-1,024)",1998,(+/-690),1698,(+/-726),267,(+/-224),2487,(+/-683),1820,(+/-712),2602,(+/-753),3879,(+/-909),3375,(+/-975)
Workers,Industry,Construction,17026,"(+/-2,048)",17384,"(+/-2,209)",16566,"(+/-2,308)",16669,"(+/-1,803)",19217,"(+/-1,878)",18054,"(+/-1,944)",21858,"(+/-2,150)",18969,"(+/-2,424)",16264,"(+/-2,036)",16630,"(+/-2,406)",9217,"(+/-1,615)",16849,"(+/-2,241)",15058,"(+/-2,295)",17560,"(+/-2,047)",19693,"(+/-2,062)",18265,"(+/-2,309)"
Workers,Industry,Manufacturing,42642,"(+/-3,240)",50507,"(+/-3,374)",27304,"(+/-2,408)",88282,"(+/-3,810)",82905,"(+/-3,750)",42704,"(+/-3,049)",68485,"(+/-3,513)",64612,"(+/-3,618)",50783,"(+/-3,655)",42484,"(+/-3,282)",34525,"(+/-3,176)",41044,"(+/-3,092)",56672,"(+/-4,058)",65882,"(+/-3,649)",34956,"(+/-2,586)",58143,"(+/-4,052)"
Workers,Industry,"Wholesale trade",11112,"(+/-1,921)",7549,"(+/-1,103)",9449,"(+/-1,599)",9367,"(+/-1,407)",9987,"(+/-1,668)",6934,"(+/-1,076)",10933,"(+/-1,521)",9496,"(+/-1,354)",8275,"(+/-1,282)",7507,"(+/-1,572)",5198,(+/-924),11755,"(+/-1,979)",6996,"(+/-1,553)",13222,"(+/-1,604)",10443,"(+/-1,438)",11273,"(+/-1,413)"
Workers,Industry,"Retail trade",42872,"(+/-3,844)",42946,"(+/-3,131)",51203,"(+/-3,966)",31423,"(+/-2,344)",38105,"(+/-2,621)",38955,"(+/-3,035)",39456,"(+/-4,043)",39346,"(+/-3,301)",39523,"(+/-3,228)",34919,"(+/-2,876)",30461,"(+/-2,725)",46231,"(+/-4,242)",45920,"(+/-3,606)",39150,"(+/-2,577)",41924,"(+/-3,068)",41627,"(+/-3,222)"
Workers,Industry,"Transportation and warehousing, and utilities",16766,"(+/-2,324)",15357,"(+/-2,349)",27751,"(+/-2,753)",18428,"(+/-2,044)",21239,"(+/-2,155)",21388,"(+/-2,230)",17064,"(+/-1,711)",15157,"(+/-1,975)",16988,"(+/-1,952)",12774,"(+/-1,557)",11837,"(+/-1,654)",14897,"(+/-2,112)",15012,"(+/-1,740)",14136,"(+/-1,881)",20373,"(+/-2,270)",18637,"(+/-2,363)"
Workers,Industry,Information,5630,(+/-941),5991,"(+/-1,238)",7512,"(+/-1,546)",3522,(+/-770),3974,"(+/-1,004)",4279,"(+/-1,227)",5371,(+/-915),4252,"(+/-1,039)",5033,"(+/-1,104)",5857,"(+/-1,041)",5374,"(+/-1,349)",8832,"(+/-1,451)",4929,"(+/-1,296)",7383,"(+/-1,422)",6493,"(+/-1,561)",5769,"(+/-1,225)"
Workers,Industry,"Finance and insurance, and real estate and rental and leasing",26892,"(+/-2,508)",26026,"(+/-2,101)",36725,"(+/-3,380)",11980,"(+/-1,786)",12881,"(+/-1,476)",12372,"(+/-1,726)",19222,"(+/-2,249)",20877,"(+/-2,452)",16608,"(+/-1,962)",19161,"(+/-2,142)",21829,"(+/-1,841)",42153,"(+/-3,308)",15280,"(+/-1,686)",23941,"(+/-2,609)",26581,"(+/-2,335)",24697,"(+/-2,258)"
Workers,Industry,"Professional, scientific, and management, and administrative and waste management services",40901,"(+/-3,212)",38430,"(+/-3,588)",44573,"(+/-3,837)",20879,"(+/-1,902)",25520,"(+/-2,745)",18570,"(+/-2,215)",25665,"(+/-2,095)",29726,"(+/-2,725)",29780,"(+/-2,642)",34625,"(+/-2,612)",29404,"(+/-2,659)",42502,"(+/-3,230)",29354,"(+/-2,375)",33223,"(+/-2,549)",33825,"(+/-3,030)",34172,"(+/-2,762)"
Workers,Industry,"Educational services, and health care and social assistance",86319,"(+/-5,001)",78502,"(+/-4,449)",83506,"(+/-4,945)",71445,"(+/-3,481)",83843,"(+/-3,956)",72106,"(+/-3,490)",78111,"(+/-3,887)",79046,"(+/-3,754)",75198,"(+/-3,465)",87428,"(+/-3,965)",90511,"(+/-4,366)",88402,"(+/-3,987)",74693,"(+/-3,962)",86013,"(+/-3,910)",91328,"(+/-3,985)",81764,"(+/-4,102)"
Workers,Industry,"Arts, entertainment, and recreation, and accommodation and food services",30572,"(+/-2,742)",29771,"(+/-3,057)",41832,"(+/-3,769)",25885,"(+/-2,152)",27974,"(+/-2,356)",25689,"(+/-2,653)",30564,"(+/-2,852)",31853,"(+/-2,920)",40050,"(+/-3,445)",32200,"(+/-2,802)",34815,"(+/-3,023)",36799,"(+/-3,631)",34936,"(+/-3,152)",27777,"(+/-3,338)",30594,"(+/-3,257)",32375,"(+/-3,090)"
