Topic,Subject,Title,"District 01 Value","District 01 MOE","District 02 Value","District 02 MOE","District 03 Value","District 03 MOE","District 04 Value","District 04 MOE","District 05 Value","District 05 MOE","District 06 Value","District 06 MOE","District 07 Value","District 07 MOE","District 08 Value","District 08 MOE","District 09 Value","District 09 MOE","District 10 Value","District 10 MOE","District 11 Value","District 11 MOE","District 12 Value","District 12 MOE","District 13 Value","District 13 MOE","District 14 Value","District 14 MOE","District 15 Value","District 15 MOE","District 16 Value","District 16 MOE","District 17 Value","District 17 MOE","District 18 Value","District 18 MOE","District 19 Value","District 19 MOE","District 20 Value","District 20 MOE","District 21 Value","District 21 MOE","District 22 Value","District 22 MOE","District 23 Value","District 23 MOE","District 24 Value","District 24 MOE","District 25 Value","District 25 MOE","District 26 Value","District 26 MOE","District 27 Value","District 27 MOE","District 28 Value","District 28 MOE","District 29 Value","District 29 MOE","District 30 Value","District 30 MOE","District 31 Value","District 31 MOE","District 32 Value","District 32 MOE","District 33 Value","District 33 MOE","District 34 Value","District 34 MOE","District 35 Value","District 35 MOE","District 36 Value","District 36 MOE","District 37 Value","District 37 MOE","District 38 Value","District 38 MOE","District 39 Value","District 39 MOE","District 40 Value","District 40 MOE","District 41 Value","District 41 MOE","District 42 Value","District 42 MOE","District 43 Value","District 43 MOE","District 44 Value","District 44 MOE","District 45 Value","District 45 MOE","District 46 Value","District 46 MOE","District 47 Value","District 47 MOE","District 48 Value","District 48 MOE","District 49 Value","District 49 MOE","District 50 Value","District 50 MOE","District 51 Value","District 51 MOE","District 52 Value","District 52 MOE","District 53 Value","District 53 MOE"
Housing,"Housing Occupancy","Total housing units",324602,"(+/-2,273)",319963,"(+/-2,841)",264020,"(+/-3,360)",357319,"(+/-3,143)",289748,"(+/-4,160)",288938,"(+/-4,688)",274290,"(+/-4,664)",309814,"(+/-5,597)",247402,"(+/-3,867)",243616,"(+/-2,438)",284123,"(+/-3,309)",353837,"(+/-2,178)",305149,"(+/-4,214)",265660,"(+/-3,068)",253730,"(+/-4,265)",225040,"(+/-3,190)",262642,"(+/-4,572)",287664,"(+/-5,678)",237104,"(+/-4,244)",246545,"(+/-1,907)",199302,"(+/-3,871)",256905,"(+/-4,248)",268691,"(+/-3,870)",280596,"(+/-1,318)",232327,"(+/-4,762)",244144,"(+/-2,135)",264391,"(+/-4,449)",316477,"(+/-5,618)",215445,"(+/-4,598)",290638,"(+/-5,677)",233846,"(+/-4,255)",206561,"(+/-3,750)",326075,"(+/-6,659)",264458,"(+/-6,165)",195375,"(+/-4,455)",343915,"(+/-5,538)",291919,"(+/-6,271)",217976,"(+/-3,591)",239405,"(+/-4,035)",187544,"(+/-3,924)",213134,"(+/-4,524)",240715,"(+/-5,054)",248687,"(+/-6,375)",195277,"(+/-4,203)",285147,"(+/-4,909)",191583,"(+/-4,018)",258076,"(+/-5,110)",286794,"(+/-5,051)",278364,"(+/-6,457)",259876,"(+/-5,112)",222808,"(+/-4,332)",305081,"(+/-5,377)",285661,"(+/-5,918)"
Housing,"Housing Occupancy","Occupied housing units",275121,"(+/-3,681)",284074,"(+/-3,412)",243040,"(+/-3,741)",270416,"(+/-4,324)",266275,"(+/-4,400)",269672,"(+/-4,222)",261331,"(+/-4,727)",234636,"(+/-5,020)",231471,"(+/-3,924)",232423,"(+/-2,955)",272027,"(+/-3,646)",322938,"(+/-3,969)",290264,"(+/-4,183)",253897,"(+/-3,363)",245957,"(+/-4,260)",210503,"(+/-3,589)",252032,"(+/-4,087)",270411,"(+/-5,251)",230476,"(+/-4,252)",223401,"(+/-2,993)",186898,"(+/-4,089)",242617,"(+/-4,066)",238176,"(+/-4,037)",253465,"(+/-2,967)",219870,"(+/-4,226)",229575,"(+/-3,041)",242888,"(+/-3,952)",293554,"(+/-5,605)",207550,"(+/-4,240)",276708,"(+/-5,329)",221071,"(+/-4,132)",197553,"(+/-3,525)",295234,"(+/-5,727)",245781,"(+/-5,845)",188052,"(+/-4,459)",261393,"(+/-5,168)",274696,"(+/-6,267)",208115,"(+/-3,333)",229743,"(+/-3,467)",178570,"(+/-3,865)",196677,"(+/-4,231)",229332,"(+/-4,997)",235120,"(+/-5,473)",186730,"(+/-4,015)",269949,"(+/-4,167)",184493,"(+/-4,012)",245709,"(+/-4,915)",266822,"(+/-4,562)",254731,"(+/-5,959)",243200,"(+/-4,972)",198884,"(+/-4,552)",282286,"(+/-4,910)",270550,"(+/-5,335)"
Housing,"Housing Occupancy","Vacant housing units",49481,"(+/-3,102)",35889,"(+/-2,804)",20980,"(+/-2,542)",86903,"(+/-3,947)",23473,"(+/-3,051)",19266,"(+/-2,793)",12959,"(+/-2,287)",75178,"(+/-4,237)",15931,"(+/-2,120)",11193,"(+/-1,910)",12096,"(+/-2,133)",30899,"(+/-3,547)",14885,"(+/-1,744)",11763,"(+/-2,005)",7773,"(+/-1,838)",14537,"(+/-1,979)",10610,"(+/-2,207)",17253,"(+/-2,600)",6628,"(+/-1,538)",23144,"(+/-2,584)",12404,"(+/-1,586)",14288,"(+/-2,529)",30515,"(+/-3,369)",27131,"(+/-2,713)",12457,"(+/-2,073)",14569,"(+/-2,692)",21503,"(+/-2,447)",22923,"(+/-2,803)",7895,"(+/-1,521)",13930,"(+/-2,040)",12775,"(+/-2,163)",9008,"(+/-1,640)",30841,"(+/-3,698)",18677,"(+/-1,594)",7323,"(+/-1,586)",82522,"(+/-4,050)",17223,"(+/-2,309)",9861,"(+/-1,657)",9662,"(+/-2,130)",8974,"(+/-1,476)",16457,"(+/-2,519)",11383,"(+/-2,177)",13567,"(+/-2,558)",8547,"(+/-1,733)",15198,"(+/-2,846)",7090,"(+/-1,407)",12367,"(+/-2,020)",19972,"(+/-2,655)",23633,"(+/-2,996)",16676,"(+/-2,687)",23924,"(+/-2,558)",22795,"(+/-2,812)",15111,"(+/-2,573)"
Housing,"Housing Occupancy","Homeowner vacancy rate",2.1,(+/-0.5),0.9,(+/-0.4),1.2,(+/-0.5),1.5,(+/-0.6),1,(+/-0.5),0.9,(+/-0.6),1.5,(+/-0.6),3.4,(+/-1.0),0.9,(+/-0.6),1.4,(+/-0.6),0.3,(+/-0.2),1,(+/-0.7),0.3,(+/-0.2),0.3,(+/-0.3),0.7,(+/-0.4),0.7,(+/-0.4),0.1,(+/-0.1),0.6,(+/-0.4),0.3,(+/-0.3),1.3,(+/-0.6),0.8,(+/-0.5),1.2,(+/-0.6),2.1,(+/-0.8),1.1,(+/-0.5),2,(+/-0.6),1.3,(+/-0.6),1.4,(+/-0.6),1.3,(+/-0.7),0.4,(+/-0.4),0.9,(+/-0.5),2,(+/-0.7),1.2,(+/-0.6),1.2,(+/-0.5),1.3,(+/-0.8),1.3,(+/-0.5),3.6,(+/-0.8),1,(+/-0.6),1.4,(+/-0.6),0.7,(+/-0.4),1,(+/-0.7),1.5,(+/-0.7),1.8,(+/-0.6),0.9,(+/-0.5),0.6,(+/-0.5),1,(+/-0.5),0.5,(+/-0.4),1,(+/-0.5),1.1,(+/-0.5),1.4,(+/-0.6),1.5,(+/-0.8),2.2,(+/-0.8),0.7,(+/-0.5),1.3,(+/-0.6)
Housing,"Housing Occupancy","Rental vacancy rate",4.9,(+/-1.2),1.1,(+/-0.6),3.2,(+/-0.9),7.1,(+/-1.8),4,(+/-1.2),4.6,(+/-1.1),3.7,(+/-1.1),7.7,(+/-2.0),3.4,(+/-1.1),2.7,(+/-1.0),1.6,(+/-0.8),2.4,(+/-0.6),2,(+/-0.6),2.6,(+/-0.9),2,(+/-0.9),3.4,(+/-0.9),2.7,(+/-0.9),4.5,(+/-1.4),1.9,(+/-0.8),2.9,(+/-1.1),3.7,(+/-1.1),3.3,(+/-1.1),5.3,(+/-1.3),2.7,(+/-1.0),3.7,(+/-1.2),3.5,(+/-1.1),1.6,(+/-0.7),3,(+/-0.7),2,(+/-0.8),2.7,(+/-0.8),4,(+/-1.3),2.7,(+/-0.9),3.7,(+/-0.9),3.7,(+/-0.5),1.7,(+/-0.9),6.8,(+/-1.2),3.1,(+/-0.7),4.1,(+/-1.1),2.8,(+/-1.3),2.4,(+/-0.8),7.7,(+/-1.8),1.9,(+/-0.8),2.9,(+/-0.9),2.8,(+/-0.9),4.5,(+/-1.5),2.6,(+/-0.8),3.3,(+/-0.9),2.5,(+/-1.0),3.4,(+/-1.3),3.5,(+/-1.2),2.5,(+/-0.7),3.7,(+/-1.0),3.3,(+/-1.0)
Housing,"Housing Tenure","Occupied housing units",275121,"(+/-3,681)",284074,"(+/-3,412)",243040,"(+/-3,741)",270416,"(+/-4,324)",266275,"(+/-4,400)",269672,"(+/-4,222)",261331,"(+/-4,727)",234636,"(+/-5,020)",231471,"(+/-3,924)",232423,"(+/-2,955)",272027,"(+/-3,646)",322938,"(+/-3,969)",290264,"(+/-4,183)",253897,"(+/-3,363)",245957,"(+/-4,260)",210503,"(+/-3,589)",252032,"(+/-4,087)",270411,"(+/-5,251)",230476,"(+/-4,252)",223401,"(+/-2,993)",186898,"(+/-4,089)",242617,"(+/-4,066)",238176,"(+/-4,037)",253465,"(+/-2,967)",219870,"(+/-4,226)",229575,"(+/-3,041)",242888,"(+/-3,952)",293554,"(+/-5,605)",207550,"(+/-4,240)",276708,"(+/-5,329)",221071,"(+/-4,132)",197553,"(+/-3,525)",295234,"(+/-5,727)",245781,"(+/-5,845)",188052,"(+/-4,459)",261393,"(+/-5,168)",274696,"(+/-6,267)",208115,"(+/-3,333)",229743,"(+/-3,467)",178570,"(+/-3,865)",196677,"(+/-4,231)",229332,"(+/-4,997)",235120,"(+/-5,473)",186730,"(+/-4,015)",269949,"(+/-4,167)",184493,"(+/-4,012)",245709,"(+/-4,915)",266822,"(+/-4,562)",254731,"(+/-5,959)",243200,"(+/-4,972)",198884,"(+/-4,552)",282286,"(+/-4,910)",270550,"(+/-5,335)"
Housing,"Housing Tenure",Owner-occupied,174815,"(+/-4,572)",174391,"(+/-3,896)",140705,"(+/-3,500)",196230,"(+/-4,341)",160171,"(+/-4,469)",122626,"(+/-3,933)",163199,"(+/-3,865)",142137,"(+/-3,772)",137511,"(+/-4,520)",132928,"(+/-4,435)",166030,"(+/-4,756)",108506,"(+/-3,741)",124564,"(+/-4,683)",148330,"(+/-3,309)",156336,"(+/-3,857)",99055,"(+/-3,696)",134412,"(+/-4,156)",162076,"(+/-4,173)",137454,"(+/-3,882)",111690,"(+/-3,403)",91031,"(+/-3,830)",140256,"(+/-4,427)",141573,"(+/-4,386)",136721,"(+/-3,470)",149542,"(+/-4,002)",142764,"(+/-3,388)",132500,"(+/-4,236)",97364,"(+/-3,584)",83509,"(+/-3,052)",139421,"(+/-3,441)",113730,"(+/-3,787)",118001,"(+/-3,827)",147127,"(+/-4,026)",50826,"(+/-2,514)",103107,"(+/-4,511)",162616,"(+/-5,009)",95387,"(+/-3,887)",121286,"(+/-3,664)",151340,"(+/-3,898)",61570,"(+/-2,266)",116803,"(+/-3,904)",160326,"(+/-4,401)",98265,"(+/-3,799)",88568,"(+/-3,146)",173019,"(+/-4,423)",74482,"(+/-2,709)",111217,"(+/-3,519)",151151,"(+/-4,990)",150430,"(+/-4,681)",152510,"(+/-4,938)",83834,"(+/-3,354)",145960,"(+/-4,640)",131421,"(+/-3,851)"
Housing,"Housing Tenure",Renter-occupied,100306,"(+/-3,824)",109683,"(+/-4,287)",102335,"(+/-4,162)",74186,"(+/-3,818)",106104,"(+/-4,070)",147046,"(+/-4,430)",98132,"(+/-4,265)",92499,"(+/-4,523)",93960,"(+/-4,255)",99495,"(+/-4,006)",105997,"(+/-3,967)",214432,"(+/-4,692)",165700,"(+/-4,319)",105567,"(+/-3,167)",89621,"(+/-3,511)",111448,"(+/-3,732)",117620,"(+/-3,982)",108335,"(+/-4,880)",93022,"(+/-4,455)",111711,"(+/-3,726)",95867,"(+/-3,534)",102361,"(+/-4,559)",96603,"(+/-4,660)",116744,"(+/-3,960)",70328,"(+/-3,554)",86811,"(+/-3,613)",110388,"(+/-3,559)",196190,"(+/-5,572)",124041,"(+/-4,124)",137287,"(+/-4,822)",107341,"(+/-3,867)",79552,"(+/-3,116)",148107,"(+/-5,368)",194955,"(+/-5,895)",84945,"(+/-3,538)",98777,"(+/-3,654)",179309,"(+/-6,150)",86829,"(+/-3,543)",78403,"(+/-2,997)",117000,"(+/-3,925)",79874,"(+/-3,990)",69006,"(+/-4,151)",136855,"(+/-4,407)",98162,"(+/-3,934)",96930,"(+/-3,654)",110011,"(+/-3,643)",134492,"(+/-4,537)",115671,"(+/-4,532)",104301,"(+/-4,627)",90690,"(+/-3,585)",115050,"(+/-4,396)",136326,"(+/-4,340)",139129,"(+/-4,828)"
Housing,"Housing Tenure","Average household size of owner-occupied unit",2.47,(+/-0.04),2.48,(+/-0.04),2.85,(+/-0.06),2.66,(+/-0.05),2.62,(+/-0.05),2.81,(+/-0.06),2.83,(+/-0.06),2.86,(+/-0.06),3.11,(+/-0.07),3.11,(+/-0.07),2.74,(+/-0.05),2.68,(+/-0.07),2.68,(+/-0.06),2.97,(+/-0.06),3.12,(+/-0.06),3.29,(+/-0.09),3.07,(+/-0.08),2.76,(+/-0.05),3.26,(+/-0.07),2.97,(+/-0.08),3.56,(+/-0.09),3,(+/-0.07),3.06,(+/-0.07),2.63,(+/-0.06),3.24,(+/-0.07),3.01,(+/-0.07),3.01,(+/-0.06),2.7,(+/-0.08),3.75,(+/-0.10),2.96,(+/-0.06),3.35,(+/-0.07),3.72,(+/-0.08),2.59,(+/-0.06),3.31,(+/-0.13),3.88,(+/-0.10),2.65,(+/-0.06),2.81,(+/-0.10),3.51,(+/-0.09),3.12,(+/-0.06),4.11,(+/-0.14),3.81,(+/-0.09),3.41,(+/-0.08),3.25,(+/-0.08),3.9,(+/-0.11),2.83,(+/-0.05),4.09,(+/-0.13),2.88,(+/-0.07),2.69,(+/-0.06),2.74,(+/-0.05),2.98,(+/-0.07),3.56,(+/-0.11),2.65,(+/-0.06),2.95,(+/-0.08)
Housing,"Housing Tenure","Average household size of renter-occupied unit",2.54,(+/-0.06),2.43,(+/-0.06),3.02,(+/-0.09),2.5,(+/-0.09),2.84,(+/-0.08),2.7,(+/-0.07),2.7,(+/-0.08),3.17,(+/-0.12),3.25,(+/-0.10),3.19,(+/-0.09),2.74,(+/-0.06),2.06,(+/-0.04),2.42,(+/-0.06),2.89,(+/-0.08),3.08,(+/-0.09),3.53,(+/-0.09),2.86,(+/-0.08),2.53,(+/-0.08),3.26,(+/-0.10),3.32,(+/-0.09),3.67,(+/-0.10),3.05,(+/-0.09),2.95,(+/-0.11),2.92,(+/-0.08),3.2,(+/-0.13),3.29,(+/-0.10),2.91,(+/-0.08),2.25,(+/-0.05),3.24,(+/-0.09),2.53,(+/-0.08),3.11,(+/-0.09),3.55,(+/-0.14),2.14,(+/-0.05),2.79,(+/-0.06),3.66,(+/-0.12),3.1,(+/-0.09),2.45,(+/-0.07),3.34,(+/-0.10),3.22,(+/-0.11),3.97,(+/-0.09),3.56,(+/-0.13),3.21,(+/-0.14),3.03,(+/-0.07),3.65,(+/-0.11),2.77,(+/-0.10),3.79,(+/-0.11),2.88,(+/-0.08),2.69,(+/-0.09),2.87,(+/-0.10),3.18,(+/-0.11),3.45,(+/-0.09),2.55,(+/-0.07),2.7,(+/-0.07)
Housing,"Year Householder Moved into Unit","Occupied housing units",275121,"(+/-3,681)",284074,"(+/-3,412)",243040,"(+/-3,741)",270416,"(+/-4,324)",266275,"(+/-4,400)",269672,"(+/-4,222)",261331,"(+/-4,727)",234636,"(+/-5,020)",231471,"(+/-3,924)",232423,"(+/-2,955)",272027,"(+/-3,646)",322938,"(+/-3,969)",290264,"(+/-4,183)",253897,"(+/-3,363)",245957,"(+/-4,260)",210503,"(+/-3,589)",252032,"(+/-4,087)",270411,"(+/-5,251)",230476,"(+/-4,252)",223401,"(+/-2,993)",186898,"(+/-4,089)",242617,"(+/-4,066)",238176,"(+/-4,037)",253465,"(+/-2,967)",219870,"(+/-4,226)",229575,"(+/-3,041)",242888,"(+/-3,952)",293554,"(+/-5,605)",207550,"(+/-4,240)",276708,"(+/-5,329)",221071,"(+/-4,132)",197553,"(+/-3,525)",295234,"(+/-5,727)",245781,"(+/-5,845)",188052,"(+/-4,459)",261393,"(+/-5,168)",274696,"(+/-6,267)",208115,"(+/-3,333)",229743,"(+/-3,467)",178570,"(+/-3,865)",196677,"(+/-4,231)",229332,"(+/-4,997)",235120,"(+/-5,473)",186730,"(+/-4,015)",269949,"(+/-4,167)",184493,"(+/-4,012)",245709,"(+/-4,915)",266822,"(+/-4,562)",254731,"(+/-5,959)",243200,"(+/-4,972)",198884,"(+/-4,552)",282286,"(+/-4,910)",270550,"(+/-5,335)"
Housing,"Year Householder Moved into Unit","Moved in 2015 or later",20888,"(+/-2,308)",18000,"(+/-2,415)",22063,"(+/-2,402)",13880,"(+/-1,701)",17714,"(+/-2,549)",27351,"(+/-2,742)",21262,"(+/-2,112)",22011,"(+/-2,497)",17100,"(+/-2,009)",15440,"(+/-2,252)",17474,"(+/-2,347)",21866,"(+/-2,411)",19835,"(+/-2,136)",15614,"(+/-2,103)",13740,"(+/-1,671)",16294,"(+/-1,696)",20119,"(+/-2,210)",16775,"(+/-1,898)",13742,"(+/-1,833)",13393,"(+/-1,864)",13499,"(+/-1,691)",20516,"(+/-2,617)",21683,"(+/-3,122)",19493,"(+/-2,264)",11253,"(+/-1,744)",13954,"(+/-1,946)",12034,"(+/-1,642)",20005,"(+/-2,186)",12202,"(+/-1,749)",20139,"(+/-2,568)",16222,"(+/-1,913)",7769,"(+/-1,514)",24579,"(+/-2,444)",18804,"(+/-1,955)",12359,"(+/-2,063)",19213,"(+/-2,131)",18988,"(+/-2,072)",7449,"(+/-1,226)",13981,"(+/-1,841)",8148,"(+/-1,165)",12313,"(+/-1,786)",17563,"(+/-2,292)",15066,"(+/-2,043)",10094,"(+/-1,640)",23523,"(+/-2,628)",10509,"(+/-1,690)",15848,"(+/-2,128)",18710,"(+/-2,454)",21712,"(+/-3,163)",19449,"(+/-2,654)",14174,"(+/-2,047)",30810,"(+/-3,127)",22429,"(+/-2,862)"
Housing,"Year Householder Moved into Unit","Moved in 2010 to 2014",103318,"(+/-3,983)",94416,"(+/-4,256)",94439,"(+/-3,990)",97035,"(+/-4,293)",99377,"(+/-4,724)",123029,"(+/-4,612)",102984,"(+/-4,159)",94811,"(+/-4,703)",94836,"(+/-3,961)",93302,"(+/-4,151)",100463,"(+/-4,266)",127788,"(+/-4,275)",120173,"(+/-4,439)",85138,"(+/-3,546)",95926,"(+/-3,523)",91644,"(+/-4,000)",102660,"(+/-3,813)",96776,"(+/-4,254)",83669,"(+/-3,854)",84193,"(+/-3,683)",75404,"(+/-3,912)",94912,"(+/-4,271)",96021,"(+/-4,487)",97359,"(+/-3,984)",81962,"(+/-3,335)",83277,"(+/-3,547)",85524,"(+/-3,764)",121926,"(+/-4,551)",79445,"(+/-3,301)",108219,"(+/-4,229)",95919,"(+/-3,755)",63220,"(+/-3,192)",111954,"(+/-5,402)",109863,"(+/-5,059)",74291,"(+/-3,286)",113794,"(+/-4,267)",109806,"(+/-4,624)",69391,"(+/-3,652)",74358,"(+/-4,198)",69687,"(+/-3,391)",78219,"(+/-4,084)",95494,"(+/-4,950)",89386,"(+/-4,036)",62401,"(+/-3,651)",101745,"(+/-4,059)",78885,"(+/-3,421)",99115,"(+/-4,397)",100246,"(+/-4,053)",99595,"(+/-5,383)",92976,"(+/-4,583)",85535,"(+/-3,531)",118971,"(+/-4,506)",118931,"(+/-5,239)"
Housing,"Year Householder Moved into Unit","Moved in 2000 to 2009",73571,"(+/-3,545)",75400,"(+/-3,694)",66132,"(+/-3,638)",87549,"(+/-3,632)",73332,"(+/-3,913)",65919,"(+/-3,866)",73973,"(+/-3,399)",64505,"(+/-3,615)",68995,"(+/-3,427)",70281,"(+/-3,486)",70461,"(+/-2,966)",86562,"(+/-3,887)",74789,"(+/-3,457)",70559,"(+/-3,099)",71237,"(+/-3,280)",55294,"(+/-3,290)",66110,"(+/-3,390)",73306,"(+/-3,739)",69786,"(+/-3,247)",60998,"(+/-3,270)",52845,"(+/-3,281)",67509,"(+/-4,234)",67385,"(+/-3,428)",67431,"(+/-3,679)",70242,"(+/-3,351)",62045,"(+/-3,164)",66186,"(+/-3,267)",77804,"(+/-3,836)",60342,"(+/-2,844)",73258,"(+/-3,854)",60866,"(+/-3,459)",54244,"(+/-3,222)",68518,"(+/-3,689)",62480,"(+/-2,914)",56567,"(+/-3,315)",81421,"(+/-3,864)",69103,"(+/-4,078)",55799,"(+/-3,150)",61601,"(+/-3,552)",51744,"(+/-2,839)",58676,"(+/-3,526)",78700,"(+/-3,968)",63201,"(+/-4,076)",53660,"(+/-2,603)",72544,"(+/-3,518)",50118,"(+/-2,964)",66844,"(+/-3,338)",65470,"(+/-3,275)",73232,"(+/-4,698)",72386,"(+/-4,076)",52691,"(+/-2,891)",67446,"(+/-4,316)",67120,"(+/-4,155)"
Housing,"Year Householder Moved into Unit","Moved in 1990 to 1999",40493,"(+/-2,483)",44977,"(+/-2,990)",28819,"(+/-2,137)",40565,"(+/-3,034)",37317,"(+/-2,444)",25565,"(+/-2,197)",33355,"(+/-2,273)",28121,"(+/-2,830)",25371,"(+/-1,958)",27454,"(+/-2,405)",38341,"(+/-2,558)",42984,"(+/-2,823)",35221,"(+/-2,185)",37170,"(+/-2,152)",34912,"(+/-2,717)",24083,"(+/-2,420)",28480,"(+/-2,344)",35897,"(+/-2,582)",32478,"(+/-2,228)",31729,"(+/-2,299)",23064,"(+/-2,595)",31746,"(+/-2,360)",31110,"(+/-2,759)",34508,"(+/-2,499)",32414,"(+/-2,498)",35375,"(+/-2,622)",35674,"(+/-2,568)",39988,"(+/-3,037)",30283,"(+/-2,166)",38356,"(+/-2,570)",22919,"(+/-2,059)",35038,"(+/-2,291)",41574,"(+/-2,703)",31674,"(+/-2,055)",23037,"(+/-1,946)",30374,"(+/-2,528)",38890,"(+/-2,837)",33558,"(+/-2,062)",40132,"(+/-2,549)",26218,"(+/-2,054)",28144,"(+/-2,241)",23757,"(+/-2,118)",32637,"(+/-2,704)",28941,"(+/-2,075)",43241,"(+/-2,735)",25519,"(+/-1,986)",31468,"(+/-2,533)",45573,"(+/-2,990)",32953,"(+/-2,445)",30454,"(+/-2,319)",21588,"(+/-1,958)",34171,"(+/-2,251)",30310,"(+/-2,432)"
Housing,"Year Householder Moved into Unit","Moved in 1980 to 1989",19166,"(+/-2,194)",26834,"(+/-2,302)",15380,"(+/-1,593)",18955,"(+/-2,010)",20434,"(+/-1,570)",12546,"(+/-1,705)",13952,"(+/-1,733)",16540,"(+/-1,873)",11425,"(+/-1,437)",13324,"(+/-1,579)",22545,"(+/-1,984)",21466,"(+/-2,153)",19743,"(+/-1,716)",21715,"(+/-1,554)",15709,"(+/-1,683)",10323,"(+/-1,608)",15356,"(+/-1,354)",21749,"(+/-2,078)",15576,"(+/-1,641)",18176,"(+/-1,671)",10564,"(+/-1,564)",13275,"(+/-1,244)",12289,"(+/-1,890)",18817,"(+/-1,778)",16060,"(+/-1,747)",17919,"(+/-1,687)",20567,"(+/-1,829)",17574,"(+/-1,530)",13372,"(+/-1,463)",17104,"(+/-1,902)",13430,"(+/-1,614)",18781,"(+/-1,699)",22666,"(+/-2,020)",10831,"(+/-1,199)",11994,"(+/-1,656)",10081,"(+/-1,296)",18124,"(+/-1,709)",17426,"(+/-1,746)",21618,"(+/-2,014)",11353,"(+/-1,465)",12040,"(+/-1,409)",9314,"(+/-1,352)",15119,"(+/-1,885)",15215,"(+/-1,693)",16684,"(+/-1,796)",9737,"(+/-1,320)",14592,"(+/-1,600)",18151,"(+/-1,618)",17171,"(+/-2,091)",17244,"(+/-1,850)",12012,"(+/-1,265)",16253,"(+/-1,681)",15148,"(+/-1,798)"
Housing,"Year Householder Moved into Unit","Moved in 1979 and earlier",17685,"(+/-1,589)",24447,"(+/-1,995)",16207,"(+/-1,469)",12432,"(+/-1,582)",18101,"(+/-1,906)",15262,"(+/-1,466)",15805,"(+/-1,519)",8648,"(+/-1,267)",13744,"(+/-1,589)",12622,"(+/-1,675)",22743,"(+/-1,759)",22272,"(+/-1,951)",20503,"(+/-1,761)",23701,"(+/-1,896)",14433,"(+/-1,451)",12865,"(+/-1,540)",19307,"(+/-1,476)",25908,"(+/-2,073)",15225,"(+/-1,465)",14912,"(+/-1,434)",11522,"(+/-1,367)",14659,"(+/-1,545)",9688,"(+/-1,290)",15857,"(+/-1,724)",7939,"(+/-1,137)",17005,"(+/-1,479)",22903,"(+/-1,968)",16257,"(+/-1,718)",11906,(+/-861),19632,"(+/-1,593)",11715,"(+/-1,460)",18501,"(+/-1,677)",25943,"(+/-2,223)",12129,"(+/-1,490)",9804,"(+/-1,211)",6510,"(+/-1,032)",19785,"(+/-2,041)",24492,"(+/-1,888)",18053,"(+/-1,549)",11420,"(+/-1,400)",7285,(+/-897),4504,(+/-848),19711,"(+/-2,084)",16419,"(+/-1,783)",12212,"(+/-1,107)",9725,"(+/-1,204)",17842,"(+/-1,607)",18672,"(+/-1,634)",10068,"(+/-1,348)",10691,"(+/-1,332)",12884,"(+/-1,290)",14635,"(+/-1,429)",16612,"(+/-1,683)"
Housing,Value,"Owner-occupied units",174815,"(+/-4,572)",174391,"(+/-3,896)",140705,"(+/-3,500)",196230,"(+/-4,341)",160171,"(+/-4,469)",122626,"(+/-3,933)",163199,"(+/-3,865)",142137,"(+/-3,772)",137511,"(+/-4,520)",132928,"(+/-4,435)",166030,"(+/-4,756)",108506,"(+/-3,741)",124564,"(+/-4,683)",148330,"(+/-3,309)",156336,"(+/-3,857)",99055,"(+/-3,696)",134412,"(+/-4,156)",162076,"(+/-4,173)",137454,"(+/-3,882)",111690,"(+/-3,403)",91031,"(+/-3,830)",140256,"(+/-4,427)",141573,"(+/-4,386)",136721,"(+/-3,470)",149542,"(+/-4,002)",142764,"(+/-3,388)",132500,"(+/-4,236)",97364,"(+/-3,584)",83509,"(+/-3,052)",139421,"(+/-3,441)",113730,"(+/-3,787)",118001,"(+/-3,827)",147127,"(+/-4,026)",50826,"(+/-2,514)",103107,"(+/-4,511)",162616,"(+/-5,009)",95387,"(+/-3,887)",121286,"(+/-3,664)",151340,"(+/-3,898)",61570,"(+/-2,266)",116803,"(+/-3,904)",160326,"(+/-4,401)",98265,"(+/-3,799)",88568,"(+/-3,146)",173019,"(+/-4,423)",74482,"(+/-2,709)",111217,"(+/-3,519)",151151,"(+/-4,990)",150430,"(+/-4,681)",152510,"(+/-4,938)",83834,"(+/-3,354)",145960,"(+/-4,640)",131421,"(+/-3,851)"
Housing,Value,"Less than $50,000",12983,"(+/-1,578)",6963,"(+/-1,262)",6895,"(+/-1,279)",6864,"(+/-1,232)",5218,"(+/-1,201)",3680,(+/-786),5910,"(+/-1,014)",10817,"(+/-1,638)",5293,(+/-816),6368,"(+/-1,141)",3724,(+/-742),1486,(+/-551),2133,(+/-603),1416,(+/-474),1919,(+/-722),5169,"(+/-1,086)",1778,(+/-678),1656,(+/-521),2085,(+/-597),3779,(+/-834),5434,(+/-970),5334,"(+/-1,068)",5314,"(+/-1,109)",3334,(+/-725),5648,(+/-948),2933,(+/-621),1068,(+/-382),795,(+/-312),1953,(+/-538),1851,(+/-492),3991,(+/-885),4001,(+/-775),1324,(+/-442),716,(+/-296),5648,"(+/-1,070)",17433,"(+/-1,956)",870,(+/-328),2824,(+/-575),1834,(+/-590),1553,(+/-490),3323,(+/-660),4795,(+/-921),1988,(+/-668),3254,(+/-703),1863,(+/-526),3267,(+/-686),2762,(+/-598),2527,(+/-626),1726,(+/-508),7279,"(+/-1,504)",6731,"(+/-1,202)",1586,(+/-527),2185,(+/-710)
