Topic,Subject,Title,"District 01 Value","District 01 MOE","District 02 Value","District 02 MOE","District 03 Value","District 03 MOE","District 04 Value","District 04 MOE","District 05 Value","District 05 MOE"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,500 to $1,999",40290,"(+/-2,919)",24339,"(+/-2,088)",39882,"(+/-2,727)",28037,"(+/-2,255)",31891,"(+/-2,514)"
Housing,"Selected Monthly Owner Costs(SMOC)","$2,000 to $2,499",24142,"(+/-2,281)",8671,"(+/-1,335)",23027,"(+/-1,936)",11253,"(+/-1,476)",19027,"(+/-2,115)"
Housing,"Selected Monthly Owner Costs(SMOC)","$2,500 to $2,999",13405,"(+/-1,719)",3162,(+/-882),9756,"(+/-1,529)",4862,(+/-977),8190,"(+/-1,406)"
Housing,"Selected Monthly Owner Costs(SMOC)","$3,000 or more",10867,"(+/-1,586)",4158,(+/-850),10398,"(+/-1,152)",3752,"(+/-1,017)",7055,"(+/-1,085)"
Housing,"Selected Monthly Owner Costs(SMOC)","Median (dollars)",1724,(+/-31),1289,(+/-27),1706,(+/-28),1380,(+/-30),1540,(+/-35)
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units without a mortgage",49953,"(+/-2,977)",78471,"(+/-3,594)",51905,"(+/-2,670)",76868,"(+/-3,435)",65123,"(+/-2,833)"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $250",3359,(+/-964),10943,"(+/-1,470)",1830,(+/-563),13173,"(+/-1,669)",5312,"(+/-1,011)"
Housing,"Selected Monthly Owner Costs(SMOC)","$250 to $399",8701,"(+/-1,110)",24967,"(+/-2,149)",6238,"(+/-1,145)",23172,"(+/-2,145)",13725,"(+/-1,612)"
Housing,"Selected Monthly Owner Costs(SMOC)","$400 to $599",17048,"(+/-1,735)",25990,"(+/-2,186)",21376,"(+/-1,733)",26255,"(+/-1,926)",22678,"(+/-1,920)"
Housing,"Selected Monthly Owner Costs(SMOC)","$600 to $799",11772,"(+/-1,726)",11769,"(+/-1,580)",13885,"(+/-1,779)",9603,"(+/-1,282)",14874,"(+/-1,691)"
Housing,"Selected Monthly Owner Costs(SMOC)","$800 to $999",4764,(+/-893),2550,(+/-713),5135,(+/-836),2791,(+/-796),4387,(+/-835)
Housing,"Selected Monthly Owner Costs(SMOC)","$1,000 or more",4309,(+/-743),2252,(+/-865),3441,(+/-730),1874,(+/-678),4147,(+/-768)
Housing,"Selected Monthly Owner Costs(SMOC)","Median (dollars)",558,(+/-15),420,(+/-12),571,(+/-12),415,(+/-12),527,(+/-15)
Housing,"Gross Rent","Occupied units paying rent",115390,"(+/-4,346)",105936,"(+/-4,105)",128931,"(+/-4,557)",120592,"(+/-4,443)",106620,"(+/-3,603)"
Housing,"Gross Rent","Less than $500",6578,"(+/-1,382)",13025,"(+/-1,876)",10152,"(+/-1,669)",15110,"(+/-2,343)",7606,"(+/-1,489)"
Housing,"Gross Rent","$500 to $999",41581,"(+/-3,106)",59211,"(+/-3,804)",51861,"(+/-3,439)",67648,"(+/-3,524)",53588,"(+/-3,133)"
Housing,"Gross Rent","$1,000 to $1,499",45337,"(+/-3,214)",24329,"(+/-2,770)",41530,"(+/-3,279)",29522,"(+/-2,406)",33447,"(+/-2,807)"
Housing,"Gross Rent","$1,500 to $1,999",15825,"(+/-1,961)",6228,"(+/-1,460)",17434,"(+/-2,277)",5852,"(+/-1,211)",8616,"(+/-1,417)"
Housing,"Gross Rent","$2,000 to $2,499",3101,(+/-944),2009,(+/-927),5312,"(+/-1,108)",1624,(+/-670),2350,(+/-931)
Housing,"Gross Rent","$2,500 to $2,999",1435,(+/-562),502,(+/-363),1703,(+/-563),126,(+/-170),641,(+/-382)
Housing,"Gross Rent","$3,000 or more",1533,(+/-739),632,(+/-346),939,(+/-435),710,(+/-444),372,(+/-273)
Housing,"Gross Rent","Median (dollars)",1085,(+/-22),842,(+/-20),1024,(+/-28),840,(+/-15),931,(+/-24)
Housing,"Gross Rent","No rent paid",4353,"(+/-1,044)",8970,"(+/-1,228)",3529,(+/-835),5798,"(+/-1,461)",4195,"(+/-1,041)"
Socioeconomic,"Income and Benefits (In 2015 inflation-adjusted dollars)","Total households",308174,"(+/-3,086)",311030,"(+/-4,387)",314464,"(+/-3,568)",317272,"(+/-3,342)",302265,"(+/-3,330)"
Socioeconomic,"Income and Benefits (In 2015 inflation-adjusted dollars)","Less than $10,000",14410,"(+/-1,865)",24288,"(+/-2,788)",22726,"(+/-2,323)",27520,"(+/-2,688)",15902,"(+/-2,086)"
Socioeconomic,"Income and Benefits (In 2015 inflation-adjusted dollars)","$10,000 to $14,999",9674,"(+/-1,530)",17810,"(+/-2,256)",13376,"(+/-1,914)",19335,"(+/-2,145)",15434,"(+/-2,015)"
Socioeconomic,"Income and Benefits (In 2015 inflation-adjusted dollars)","$15,000 to $24,999",24779,"(+/-2,492)",38365,"(+/-2,921)",28585,"(+/-2,496)",40718,"(+/-3,066)",29168,"(+/-2,365)"
Socioeconomic,"Income and Benefits (In 2015 inflation-adjusted dollars)","$25,000 to $34,999",28922,"(+/-2,555)",37280,"(+/-3,101)",30971,"(+/-2,432)",39163,"(+/-2,706)",28743,"(+/-2,622)"
Socioeconomic,"Income and Benefits (In 2015 inflation-adjusted dollars)","$35,000 to $49,999",38377,"(+/-2,985)",46750,"(+/-3,145)",38956,"(+/-2,708)",45350,"(+/-3,221)",41319,"(+/-2,676)"
Socioeconomic,"Income and Benefits (In 2015 inflation-adjusted dollars)","$50,000 to $74,999",55484,"(+/-3,033)",60646,"(+/-3,296)",58267,"(+/-3,715)",59883,"(+/-3,241)",57030,"(+/-4,023)"
Socioeconomic,"Income and Benefits (In 2015 inflation-adjusted dollars)","$75,000 to $99,999",42218,"(+/-2,936)",36507,"(+/-2,621)",43146,"(+/-2,766)",34915,"(+/-2,562)",39561,"(+/-2,934)"
Socioeconomic,"Income and Benefits (In 2015 inflation-adjusted dollars)","$100,000 to $149,999",49259,"(+/-2,794)",32963,"(+/-2,848)",44914,"(+/-2,868)",32108,"(+/-2,473)",43850,"(+/-3,062)"
Socioeconomic,"Income and Benefits (In 2015 inflation-adjusted dollars)","$150,000 to $199,000",21546,"(+/-1,823)",7952,"(+/-1,553)",16767,"(+/-1,688)",10516,"(+/-1,503)",14855,"(+/-1,635)"
Socioeconomic,"Income and Benefits (In 2015 inflation-adjusted dollars)","$200,000 or more",23505,"(+/-2,150)",8469,"(+/-1,489)",16756,"(+/-1,600)",7764,"(+/-1,383)",16403,"(+/-1,810)"
Socioeconomic,"Income and Benefits (In 2015 inflation-adjusted dollars)","Median household income (dollars)",66349,"(+/-1,368)",46793,"(+/-1,492)",58809,"(+/-2,038)",44747,"(+/-1,603)",58466,"(+/-2,557)"
Socioeconomic,"Income and Benefits (In 2015 inflation-adjusted dollars)","Mean household income (dollars)",89011,"(+/-2,154)",62753,"(+/-2,354)",76758,"(+/-1,740)",60455,"(+/-1,596)",77220,"(+/-2,090)"
Socioeconomic,"Health Insurance Coverage","Civilian noninstitutionalized population",813262,"(+/-4,397)",784756,"(+/-2,963)",811240,"(+/-7,204)",777054,"(+/-2,848)",804821,"(+/-6,009)"
Socioeconomic,"Health Insurance Coverage","With health insurance coverage",758313,"(+/-6,643)",721750,"(+/-6,247)",754754,"(+/-7,808)",721211,"(+/-5,943)",754842,"(+/-8,017)"
Socioeconomic,"Health Insurance Coverage","With private health insurance",601476,"(+/-10,063)",467353,"(+/-11,526)",553088,"(+/-10,281)",487566,"(+/-9,649)",563219,"(+/-10,514)"
Socioeconomic,"Health Insurance Coverage","With public coverage",255152,"(+/-8,537)",381489,"(+/-9,696)",295052,"(+/-10,158)",362507,"(+/-8,269)",313168,"(+/-9,274)"
Socioeconomic,"Health Insurance Coverage","No health insurance coverage",54949,"(+/-4,931)",63006,"(+/-5,622)",56486,"(+/-4,857)",55843,"(+/-5,649)",49979,"(+/-5,430)"
Socioeconomic,"Health Insurance Coverage","Civilian noninstitutionalized population under 18 years",187295,"(+/-1,664)",174344,"(+/-1,628)",161475,"(+/-2,699)",147889,"(+/-1,686)",188405,"(+/-2,637)"
Socioeconomic,"Health Insurance Coverage","No health insurance coverage",6263,"(+/-1,669)",9036,"(+/-2,314)",3460,"(+/-1,301)",5985,"(+/-1,645)",6324,"(+/-1,716)"
Socioeconomic,"Percentage of Families and People whose Income in the Past 12 Months is Below the Poverty Level","All families",7,(+/-1.0),12.8,(+/-1.2),9.5,(+/-1.2),11.5,(+/-1.0),8.5,(+/-1.1)
Socioeconomic,"Percentage of Families and People whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 18 years",11.1,(+/-1.7),21.8,(+/-2.3),15,(+/-2.1),20.9,(+/-2.2),15.1,(+/-2.2)
Socioeconomic,"Percentage of Families and People whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 5 years only",8.8,(+/-3.4),23.3,(+/-5.7),11.8,(+/-3.4),24.6,(+/-6.7),17.7,(+/-6.6)
Socioeconomic,"Percentage of Families and People whose Income in the Past 12 Months is Below the Poverty Level","Married couple families",3.8,(+/-0.8),7,(+/-1.1),5.1,(+/-1.0),6.4,(+/-1.1),4,(+/-0.9)
Socioeconomic,"Percentage of Families and People whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 18 years",5.5,(+/-1.6),10.7,(+/-2.4),7.5,(+/-1.9),11.2,(+/-2.8),6.7,(+/-1.9)
Socioeconomic,"Percentage of Families and People whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 5 years only",2.2,(+/-1.6),8,(+/-4.5),4.1,(+/-2.3),13.3,(+/-5.9),4.8,(+/-2.9)
Socioeconomic,"Percentage of Families and People whose Income in the Past 12 Months is Below the Poverty Level","Families with female householder, no husband present",23.9,(+/-4.5),38,(+/-4.8),26.2,(+/-4.3),30.1,(+/-4.2),28.4,(+/-4.5)
Socioeconomic,"Percentage of Families and People whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 18 years",31.6,(+/-6.1),48.9,(+/-6.0),35.4,(+/-5.7),37.8,(+/-5.3),38.9,(+/-6.0)
Socioeconomic,"Percentage of Families and People whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 5 years only",34.9,(+/-13.8),64,(+/-13.5),39.3,(+/-12.7),45.5,(+/-15.4),55.1,(+/-18.5)
Socioeconomic,"Percentage of Families and People whose Income in the Past 12 Months is Below the Poverty Level","All people",11,(+/-1.0),18.2,(+/-1.3),15.5,(+/-1.1),19.1,(+/-1.2),13.2,(+/-1.3)
Socioeconomic,"Percentage of Families and People whose Income in the Past 12 Months is Below the Poverty Level","Under 18 years",13.3,(+/-2.0),26.3,(+/-2.9),18.3,(+/-2.6),25.3,(+/-3.1),19.2,(+/-3.1)
Socioeconomic,"Percentage of Families and People whose Income in the Past 12 Months is Below the Poverty Level","Related children of the householder under 18 years",13,(+/-2.0),25.9,(+/-2.9),17.8,(+/-2.6),24.5,(+/-3.0),18.6,(+/-3.2)
Socioeconomic,"Percentage of Families and People whose Income in the Past 12 Months is Below the Poverty Level","Related children of the householder under 5 years",13,(+/-3.5),32.2,(+/-4.9),16.5,(+/-3.1),29.8,(+/-4.2),24.6,(+/-5.2)
Socioeconomic,"Percentage of Families and People whose Income in the Past 12 Months is Below the Poverty Level","Related children of the householder 5 to 17 years",13.1,(+/-2.1),23.6,(+/-3.1),18.4,(+/-3.1),22.6,(+/-3.5),16.5,(+/-2.9)
Socioeconomic,"Percentage of Families and People whose Income in the Past 12 Months is Below the Poverty Level","18 years and over",10.3,(+/-0.8),15.9,(+/-1.0),14.9,(+/-0.9),17.6,(+/-1.0),11.4,(+/-0.9)
Socioeconomic,"Percentage of Families and People whose Income in the Past 12 Months is Below the Poverty Level","65 years and over",5.3,(+/-0.9),8.9,(+/-1.2),9.1,(+/-1.4),8.2,(+/-1.3),4.9,(+/-1.0)
Socioeconomic,"Percentage of Families and People whose Income in the Past 12 Months is Below the Poverty Level","People in families",8,(+/-1.1),15,(+/-1.5),10.6,(+/-1.4),13.4,(+/-1.4),9.8,(+/-1.4)
Socioeconomic,"Percentage of Families and People whose Income in the Past 12 Months is Below the Poverty Level","Unrelated individuals 15 years and over",22.2,(+/-1.7),30,(+/-1.8),27.5,(+/-1.4),35.3,(+/-2.0),27.3,(+/-2.4)
Education,"School Enrollment","Population 3 years and over enrolled in school",200785,"(+/-4,597)",175201,"(+/-4,796)",187991,"(+/-5,916)",186139,"(+/-4,595)",200443,"(+/-5,088)"
Education,"School Enrollment","Nursery school, preschool",13907,"(+/-1,911)",9324,"(+/-1,485)",13759,"(+/-1,554)",9800,"(+/-1,429)",10763,"(+/-1,714)"
Education,"School Enrollment",Kindergarten,11094,"(+/-1,749)",8730,"(+/-1,499)",8499,"(+/-1,203)",7136,"(+/-1,141)",10741,"(+/-1,657)"
Education,"School Enrollment","Elementary school (grades 1-8)",81806,"(+/-2,588)",77814,"(+/-2,414)",67567,"(+/-3,141)",65805,"(+/-2,413)",84732,"(+/-3,131)"
Education,"School Enrollment","High school (grades 9-12)",46837,"(+/-2,228)",41863,"(+/-2,216)",34286,"(+/-2,213)",36215,"(+/-2,111)",44611,"(+/-1,962)"
Education,"School Enrollment","College or graduate school",47141,"(+/-3,225)",37470,"(+/-3,644)",63880,"(+/-3,675)",67183,"(+/-3,861)",49596,"(+/-3,949)"
Education,"Educational Attainment","Population 25 years and over",565397,"(+/-3,329)",559115,"(+/-3,000)",585668,"(+/-5,167)",543272,"(+/-2,698)",551009,"(+/-3,812)"
Education,"Educational Attainment","Less than 9th grade",20564,"(+/-2,446)",21389,"(+/-2,443)",23926,"(+/-3,005)",14754,"(+/-1,993)",22671,"(+/-3,116)"
Education,"Educational Attainment","9th to 12th grade, no diploma",29122,"(+/-3,217)",37565,"(+/-3,298)",36100,"(+/-3,941)",39224,"(+/-3,119)",34270,"(+/-3,210)"
Education,"Educational Attainment","High school graduate (includes equivalency)",106588,"(+/-4,419)",159809,"(+/-6,749)",109887,"(+/-5,112)",140625,"(+/-6,164)",138021,"(+/-5,829)"
Education,"Educational Attainment","Some college, no degree",130077,"(+/-6,245)",155247,"(+/-5,766)",137995,"(+/-6,104)",156611,"(+/-5,637)",142918,"(+/-6,341)"
Education,"Educational Attainment","Associate's degree",50523,"(+/-3,695)",50852,"(+/-3,491)",44287,"(+/-3,467)",51349,"(+/-3,284)",48420,"(+/-3,374)"
Education,"Educational Attainment","Bachelor's degree",142982,"(+/-5,576)",85315,"(+/-4,470)",144568,"(+/-5,218)",87836,"(+/-4,262)",105543,"(+/-4,424)"
Education,"Educational Attainment","Graduate or professional degree",85541,"(+/-3,695)",48938,"(+/-3,974)",88905,"(+/-4,104)",52873,"(+/-3,444)",59166,"(+/-3,754)"
Education,"Educational Attainment","Percent high school graduate or higher",91.2,(+/-0.7),89.5,(+/-0.7),89.8,(+/-0.9),90.1,(+/-0.6),89.7,(+/-0.9)
Education,"Educational Attainment","Percent bachelor's degree or higher",40.4,(+/-1.2),24,(+/-1.0),39.9,(+/-1.1),25.9,(+/-1.0),29.9,(+/-1.1)
Topic,Subject,Title,"District 01 Value","District 01 Flag","District 02 Value","District 02 Flag","District 03 Value","District 03 Flag","District 04 Value","District 04 Flag","District 05 Value","District 05 Flag"
Business,"Paid employees for pay period including March 12","Total for all sectors",359902,G,244444,G,381970,G,236459,G,261782,G
Business,"Paid employees for pay period including March 12","Agriculture, forestry, fishing and hunting",1559,G,2922,G,238,J,4673,G,2711,G
Business,"Paid employees for pay period including March 12","Mining, quarrying, and oil and gas extraction",201,G,462,H,90,G,375,G,215,H
Business,"Paid employees for pay period including March 12",Utilities,1528,G,1563,J,3747,H,599,H,548,H
Business,"Paid employees for pay period including March 12",Construction,19184,G,13340,G,18715,G,11384,G,17172,G
Business,"Paid employees for pay period including March 12",Manufacturing,44745,G,26505,G,28991,G,29370,G,30037,G
Business,"Paid employees for pay period including March 12","Wholesale trade",28610,G,8437,G,20593,G,9103,G,13828,G
Business,"Paid employees for pay period including March 12","Retail trade",43829,G,42270,G,39784,G,37524,G,39580,G
Business,"Paid employees for pay period including March 12","Transportation and warehousing",6500,G,10780,G,21649,G,8664,G,8962,G
Business,"Paid employees for pay period including March 12",Information,12245,G,4288,G,10146,G,5608,H,3782,G
Business,"Paid employees for pay period including March 12","Finance and insurance",14572,G,7400,G,19271,G,8181,G,9247,G
Business,"Paid employees for pay period including March 12","Real estate and rental and leasing",6719,G,3957,G,8324,G,3852,G,5055,G
Business,"Paid employees for pay period including March 12","Professional, scientific, and technical services",28002,G,9120,G,30090,G,9435,G,12680,G
Business,"Paid employees for pay period including March 12","Management of companies and enterprises",22381,H,3996,G,10988,G,3712,G,4842,H
Business,"Paid employees for pay period including March 12","Administrative and support and waste management and remediation services",23901,G,12385,G,23635,G,13487,G,16629,G
Business,"Paid employees for pay period including March 12","Educational services",11090,G,2842,G,15765,H,2926,G,5368,H
Business,"Paid employees for pay period including March 12","Health care and social assistance",43238,G,44795,G,57919,G,44825,G,43697,G
Business,"Paid employees for pay period including March 12","Arts, entertainment, and recreation",4995,G,5790,G,6955,G,4063,G,4449,G
Business,"Paid employees for pay period including March 12","Accommodation and food services",33299,G,32324,G,46237,G,28496,G,30024,G
Business,"Paid employees for pay period including March 12","Other services (except public administration)",13197,G,11191,G,18746,G,10100,G,12871,G
Business,"Paid employees for pay period including March 12","Industries not classified",107,H,77,G,87,H,82,G,85,J
Business,"Annual payroll ($1,000)","Total for all sectors",21645623,G,8936583,G,19343462,G,9182136,G,11096010,G
Business,"Annual payroll ($1,000)","Agriculture, forestry, fishing and hunting",69687,G,121000,G,16943,H,204831,G,115115,G
Business,"Annual payroll ($1,000)","Mining, quarrying, and oil and gas extraction",11943,G,25878,H,6678,G,18853,G,11296,G
Business,"Annual payroll ($1,000)",Utilities,151510,G,131676,H,356859,H,52040,H,45249,H
Business,"Annual payroll ($1,000)",Construction,1145107,G,607938,G,1143694,G,557126,G,925781,G
Business,"Annual payroll ($1,000)",Manufacturing,2940973,G,1099757,G,1488322,G,1505040,G,1603950,G
Business,"Annual payroll ($1,000)","Wholesale trade",2977279,H,383255,G,1284787,G,475625,G,817668,G
Business,"Annual payroll ($1,000)","Retail trade",1259433,G,1148919,G,1256316,G,984605,G,1092978,G
Business,"Annual payroll ($1,000)","Transportation and warehousing",313919,G,460181,G,1074533,G,342263,G,392552,G
Business,"Annual payroll ($1,000)",Information,924554,G,223025,G,751558,G,293647,H,247270,G
Business,"Annual payroll ($1,000)","Finance and insurance",929303,G,401994,G,1717758,G,450106,G,646632,G
Business,"Annual payroll ($1,000)","Real estate and rental and leasing",282738,G,126183,G,375541,G,117364,G,222191,G
Business,"Annual payroll ($1,000)","Professional, scientific, and technical services",2490334,H,447250,G,2266254,G,487116,G,887213,G
Business,"Annual payroll ($1,000)","Management of companies and enterprises",3539964,J,252129,G,1242028,G,265585,G,310727,H
Business,"Annual payroll ($1,000)","Administrative and support and waste management and remediation services",905818,G,365775,G,837166,G,357656,G,496170,G
Business,"Annual payroll ($1,000)","Educational services",255092,G,69761,G,463118,G,65580,G,130051,H
Business,"Annual payroll ($1,000)","Health care and social assistance",2177828,G,2105562,G,3304898,G,2186834,G,2162872,G
Business,"Annual payroll ($1,000)","Arts, entertainment, and recreation",176601,H,103972,G,195803,G,78841,H,96135,G
Business,"Annual payroll ($1,000)","Accommodation and food services",629866,G,593548,G,928124,G,476737,G,548699,G
Business,"Annual payroll ($1,000)","Other services (except public administration)",461520,G,267348,G,631239,G,260777,G,341906,G
Business,"Annual payroll ($1,000)","Industries not classified",2154,G,1432,G,1843,H,1510,G,1555,G
Business,"Total Establishments","Total for all sectors",22769,X,23068,X,25515,X,19344,X,21261,X
Business,"Total Establishments","Agriculture, forestry, fishing and hunting",177,X,361,X,32,X,499,X,261,X
Business,"Total Establishments","Mining, quarrying, and oil and gas extraction",16,X,49,X,11,X,41,X,21,X
Business,"Total Establishments",Utilities,36,X,120,X,47,X,37,X,32,X
Business,"Total Establishments",Construction,2171,X,2819,X,2195,X,1996,X,2618,X
Business,"Total Establishments",Manufacturing,1228,X,1068,X,1113,X,1047,X,976,X
Business,"Total Establishments","Wholesale trade",1274,X,916,X,1276,X,757,X,1024,X
Business,"Total Establishments","Retail trade",2623,X,3254,X,2839,X,2725,X,2715,X
Business,"Total Establishments","Transportation and warehousing",511,X,714,X,775,X,568,X,524,X
Business,"Total Establishments",Information,474,X,411,X,543,X,292,X,290,X
Business,"Total Establishments","Finance and insurance",1194,X,1164,X,1132,X,1008,X,1314,X
Business,"Total Establishments","Real estate and rental and leasing",1378,X,1227,X,1379,X,972,X,1188,X
Business,"Total Establishments","Professional, scientific, and technical services",2730,X,2049,X,3471,X,1718,X,2036,X
Business,"Total Establishments","Management of companies and enterprises",198,X,93,X,185,X,97,X,109,X
Business,"Total Establishments","Administrative and support and waste management and remediation services",1361,X,1109,X,1190,X,861,X,1131,X
Business,"Total Establishments","Educational services",378,X,272,X,436,X,236,X,256,X
Business,"Total Establishments","Health care and social assistance",2726,X,2688,X,2978,X,2374,X,2592,X
Business,"Total Establishments","Arts, entertainment, and recreation",332,X,389,X,476,X,289,X,332,X
Business,"Total Establishments","Accommodation and food services",2023,X,2299,X,2850,X,1971,X,1914,X
Business,"Total Establishments","Other services (except public administration)",1873,X,1989,X,2494,X,1790,X,1860,X
Business,"Total Establishments","Industries not classified",66,X,77,X,93,X,66,X,68,X
"Source: 2015 American Community Survey 1-Year Estimates"
"Estimates in the People, Workers, Housing, Socioeconomic, and Education tabs are from the American Community Survey (ACS). The ACS is an annual household survey developed by the U.S. Census Bureau to replace the long form of the decennial census program. Each year, the ACS samples about 3.5 million household addresses to produce nearly 11 billion estimates covering demographic, social, economic, and housing characteristics."
"Except where noted, 'race' refers to people reporting only one race.  'Hispanic' refers to an ethnic category;  Hispanics may be of any race."
"An '**' entry in the margin of error column indicates that either no sample observations or too few sample observations were available to compute a standard error and thus the margin of error. A statistical test is not appropriate."
"An '-' entry in the estimate column indicates that either no sample observations or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest interval or upper interval of an open-ended distribution."
"An '-' following a median estimate means the median falls in the lowest interval of an open-ended distribution."
"An '+' following a median estimate means the median falls in the upper interval of an open-ended distribution."
"An '***' entry in the margin of error column indicates that the median falls in the lowest interval or upper interval of an open-ended distribution. A statistical test is not appropriate."
"An '*****' entry in the margin of error column indicates that the estimate is controlled. A statistical test for sampling variability is not appropriate."
"An 'N' entry in the estimate and margin of error columns indicates that data for this geographic area cannot be displayed because the number of sample cases is too small."
"An '(X)' means that the estimate is not applicable or not available"
"If calculating a percentage, use the total population line within the section as the denominator. Do not use total population lines from other sections since these may have different universes."
"Source: 2015 County Business Patterns for Congressional Districts"
"1. CBP data includes the number of establishments, employment during the week of March 12, and annual payroll. CBP basic data are extracted from the Business Register (BR), a database of all known single and multi-establishment employer companies maintained and updated by the U.S. Census Bureau. Primary causes of differences between CBP employment estimates and ACS estimates: CBP does not cover the self-employed, public employment, and most agricultural employment; CBP estimates are not based on a sample survey; they represent business location as opposed to workers' residence in the district; use the week of March 12 as a reference period; and use a business source to determine industry."
"2. Industries not classified - Industry could not be determined."
"3. Statewide - CBP data includes employers without a fixed location within a state (or of unknown county location), these are included under a statewide classification. Statewide cases are withheld from the tabulation for this My Congressional District tool. This incomplete detail causes only a slight understatement of a district's total estimates. Statewide cases do not apply to at-large districts."
"4. If a sector does not appear in a district, CBP did not identify any establishments in the district."
"5. Disclosure and Quality Indicator Flag Definitions:"
"D Withheld to avoid disclosing data for individual companies; data are included in higher level totals"
"G Cell value changed by less than 2 percent by the application of noise"
"H Cell value changed by at least 2 percent but less than 5 percent by the application of noise"
"S Cell value withheld because it did not meet publication standards"
"N Not available or not comparable"
"X Not applicable"
"a 0 to 19 employees"
"b 20 to 99 employees"
"c 100 to 249 employees"
"e 250 to 499 employees"
"f 500 to 999 employees"
"g 1,000 to 2,499 employees"
"h 2,500 to 4,999 employees"
"i 5,000 to 9,999 employees"
"j 10,000 to 24,999 employees"
"l 50,000 to 99,999 employees"
"m 100,000 employees or more"
