Topic,Subject,Title,"District 01 Value","District 01 MOE","District 02 Value","District 02 MOE","District 03 Value","District 03 MOE","District 04 Value","District 04 MOE","District 05 Value","District 05 MOE","District 06 Value","District 06 MOE","District 07 Value","District 07 MOE","District 08 Value","District 08 MOE","District 09 Value","District 09 MOE","District 10 Value","District 10 MOE","District 11 Value","District 11 MOE","District 12 Value","District 12 MOE","District 13 Value","District 13 MOE","District 14 Value","District 14 MOE","District 15 Value","District 15 MOE","District 16 Value","District 16 MOE","District 17 Value","District 17 MOE","District 18 Value","District 18 MOE","District 19 Value","District 19 MOE","District 20 Value","District 20 MOE","District 21 Value","District 21 MOE","District 22 Value","District 22 MOE","District 23 Value","District 23 MOE","District 24 Value","District 24 MOE","District 25 Value","District 25 MOE","District 26 Value","District 26 MOE","District 27 Value","District 27 MOE"
People,"Place of Birth",Native,711885,"(+/-3,668)",670825,"(+/-9,446)",672780,"(+/-8,914)",681365,"(+/-11,715)",685010,"(+/-12,017)",677045,"(+/-8,517)",645530,"(+/-13,222)",667755,"(+/-7,100)",679630,"(+/-16,340)",603700,"(+/-16,768)",696700,"(+/-10,123)",665415,"(+/-8,398)",629615,"(+/-8,152)",617940,"(+/-12,260)",653835,"(+/-18,561)",684650,"(+/-11,382)",660175,"(+/-12,090)",632915,"(+/-10,417)",640500,"(+/-10,020)",497635,"(+/-14,239)",552630,"(+/-10,762)",547115,"(+/-12,764)",476095,"(+/-11,708)",425275,"(+/-12,035)",340130,"(+/-13,010)",424440,"(+/-13,514)",344445,"(+/-11,610)"
People,"Place of Birth","Born in United States",690665,"(+/-4,098)",658820,"(+/-9,136)",653065,"(+/-9,167)",664530,"(+/-11,875)",672100,"(+/-11,917)",650185,"(+/-8,475)",589230,"(+/-13,106)",646760,"(+/-6,754)",559635,"(+/-16,392)",545500,"(+/-14,663)",677280,"(+/-10,103)",650570,"(+/-7,792)",614440,"(+/-8,263)",578975,"(+/-11,280)",618820,"(+/-17,651)",667540,"(+/-10,958)",647440,"(+/-12,082)",619865,"(+/-9,708)",624445,"(+/-9,995)",478220,"(+/-12,956)",532585,"(+/-10,851)",527560,"(+/-13,246)",449760,"(+/-11,526)",398430,"(+/-11,576)",319305,"(+/-12,782)",396165,"(+/-12,893)",324635,"(+/-11,449)"
People,"Place of Birth","State of residence",297390,"(+/-8,769)",372525,"(+/-8,100)",375010,"(+/-9,657)",295485,"(+/-11,135)",449515,"(+/-10,335)",255900,"(+/-8,413)",289445,"(+/-10,514)",247765,"(+/-9,230)",244895,"(+/-12,837)",276635,"(+/-11,547)",214075,"(+/-12,154)",224755,"(+/-7,228)",245470,"(+/-8,747)",302375,"(+/-10,369)",321040,"(+/-13,608)",244865,"(+/-8,917)",254985,"(+/-11,683)",242630,"(+/-10,168)",183805,"(+/-6,944)",315685,"(+/-10,123)",190935,"(+/-9,054)",207455,"(+/-9,395)",236390,"(+/-8,915)",305590,"(+/-10,561)",197670,"(+/-9,744)",281215,"(+/-11,858)",212995,"(+/-10,830)"
People,"Place of Birth","Different state",393280,"(+/-8,889)",286290,"(+/-7,001)",278060,"(+/-7,723)",369040,"(+/-12,022)",222585,"(+/-9,205)",394280,"(+/-8,528)",299785,"(+/-10,425)",398990,"(+/-10,210)",314740,"(+/-14,103)",268865,"(+/-12,274)",463205,"(+/-11,589)",425815,"(+/-8,934)",368970,"(+/-7,864)",276600,"(+/-9,158)",297780,"(+/-11,095)",422675,"(+/-9,594)",392460,"(+/-9,485)",377240,"(+/-9,890)",440640,"(+/-9,435)",162535,"(+/-7,968)",341645,"(+/-7,465)",320105,"(+/-10,626)",213370,"(+/-8,739)",92840,"(+/-6,469)",121630,"(+/-7,540)",114950,"(+/-5,836)",111640,"(+/-6,062)"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",21220,"(+/-2,843)",12005,"(+/-2,012)",19715,"(+/-3,146)",16835,"(+/-2,556)",12910,"(+/-2,705)",26860,"(+/-3,639)",56300,"(+/-6,511)",20995,"(+/-2,817)",119995,"(+/-9,540)",58200,"(+/-6,051)",19420,"(+/-4,447)",14845,"(+/-2,285)",15170,"(+/-3,018)",38965,"(+/-4,470)",35015,"(+/-5,076)",17115,"(+/-2,538)",12730,"(+/-2,509)",13050,"(+/-2,706)",16050,"(+/-3,366)",19415,"(+/-3,508)",20050,"(+/-3,270)",19555,"(+/-3,177)",26335,"(+/-3,492)",26845,"(+/-3,628)",20825,"(+/-3,531)",28275,"(+/-3,866)",19810,"(+/-2,502)"
People,"Place of Birth","Foreign born",39040,"(+/-3,370)",33690,"(+/-2,786)",53935,"(+/-4,370)",71685,"(+/-6,325)",54375,"(+/-4,892)",58460,"(+/-5,669)",95995,"(+/-7,246)",62990,"(+/-5,675)",139195,"(+/-10,565)",182015,"(+/-11,660)",48155,"(+/-5,781)",75540,"(+/-4,859)",91275,"(+/-5,258)",139500,"(+/-8,030)",85615,"(+/-7,747)",98110,"(+/-6,843)",85170,"(+/-6,261)",116560,"(+/-8,656)",133850,"(+/-7,708)",285160,"(+/-13,969)",189585,"(+/-9,911)",192285,"(+/-10,117)",259415,"(+/-10,638)",313730,"(+/-11,748)",414465,"(+/-10,106)",371715,"(+/-11,648)",394720,"(+/-11,629)"
People,Ancestry,"Total population",750930,"(+/-1,392)",704515,"(+/-9,387)",726720,"(+/-7,835)",753050,"(+/-10,867)",739390,"(+/-12,338)",735505,"(+/-7,831)",741525,"(+/-13,337)",730745,"(+/-3,776)",818825,"(+/-15,579)",785715,"(+/-16,243)",744855,"(+/-9,673)",740955,"(+/-8,125)",720890,"(+/-7,625)",757440,"(+/-11,652)",739450,"(+/-18,393)",782765,"(+/-10,963)",745340,"(+/-12,276)",749475,"(+/-8,852)",774345,"(+/-11,323)",782790,"(+/-14,972)",742215,"(+/-10,349)",739400,"(+/-10,680)",735515,"(+/-8,498)",739005,"(+/-16,136)",754595,"(+/-14,770)",796155,"(+/-15,895)",739165,"(+/-14,041)"
People,Ancestry,American,98120,"(+/-7,375)",86185,"(+/-6,182)",47235,"(+/-5,619)",65340,"(+/-6,550)",35945,"(+/-5,024)",57300,"(+/-6,333)",55735,"(+/-6,379)",72450,"(+/-7,579)",95755,"(+/-11,337)",66870,"(+/-8,429)",61815,"(+/-6,972)",102970,"(+/-8,872)",75940,"(+/-5,796)",44765,"(+/-5,675)",59645,"(+/-5,642)",90770,"(+/-9,051)",103795,"(+/-9,850)",54420,"(+/-6,919)",107750,"(+/-8,938)",67365,"(+/-8,882)",47215,"(+/-5,542)",38500,"(+/-4,583)",72075,"(+/-6,915)",65580,"(+/-8,693)",40450,"(+/-6,849)",31645,"(+/-5,287)",35365,"(+/-5,180)"
People,Ancestry,Arab,1815,"(+/-1,488)",3455,"(+/-1,651)",3580,"(+/-1,865)",7195,"(+/-2,840)",3610,"(+/-1,823)",3020,"(+/-1,196)",5740,"(+/-2,296)",6170,"(+/-2,876)",6515,"(+/-3,087)",6275,"(+/-3,438)",1070,(+/-453),3530,"(+/-1,519)",2445,"(+/-1,141)",6245,"(+/-2,022)",4200,"(+/-1,936)",3325,"(+/-1,550)",1740,"(+/-1,177)",3575,"(+/-1,661)",3900,"(+/-1,955)",4250,"(+/-1,984)",6225,"(+/-2,416)",6620,"(+/-1,992)",7710,"(+/-2,092)",2375,"(+/-1,801)",1190,(+/-751),4315,"(+/-3,444)",4845,"(+/-1,510)"
People,Ancestry,Czech,1465,(+/-602),3165,"(+/-1,446)",2125,"(+/-1,611)",1890,(+/-870),1420,(+/-715),1785,(+/-858),1440,(+/-616),4105,"(+/-1,746)",950,(+/-488),1155,(+/-519),2550,"(+/-1,300)",2370,(+/-759),2310,(+/-647),2240,(+/-895),1450,(+/-589),2910,(+/-887),2060,(+/-839),1990,(+/-818),2450,(+/-800),775,(+/-485),1950,(+/-940),1690,(+/-781),1395,(+/-732),720,(+/-533),1395,(+/-584),370,(+/-230),970,(+/-445)
People,Ancestry,Danish,2320,"(+/-1,256)",1410,(+/-634),3820,"(+/-2,368)",1615,(+/-757),325,(+/-238),1280,(+/-758),3180,"(+/-1,627)",3620,"(+/-1,174)",565,(+/-370),1525,"(+/-1,044)",2810,"(+/-1,213)",2720,(+/-977),1465,(+/-610),1780,(+/-727),605,(+/-360),2305,(+/-874),1430,(+/-629),5330,"(+/-3,327)",4260,"(+/-1,857)",710,(+/-415),1355,(+/-669),1075,(+/-452),845,(+/-427),105,(+/-102),385,(+/-276),310,(+/-234),295,(+/-271)
People,Ancestry,Dutch,7515,"(+/-1,976)",7870,"(+/-1,638)",6285,"(+/-1,332)",9075,"(+/-2,017)",5515,"(+/-2,129)",8940,"(+/-1,692)",5795,"(+/-1,448)",10170,"(+/-2,221)",6900,"(+/-2,121)",4105,"(+/-1,199)",13640,"(+/-3,415)",10575,"(+/-1,804)",9560,"(+/-1,781)",4870,"(+/-1,219)",11680,"(+/-2,892)",10685,"(+/-1,747)",11190,"(+/-2,516)",8820,"(+/-1,597)",8480,"(+/-1,469)",1620,(+/-664),5550,"(+/-1,639)",5530,"(+/-1,358)",3390,"(+/-1,119)",1465,"(+/-1,076)",2575,"(+/-1,047)",2590,"(+/-1,013)",2190,(+/-750)
People,Ancestry,English,79020,"(+/-5,894)",64240,"(+/-4,614)",66175,"(+/-5,395)",80910,"(+/-5,554)",36625,"(+/-4,151)",62675,"(+/-4,366)",61505,"(+/-4,858)",74235,"(+/-5,985)",39880,"(+/-5,073)",37360,"(+/-5,483)",87680,"(+/-7,241)",65680,"(+/-4,359)",71960,"(+/-4,908)",50050,"(+/-4,523)",64005,"(+/-5,775)",70100,"(+/-5,207)",77150,"(+/-4,772)",62705,"(+/-5,499)",71955,"(+/-5,407)",13660,"(+/-2,514)",42115,"(+/-4,093)",46355,"(+/-4,888)",24545,"(+/-3,137)",6505,"(+/-1,285)",14835,"(+/-2,841)",10870,"(+/-1,663)",11715,"(+/-2,121)"
People,Ancestry,"French (except Basque)",23335,"(+/-4,198)",18520,"(+/-2,557)",20520,"(+/-4,485)",19980,"(+/-3,871)",9405,"(+/-1,796)",16710,"(+/-1,953)",15180,"(+/-2,343)",22850,"(+/-3,581)",12785,"(+/-2,719)",14540,"(+/-3,177)",27795,"(+/-4,129)",22445,"(+/-2,994)",22205,"(+/-2,688)",15790,"(+/-2,262)",20200,"(+/-3,511)",23075,"(+/-3,817)",20470,"(+/-3,522)",22405,"(+/-3,139)",19150,"(+/-2,764)",5700,"(+/-2,105)",12835,"(+/-2,133)",15375,"(+/-2,521)",14580,"(+/-3,227)",3635,"(+/-1,414)",5585,"(+/-2,110)",5760,"(+/-1,412)",8900,"(+/-1,531)"
People,Ancestry,"French Canadian",5575,"(+/-1,314)",3025,(+/-862),3085,"(+/-1,007)",3380,"(+/-1,030)",1805,(+/-736),5345,"(+/-1,190)",3500,"(+/-1,019)",6505,"(+/-1,825)",3535,"(+/-1,372)",2510,(+/-873),10690,"(+/-2,570)",4705,"(+/-1,126)",5420,"(+/-1,254)",3760,"(+/-1,065)",5450,"(+/-1,525)",6350,"(+/-1,869)",5955,"(+/-1,593)",6180,"(+/-1,779)",6315,"(+/-1,487)",1550,(+/-637),5055,"(+/-1,733)",5070,"(+/-1,370)",2730,(+/-839),575,(+/-354),1565,(+/-847),455,(+/-318),1310,(+/-654)
People,Ancestry,German,88860,"(+/-6,148)",71410,"(+/-5,321)",82710,"(+/-5,958)",101155,"(+/-7,365)",48875,"(+/-6,152)",83680,"(+/-5,249)",81225,"(+/-6,154)",104015,"(+/-8,093)",58470,"(+/-5,869)",52940,"(+/-4,653)",122515,"(+/-8,574)",121650,"(+/-6,919)",103155,"(+/-5,750)",76330,"(+/-5,741)",75010,"(+/-5,731)",111430,"(+/-6,282)",107975,"(+/-7,890)",91820,"(+/-7,054)",109170,"(+/-6,281)",20430,"(+/-3,253)",66390,"(+/-5,645)",68485,"(+/-5,525)",38435,"(+/-3,815)",9140,"(+/-1,741)",22550,"(+/-3,809)",21035,"(+/-2,751)",22900,"(+/-2,848)"
People,Ancestry,Greek,2830,"(+/-1,082)",1730,(+/-722),1780,(+/-776),5535,"(+/-2,031)",1870,(+/-935),1980,(+/-631),3280,"(+/-1,657)",3590,"(+/-1,363)",1340,(+/-595),2435,"(+/-1,387)",3120,"(+/-1,033)",12025,"(+/-3,139)",5940,"(+/-1,737)",2230,(+/-907),3875,"(+/-1,235)",4935,"(+/-1,628)",2725,"(+/-1,469)",4420,"(+/-1,671)",4375,"(+/-1,076)",1845,(+/-972),4880,"(+/-2,027)",5435,"(+/-2,099)",3845,"(+/-1,740)",1160,(+/-707),740,(+/-575),795,(+/-493),2850,"(+/-1,009)"
People,Ancestry,Hungarian,2505,(+/-925),2075,(+/-764),3130,"(+/-1,253)",2510,"(+/-1,036)",1210,(+/-525),3690,"(+/-1,090)",2490,(+/-725),3605,"(+/-1,274)",2940,"(+/-1,677)",2930,"(+/-1,532)",3770,"(+/-1,044)",4595,"(+/-1,500)",5155,"(+/-1,391)",3470,"(+/-1,017)",2225,(+/-942),6825,"(+/-1,664)",3630,(+/-962),6815,"(+/-1,821)",6130,"(+/-1,439)",2020,"(+/-1,334)",6255,"(+/-1,511)",6465,"(+/-1,772)",3765,"(+/-1,097)",1110,(+/-668),1450,(+/-679),1425,(+/-647),2220,"(+/-1,127)"
People,Ancestry,Irish,89005,"(+/-7,634)",77975,"(+/-7,420)",77505,"(+/-7,178)",86755,"(+/-7,487)",51600,"(+/-5,082)",81000,"(+/-5,617)",72215,"(+/-6,266)",95185,"(+/-6,502)",51905,"(+/-5,380)",57520,"(+/-6,972)",112900,"(+/-7,991)",101795,"(+/-8,117)",85180,"(+/-5,476)",62200,"(+/-5,292)",72405,"(+/-5,875)",78605,"(+/-5,065)",83385,"(+/-6,598)",91735,"(+/-7,358)",92020,"(+/-6,538)",17820,"(+/-2,810)",63055,"(+/-5,340)",72880,"(+/-7,326)",38450,"(+/-4,679)",8265,"(+/-1,750)",18285,"(+/-2,920)",17705,"(+/-2,882)",19350,"(+/-2,822)"
People,Ancestry,Italian,32565,"(+/-3,528)",24845,"(+/-3,380)",35615,"(+/-4,219)",52170,"(+/-6,377)",20540,"(+/-3,758)",52155,"(+/-4,988)",47625,"(+/-4,972)",52840,"(+/-5,016)",28970,"(+/-4,146)",37875,"(+/-5,902)",61430,"(+/-5,587)",70005,"(+/-6,265)",53745,"(+/-4,767)",50130,"(+/-5,177)",39675,"(+/-4,885)",46910,"(+/-4,279)",46585,"(+/-5,099)",80715,"(+/-8,105)",64350,"(+/-5,124)",23830,"(+/-4,000)",75500,"(+/-5,819)",76670,"(+/-5,937)",54185,"(+/-5,989)",10700,"(+/-1,810)",19065,"(+/-3,189)",15765,"(+/-2,498)",27040,"(+/-3,941)"
People,Ancestry,Lithuanian,1025,(+/-543),1420,(+/-818),1520,"(+/-1,060)",725,(+/-577),290,(+/-294),785,(+/-371),930,(+/-392),1390,(+/-582),1190,(+/-646),1360,(+/-765),2055,(+/-763),2745,(+/-842),1985,(+/-711),1080,(+/-529),1500,"(+/-1,104)",2755,"(+/-1,037)",875,(+/-414),3255,"(+/-1,064)",2015,(+/-786),315,(+/-258),2175,(+/-893),3040,(+/-951),1505,(+/-744),355,(+/-244),825,(+/-459),615,(+/-475),725,(+/-412)
People,Ancestry,Norwegian,6795,"(+/-1,759)",5145,"(+/-1,363)",5345,"(+/-1,601)",5700,"(+/-1,292)",2265,"(+/-1,127)",5325,"(+/-1,534)",4350,(+/-998),5900,"(+/-1,644)",4380,"(+/-1,890)",6180,"(+/-3,236)",6130,"(+/-1,505)",5635,"(+/-1,738)",6985,"(+/-1,459)",4705,"(+/-1,402)",3900,"(+/-1,132)",4815,"(+/-1,103)",4935,"(+/-1,328)",4260,"(+/-1,045)",6615,"(+/-1,151)",1220,(+/-704),2670,(+/-854),4560,"(+/-2,302)",3660,"(+/-2,140)",590,(+/-458),1725,(+/-968),1125,(+/-507),655,(+/-294)
People,Ancestry,Polish,17985,"(+/-3,233)",10770,"(+/-2,407)",18775,"(+/-3,416)",18745,"(+/-3,237)",9385,"(+/-2,586)",21135,"(+/-2,609)",17685,"(+/-2,538)",20900,"(+/-3,008)",14525,"(+/-3,023)",15875,"(+/-3,786)",29630,"(+/-3,850)",31800,"(+/-3,285)",26630,"(+/-3,758)",16695,"(+/-2,862)",20100,"(+/-3,947)",25990,"(+/-3,248)",20270,"(+/-3,044)",24760,"(+/-3,430)",26755,"(+/-2,903)",7555,"(+/-1,680)",31005,"(+/-2,969)",30630,"(+/-4,080)",19410,"(+/-4,070)",4410,"(+/-1,223)",4670,"(+/-1,322)",5155,"(+/-1,265)",10535,"(+/-2,524)"
People,Ancestry,Portuguese,1130,(+/-540),1870,"(+/-1,250)",1485,(+/-839),5785,"(+/-2,745)",935,(+/-557),3040,"(+/-1,095)",2550,"(+/-1,301)",3785,"(+/-1,868)",2015,"(+/-1,151)",2905,"(+/-1,370)",4165,"(+/-1,894)",3200,(+/-881),3925,"(+/-1,365)",1850,(+/-677),1345,(+/-643),2025,(+/-906),3255,"(+/-1,203)",4460,"(+/-2,071)",2760,(+/-964),670,(+/-403),3465,"(+/-1,158)",4125,"(+/-1,349)",3580,"(+/-1,374)",355,(+/-239),1530,(+/-802),1105,(+/-489),1870,(+/-780)
People,Ancestry,Russian,2410,(+/-940),4385,"(+/-2,304)",5400,"(+/-1,644)",5420,"(+/-1,657)",2335,(+/-982),4340,"(+/-1,296)",6350,"(+/-1,721)",7475,"(+/-2,072)",3590,"(+/-1,617)",4210,"(+/-2,241)",3505,"(+/-1,076)",6945,"(+/-1,625)",8910,"(+/-2,419)",5650,"(+/-1,433)",3305,"(+/-1,733)",8590,"(+/-1,493)",6950,"(+/-2,774)",12675,"(+/-2,320)",7485,"(+/-1,477)",4290,"(+/-1,316)",31275,"(+/-3,149)",24095,"(+/-4,214)",21050,"(+/-3,304)",4320,"(+/-1,627)",1940,(+/-752),2160,(+/-806),10355,"(+/-2,501)"
People,Ancestry,Scotch-Irish,12325,"(+/-2,043)",9660,"(+/-1,935)",8075,"(+/-1,894)",13045,"(+/-2,415)",6925,"(+/-1,797)",7070,"(+/-1,615)",5975,"(+/-1,428)",9360,"(+/-2,092)",4360,"(+/-1,338)",3205,"(+/-1,257)",10945,"(+/-2,764)",6120,"(+/-1,274)",7775,"(+/-1,613)",5465,"(+/-1,309)",5945,"(+/-1,134)",7390,"(+/-1,591)",7030,"(+/-1,551)",6625,"(+/-1,779)",7925,"(+/-1,760)",1705,"(+/-1,049)",3775,"(+/-1,433)",4770,"(+/-1,365)",3590,"(+/-1,606)",375,(+/-229),1560,(+/-920),1075,(+/-373),1580,(+/-632)
People,Ancestry,Scottish,14510,"(+/-2,524)",12820,"(+/-2,282)",18785,"(+/-3,409)",19695,"(+/-3,121)",9075,"(+/-1,988)",13085,"(+/-1,841)",13805,"(+/-2,338)",16175,"(+/-2,705)",7870,"(+/-1,548)",10070,"(+/-2,285)",18615,"(+/-3,115)",15300,"(+/-2,412)",16465,"(+/-3,023)",11955,"(+/-2,488)",11965,"(+/-1,885)",16440,"(+/-2,528)",15925,"(+/-2,279)",12790,"(+/-2,411)",14135,"(+/-2,521)",2930,"(+/-1,000)",7920,"(+/-1,513)",12400,"(+/-2,854)",6630,"(+/-1,625)",1665,(+/-780),3555,"(+/-1,662)",3305,"(+/-1,002)",3280,(+/-934)
People,Ancestry,Slovak,435,(+/-228),895,(+/-570),505,(+/-398),1065,(+/-435),430,(+/-487),1525,(+/-718),1120,(+/-481),1505,(+/-715),1765,(+/-879),700,(+/-437),2120,(+/-813),1095,(+/-596),2495,"(+/-1,044)",1565,(+/-856),880,(+/-435),2085,(+/-786),1555,(+/-631),1105,(+/-596),2220,(+/-898),210,(+/-189),1040,(+/-597),1500,(+/-652),415,(+/-315),70,(+/-59),650,(+/-576),575,(+/-582),530,(+/-322)
People,Ancestry,"Subsaharan African",2925,"(+/-1,262)",3410,"(+/-1,318)",8780,"(+/-3,417)",4475,"(+/-1,663)",12950,"(+/-3,778)",2195,"(+/-1,332)",2285,(+/-993),2020,"(+/-1,045)",4240,"(+/-4,476)",6240,"(+/-2,102)",2835,"(+/-1,953)",2785,"(+/-1,752)",4315,"(+/-2,033)",7655,"(+/-2,411)",4330,"(+/-2,607)",2625,"(+/-1,179)",1260,(+/-639),7905,"(+/-2,960)",1985,(+/-965),10270,"(+/-2,651)",2655,"(+/-1,165)",3095,"(+/-1,210)",2500,"(+/-1,510)",2855,"(+/-1,171)",1005,(+/-961),1840,(+/-996),1515,(+/-730)
People,Ancestry,Swedish,4270,"(+/-1,316)",5905,"(+/-1,377)",7530,"(+/-2,683)",7965,"(+/-2,396)",1365,(+/-533),7465,"(+/-1,256)",8060,"(+/-1,936)",8295,"(+/-2,292)",4950,"(+/-1,262)",5260,"(+/-1,792)",9560,"(+/-1,794)",8880,"(+/-1,531)",8685,"(+/-1,495)",5385,"(+/-1,450)",4100,"(+/-1,012)",7060,"(+/-1,513)",6515,"(+/-1,418)",7635,"(+/-1,638)",9650,"(+/-2,242)",2110,(+/-829),5620,"(+/-1,419)",8575,"(+/-2,110)",2985,"(+/-1,757)",685,(+/-402),2195,(+/-925),2035,(+/-780),1930,(+/-726)
People,Ancestry,Swiss,1445,(+/-885),950,(+/-533),1380,(+/-791),590,(+/-349),260,(+/-196),1140,(+/-595),1055,(+/-446),2055,(+/-908),530,(+/-316),1475,"(+/-1,251)",2215,(+/-908),3095,"(+/-2,142)",2050,(+/-711),715,(+/-374),1380,(+/-699),3015,(+/-918),1115,(+/-435),2030,(+/-781),1945,(+/-600),75,(+/-124),1120,(+/-532),1585,(+/-748),335,(+/-233),480,(+/-288),575,(+/-683),675,(+/-434),955,(+/-475)
People,Ancestry,Ukrainian,525,(+/-346),930,(+/-622),1170,(+/-859),3050,"(+/-1,984)",680,(+/-646),1350,(+/-641),1615,(+/-976),1095,(+/-588),880,(+/-662),2190,"(+/-1,386)",2360,(+/-888),2370,(+/-746),2665,(+/-847),1745,(+/-716),495,(+/-310),2610,"(+/-1,190)",4675,"(+/-4,414)",2620,"(+/-1,012)",2185,(+/-794),610,(+/-514),3620,"(+/-1,012)",2925,(+/-823),4505,"(+/-2,075)",1125,(+/-674),430,(+/-327),380,(+/-274),1190,(+/-479)
People,Ancestry,Welsh,3995,"(+/-1,209)",3570,"(+/-1,013)",2720,(+/-869),4255,"(+/-1,243)",2230,(+/-770),4285,"(+/-1,367)",3655,"(+/-1,093)",5655,"(+/-1,430)",1820,(+/-663),3930,"(+/-1,717)",5475,"(+/-1,397)",6210,"(+/-1,553)",3725,(+/-834),3850,"(+/-1,079)",4985,"(+/-1,924)",4410,"(+/-1,278)",6450,"(+/-2,020)",3920,"(+/-1,166)",4510,"(+/-1,360)",560,(+/-366),2425,(+/-777),2085,(+/-862),1475,(+/-622),965,(+/-545),990,(+/-849),940,(+/-441),1145,(+/-419)
People,Ancestry,"West Indian (excluding Hispanic origin groups)",4975,"(+/-2,163)",6325,"(+/-2,360)",12575,"(+/-3,630)",3745,"(+/-1,472)",14175,"(+/-3,554)",6630,"(+/-2,815)",17130,"(+/-3,883)",16910,"(+/-5,185)",32005,"(+/-6,953)",77970,"(+/-9,892)",10515,"(+/-3,706)",6755,"(+/-1,806)",8150,"(+/-2,453)",16295,"(+/-3,243)",14230,"(+/-4,433)",8870,"(+/-4,065)",14825,"(+/-3,695)",42135,"(+/-6,744)",24955,"(+/-4,686)",201145,"(+/-15,187)",66475,"(+/-7,265)",59295,"(+/-9,361)",54045,"(+/-8,186)",158815,"(+/-10,327)",14910,"(+/-3,864)",32710,"(+/-5,190)",10780,"(+/-3,380)"
People,"Veteran Status","Civilian population 18 years and over",570815,"(+/-3,124)",555960,"(+/-7,579)",571640,"(+/-6,843)",586715,"(+/-8,561)",567875,"(+/-9,828)",602275,"(+/-5,734)",592320,"(+/-9,627)",595935,"(+/-3,116)",623010,"(+/-12,041)",598455,"(+/-12,314)",630210,"(+/-8,110)",598685,"(+/-6,055)",595615,"(+/-5,645)",588765,"(+/-8,387)",567035,"(+/-12,979)",627800,"(+/-8,411)",613765,"(+/-9,234)",605810,"(+/-7,678)",643035,"(+/-8,908)",596495,"(+/-13,252)",602335,"(+/-7,982)",600470,"(+/-8,854)",581615,"(+/-8,170)",577510,"(+/-12,124)",597655,"(+/-11,725)",612955,"(+/-12,382)",609655,"(+/-11,840)"
People,"Veteran Status","Civilian veterans",102730,"(+/-4,504)",68200,"(+/-3,341)",60630,"(+/-3,951)",69355,"(+/-4,177)",56735,"(+/-3,135)",71240,"(+/-3,500)",44910,"(+/-2,810)",80245,"(+/-3,904)",48520,"(+/-4,111)",36680,"(+/-3,558)",94785,"(+/-4,700)",69810,"(+/-3,414)",65345,"(+/-3,528)",41950,"(+/-2,907)",58400,"(+/-4,132)",70740,"(+/-3,492)",75630,"(+/-3,407)",58290,"(+/-3,406)",68915,"(+/-3,345)",25575,"(+/-3,288)",48180,"(+/-3,102)",39920,"(+/-2,985)",29570,"(+/-3,098)",15530,"(+/-2,025)",21865,"(+/-2,442)",20785,"(+/-2,447)",16395,"(+/-2,231)"
People,"Disability Status of the Civilian Noninstitutionalized Population","Total civilian noninstitutionalized population",711550,"(+/-3,569)",663730,"(+/-10,037)",704510,"(+/-7,881)",738465,"(+/-10,742)",711795,"(+/-12,224)",729120,"(+/-8,023)",735985,"(+/-13,398)",724420,"(+/-3,874)",809925,"(+/-15,663)",779645,"(+/-16,252)",728795,"(+/-10,076)",733965,"(+/-8,264)",711985,"(+/-7,583)",751485,"(+/-11,697)",731745,"(+/-18,423)",774250,"(+/-10,876)",730155,"(+/-12,456)",743545,"(+/-8,696)",767035,"(+/-11,908)",769090,"(+/-15,268)",739185,"(+/-10,293)",734570,"(+/-10,824)",733800,"(+/-8,530)",730300,"(+/-15,578)",747670,"(+/-14,666)",787565,"(+/-15,922)",735875,"(+/-14,045)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",107180,"(+/-4,454)",116745,"(+/-5,851)",97755,"(+/-5,943)",95215,"(+/-7,210)",113870,"(+/-6,270)",117735,"(+/-5,387)",73495,"(+/-5,662)",110960,"(+/-5,923)",110275,"(+/-6,629)",85325,"(+/-5,102)",146415,"(+/-7,052)",118155,"(+/-5,247)",105315,"(+/-5,296)",90145,"(+/-4,852)",97250,"(+/-6,326)",103905,"(+/-5,768)",122170,"(+/-6,585)",102115,"(+/-6,520)",104650,"(+/-4,879)",88965,"(+/-6,807)",102290,"(+/-5,009)",81580,"(+/-4,637)",70925,"(+/-4,879)",82890,"(+/-4,522)",71075,"(+/-6,015)",79515,"(+/-5,838)",72795,"(+/-5,521)"
People,"Disability Status of the Civilian Noninstitutionalized Population","Under 18 years",158110,"(+/-1,197)",144640,"(+/-4,136)",152395,"(+/-3,485)",155600,"(+/-4,988)",169110,"(+/-5,382)",132495,"(+/-3,849)",147450,"(+/-5,985)",132420,"(+/-1,438)",195075,"(+/-7,312)",187050,"(+/-7,014)",114235,"(+/-5,361)",141420,"(+/-4,170)",124450,"(+/-3,851)",165365,"(+/-6,079)",170660,"(+/-8,553)",152615,"(+/-4,776)",130585,"(+/-6,156)",143305,"(+/-4,618)",130610,"(+/-5,323)",185760,"(+/-7,822)",139820,"(+/-6,533)",138115,"(+/-6,764)",153380,"(+/-6,551)",161275,"(+/-7,769)",156400,"(+/-6,496)",181920,"(+/-8,119)",129145,"(+/-6,972)"
