Topic,Subject,Title,"District 01 Value","District 01 MOE","District 02 Value","District 02 MOE","District 03 Value","District 03 MOE","District 04 Value","District 04 MOE","District 05 Value","District 05 MOE","District 06 Value","District 06 MOE","District 07 Value","District 07 MOE","District 08 Value","District 08 MOE","District 09 Value","District 09 MOE","District 10 Value","District 10 MOE","District 11 Value","District 11 MOE","District 12 Value","District 12 MOE","District 13 Value","District 13 MOE","District 14 Value","District 14 MOE"
People,"Disability Status of the Civilian Noninstitutionalized Population","Total civilian noninstitutionalized population",682171,"(+/-2,443)",722828,"(+/-4,205)",721259,"(+/-4,141)",688505,"(+/-4,031)",677650,"(+/-3,835)",708543,"(+/-2,342)",679819,"(+/-4,222)",725522,"(+/-6,150)",712729,"(+/-7,234)",709160,"(+/-6,252)",717304,"(+/-6,788)",702359,"(+/-7,322)",675905,"(+/-12,623)",687046,"(+/-12,682)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",111734,"(+/-3,539)",99456,"(+/-4,097)",91043,"(+/-3,960)",107566,"(+/-3,788)",121385,"(+/-5,333)",95537,"(+/-3,776)",98516,"(+/-4,215)",82908,"(+/-4,062)",108597,"(+/-4,377)",99282,"(+/-4,615)",70233,"(+/-4,429)",90239,"(+/-4,387)",124921,"(+/-6,282)",111543,"(+/-4,838)"
People,"Disability Status of the Civilian Noninstitutionalized Population","Under 18 years",131246,(+/-946),176721,"(+/-3,588)",177146,"(+/-3,534)",145390,"(+/-2,200)",152200,"(+/-1,850)",163107,"(+/-1,169)",152419,"(+/-2,343)",158667,"(+/-3,276)",144097,"(+/-5,812)",161169,"(+/-4,455)",161496,"(+/-5,081)",150078,"(+/-4,908)",165491,"(+/-7,462)",165216,"(+/-7,510)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",7303,"(+/-1,164)",7875,"(+/-1,233)",9061,"(+/-1,421)",8318,"(+/-1,388)",9452,"(+/-1,518)",8075,"(+/-1,475)",8301,"(+/-1,462)",6450,"(+/-1,186)",10432,"(+/-1,895)",6723,"(+/-1,304)",5385,"(+/-1,209)",5745,"(+/-1,102)",9280,"(+/-1,906)",7662,"(+/-1,669)"
People,"Disability Status of the Civilian Noninstitutionalized Population","18 to 64 years",403766,"(+/-2,536)",440097,"(+/-3,502)",446665,"(+/-3,652)",421508,"(+/-3,269)",410120,"(+/-2,993)",434098,"(+/-1,955)",414459,"(+/-3,368)",467617,"(+/-4,919)",453354,"(+/-6,228)",431230,"(+/-4,553)",452374,"(+/-6,657)",456773,"(+/-5,999)",421357,"(+/-8,140)",419705,"(+/-9,014)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",54827,"(+/-2,676)",55688,"(+/-3,423)",48620,"(+/-3,144)",56103,"(+/-2,546)",68350,"(+/-4,288)",51378,"(+/-2,939)",51407,"(+/-3,173)",44144,"(+/-2,769)",57954,"(+/-3,418)",49172,"(+/-3,341)",35454,"(+/-3,368)",48407,"(+/-3,508)",76953,"(+/-4,770)",61149,"(+/-3,899)"
People,"Disability Status of the Civilian Noninstitutionalized Population","65 years and over",147159,(+/-966),106010,"(+/-2,599)",97448,"(+/-2,481)",121607,"(+/-1,779)",115330,"(+/-1,458)",111338,"(+/-1,154)",112941,"(+/-1,668)",99238,"(+/-2,615)",115278,"(+/-3,380)",116761,"(+/-2,566)",103434,"(+/-2,969)",95508,"(+/-3,455)",89057,"(+/-3,038)",102125,"(+/-3,443)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",49604,"(+/-1,978)",35893,"(+/-2,161)",33362,"(+/-1,996)",43145,"(+/-1,965)",43583,"(+/-2,276)",36084,"(+/-1,915)",38808,"(+/-2,019)",32314,"(+/-1,790)",40211,"(+/-2,615)",43387,"(+/-2,430)",29394,"(+/-2,111)",36087,"(+/-2,066)",38688,"(+/-2,382)",42732,"(+/-2,055)"
People,"Residence 1 Year Ago","Population 1 year and over",693371,"(+/-1,323)",722965,"(+/-4,101)",721196,"(+/-4,102)",695235,"(+/-3,598)",674310,"(+/-4,017)",705980,"(+/-1,994)",690698,"(+/-4,137)",722623,"(+/-5,966)",708697,"(+/-7,285)",708091,"(+/-6,131)",711944,"(+/-6,601)",698781,"(+/-7,039)",669765,"(+/-12,335)",687760,"(+/-12,415)"
People,"Residence 1 Year Ago","Same house",600089,"(+/-6,154)",612000,"(+/-8,301)",613714,"(+/-7,738)",593733,"(+/-7,161)",576953,"(+/-8,112)",596711,"(+/-7,167)",596935,"(+/-6,719)",610356,"(+/-7,950)",611339,"(+/-9,458)",631575,"(+/-7,561)",624833,"(+/-8,385)",569039,"(+/-8,970)",571000,"(+/-12,767)",586381,"(+/-13,052)"
People,"Residence 1 Year Ago","Different house in the U.S.",90937,"(+/-5,993)",108013,"(+/-6,996)",105051,"(+/-7,097)",99307,"(+/-6,050)",95738,"(+/-7,607)",105107,"(+/-7,090)",91878,"(+/-7,120)",108828,"(+/-6,568)",94148,"(+/-6,882)",75721,"(+/-5,403)",80039,"(+/-6,628)",124034,"(+/-7,439)",95628,"(+/-7,681)",97512,"(+/-8,105)"
People,"Residence 1 Year Ago","Same county",45996,"(+/-4,859)",67801,"(+/-6,322)",72978,"(+/-5,788)",56723,"(+/-4,865)",70002,"(+/-6,565)",64282,"(+/-6,301)",50824,"(+/-5,116)",64210,"(+/-6,209)",58841,"(+/-5,438)",47639,"(+/-4,361)",51221,"(+/-5,288)",83894,"(+/-6,818)",79433,"(+/-7,554)",66755,"(+/-6,632)"
People,"Residence 1 Year Ago","Different county",44941,"(+/-3,615)",40212,"(+/-4,494)",32073,"(+/-3,251)",42584,"(+/-3,774)",25736,"(+/-3,377)",40825,"(+/-4,350)",41054,"(+/-4,597)",44618,"(+/-3,565)",35307,"(+/-4,533)",28082,"(+/-3,518)",28818,"(+/-3,959)",40140,"(+/-3,975)",16195,"(+/-2,334)",30757,"(+/-3,537)"
People,"Residence 1 Year Ago","Same state",33392,"(+/-3,296)",31392,"(+/-3,985)",23669,"(+/-3,116)",33869,"(+/-3,407)",17856,"(+/-2,406)",23865,"(+/-2,540)",28282,"(+/-3,246)",32654,"(+/-3,382)",29230,"(+/-4,501)",19337,"(+/-3,035)",19219,"(+/-2,858)",23556,"(+/-3,284)",9640,"(+/-1,865)",22742,"(+/-3,638)"
People,"Residence 1 Year Ago","Different state",11549,"(+/-1,406)",8820,"(+/-2,091)",8404,"(+/-1,728)",8715,"(+/-1,622)",7880,"(+/-2,371)",16960,"(+/-3,331)",12772,"(+/-2,665)",11964,"(+/-2,411)",6077,"(+/-1,398)",8745,"(+/-2,399)",9599,"(+/-2,491)",16584,"(+/-2,402)",6555,"(+/-1,669)",8015,"(+/-1,883)"
People,"Residence 1 Year Ago",Abroad,2345,(+/-810),2952,"(+/-1,654)",2431,(+/-997),2195,(+/-677),1619,(+/-691),4162,"(+/-1,500)",1885,(+/-692),3439,(+/-948),3210,"(+/-1,317)",795,(+/-642),7072,"(+/-2,004)",5708,"(+/-1,145)",3137,"(+/-1,256)",3867,"(+/-1,512)"
Workers,"Employment Status","Population 16 years and over",585953,"(+/-1,616)",574195,"(+/-3,937)",572371,"(+/-3,390)",574748,"(+/-2,999)",549687,"(+/-3,357)",568996,"(+/-1,642)",564545,"(+/-3,467)",590640,"(+/-5,289)",589419,"(+/-6,803)",576647,"(+/-5,195)",579755,"(+/-6,821)",573935,"(+/-5,719)",532565,"(+/-8,784)",548876,"(+/-9,608)"
Workers,"Employment Status","In labor force",320395,"(+/-3,546)",364589,"(+/-5,559)",374622,"(+/-5,524)",327137,"(+/-3,919)",312254,"(+/-5,765)",362646,"(+/-4,816)",333507,"(+/-5,336)",383728,"(+/-5,714)",370919,"(+/-7,298)",357169,"(+/-5,610)",387475,"(+/-6,226)",356285,"(+/-6,960)",293790,"(+/-7,157)",321602,"(+/-7,816)"
Workers,"Employment Status","Civilian labor force",319372,"(+/-3,568)",364552,"(+/-5,566)",374173,"(+/-5,489)",327003,"(+/-3,897)",312169,"(+/-5,770)",362274,"(+/-4,739)",333033,"(+/-5,395)",383602,"(+/-5,718)",370538,"(+/-7,308)",356800,"(+/-5,598)",387234,"(+/-6,231)",356136,"(+/-6,954)",293674,"(+/-7,117)",321477,"(+/-7,809)"
Workers,"Employment Status",Employed,297829,"(+/-3,815)",344887,"(+/-5,756)",351028,"(+/-5,778)",305545,"(+/-4,203)",282380,"(+/-5,582)",338465,"(+/-5,151)",315090,"(+/-5,522)",360853,"(+/-5,539)",345827,"(+/-6,882)",335471,"(+/-5,662)",370875,"(+/-6,191)",333135,"(+/-6,694)",250907,"(+/-6,827)",280349,"(+/-7,250)"
Workers,"Employment Status",Unemployed,21543,"(+/-1,848)",19665,"(+/-2,547)",23145,"(+/-2,733)",21458,"(+/-2,039)",29789,"(+/-2,296)",23809,"(+/-2,395)",17943,"(+/-2,250)",22749,"(+/-2,307)",24711,"(+/-2,973)",21329,"(+/-2,308)",16359,"(+/-1,812)",23001,"(+/-2,689)",42767,"(+/-3,134)",41128,"(+/-3,381)"
Workers,"Employment Status","Armed Forces",1023,(+/-426),37,(+/-63),449,(+/-405),134,(+/-147),85,(+/-92),372,(+/-352),474,(+/-403),126,(+/-122),381,(+/-244),369,(+/-271),241,(+/-287),149,(+/-123),116,(+/-183),125,(+/-209)
Workers,"Employment Status","Not in labor force",265558,"(+/-3,460)",209606,"(+/-5,418)",197749,"(+/-4,748)",247611,"(+/-4,341)",237433,"(+/-5,502)",206350,"(+/-4,957)",231038,"(+/-5,721)",206912,"(+/-5,182)",218500,"(+/-6,119)",219478,"(+/-5,038)",192280,"(+/-5,430)",217650,"(+/-5,785)",238775,"(+/-6,401)",227274,"(+/-6,800)"
Workers,"Employment Status","Civilian labor force",319372,"(+/-3,568)",364552,"(+/-5,566)",374173,"(+/-5,489)",327003,"(+/-3,897)",312169,"(+/-5,770)",362274,"(+/-4,739)",333033,"(+/-5,395)",383602,"(+/-5,718)",370538,"(+/-7,308)",356800,"(+/-5,598)",387234,"(+/-6,231)",356136,"(+/-6,954)",293674,"(+/-7,117)",321477,"(+/-7,809)"
Workers,"Employment Status","Unemployment Rate",6.7,(+/-0.6),5.4,(+/-0.7),6.2,(+/-0.7),6.6,(+/-0.6),9.5,(+/-0.7),6.6,(+/-0.7),5.4,(+/-0.7),5.9,(+/-0.6),6.7,(+/-0.8),6,(+/-0.6),4.2,(+/-0.5),6.5,(+/-0.7),14.6,(+/-1.0),12.8,(+/-1.0)
Workers,"Commuting to Work","Workers 16 years and over",292158,"(+/-3,774)",336795,"(+/-5,673)",344016,"(+/-5,915)",297573,"(+/-4,233)",276639,"(+/-5,576)",332167,"(+/-5,273)",309744,"(+/-5,274)",353013,"(+/-5,486)",338936,"(+/-6,798)",329389,"(+/-5,625)",363561,"(+/-6,190)",324429,"(+/-6,509)",246358,"(+/-6,855)",275696,"(+/-7,142)"
Workers,"Commuting to Work","Car, truck, or van -- drove alone",230221,"(+/-4,013)",280984,"(+/-5,745)",278101,"(+/-5,552)",246433,"(+/-3,881)",234821,"(+/-5,579)",274817,"(+/-5,602)",258405,"(+/-5,380)",295117,"(+/-5,953)",290882,"(+/-6,574)",288227,"(+/-5,834)",317168,"(+/-6,513)",256771,"(+/-6,244)",188807,"(+/-6,002)",218667,"(+/-5,922)"
Workers,"Commuting to Work","Car, truck, or van -- carpooled",32750,"(+/-2,313)",30817,"(+/-2,497)",31895,"(+/-2,879)",24744,"(+/-2,114)",24420,"(+/-2,460)",28670,"(+/-2,888)",28004,"(+/-2,479)",25214,"(+/-2,278)",25276,"(+/-2,933)",24781,"(+/-2,505)",22868,"(+/-2,439)",26638,"(+/-3,121)",28812,"(+/-3,301)",28883,"(+/-2,866)"
Workers,"Commuting to Work","Public transportation (excluding taxicab)",1824,(+/-608),3015,(+/-979),6261,"(+/-1,229)",2173,(+/-769),3480,"(+/-1,113)",2391,(+/-733),1330,(+/-515),4348,(+/-969),3429,"(+/-1,124)",1118,(+/-576),1196,(+/-568),11079,"(+/-1,845)",8565,"(+/-1,441)",8657,"(+/-1,779)"
Workers,"Commuting to Work",Walked,10265,"(+/-1,335)",6281,"(+/-1,258)",9109,"(+/-1,517)",9770,"(+/-1,546)",2757,(+/-783),9454,"(+/-1,549)",6800,"(+/-1,257)",8818,"(+/-1,268)",5214,"(+/-1,091)",4381,"(+/-1,057)",3694,(+/-958),12303,"(+/-1,808)",8270,"(+/-1,625)",5340,"(+/-1,048)"
Workers,"Commuting to Work","Other means",5212,(+/-954),5210,"(+/-1,345)",4564,"(+/-1,026)",3750,(+/-774),2792,(+/-869),4917,(+/-965),3607,(+/-734),3823,"(+/-1,007)",4792,"(+/-1,181)",1937,(+/-621),3557,(+/-968),5164,(+/-959),4952,"(+/-1,188)",2844,(+/-777)
Workers,"Commuting to Work","Worked at home",11886,"(+/-1,339)",10488,"(+/-1,360)",14086,"(+/-2,121)",10703,"(+/-1,317)",8369,"(+/-1,261)",11918,"(+/-1,517)",11598,"(+/-1,678)",15693,"(+/-1,707)",9343,"(+/-1,173)",8945,"(+/-1,219)",15078,"(+/-1,977)",12474,"(+/-1,646)",6952,"(+/-1,451)",11305,"(+/-1,452)"
Workers,"Commuting to Work","Mean travel time to work (minutes)",20,(+/-0.4),21.2,(+/-0.5),22.6,(+/-0.6),24.2,(+/-0.6),24.5,(+/-0.6),21.6,(+/-0.5),24.7,(+/-0.6),26.9,(+/-0.5),25.5,(+/-0.6),29.4,(+/-0.7),26.6,(+/-0.4),23.3,(+/-0.5),24.6,(+/-0.5),25.1,(+/-0.7)
Workers,Occupation,"Civilian employed population 16 years and over",297829,"(+/-3,815)",344887,"(+/-5,756)",351028,"(+/-5,778)",305545,"(+/-4,203)",282380,"(+/-5,582)",338465,"(+/-5,151)",315090,"(+/-5,522)",360853,"(+/-5,539)",345827,"(+/-6,882)",335471,"(+/-5,662)",370875,"(+/-6,191)",333135,"(+/-6,694)",250907,"(+/-6,827)",280349,"(+/-7,250)"
Workers,Occupation,"Management, business, science, and arts occupations",95089,"(+/-3,405)",102948,"(+/-3,997)",118483,"(+/-4,939)",95748,"(+/-3,668)",82724,"(+/-4,041)",115195,"(+/-4,334)",101989,"(+/-3,750)",152561,"(+/-5,527)",130042,"(+/-4,827)",113791,"(+/-4,559)",181923,"(+/-4,795)",134333,"(+/-5,094)",59712,"(+/-3,443)",104626,"(+/-4,385)"
Workers,Occupation,"Service occupations",63608,"(+/-2,913)",61012,"(+/-3,713)",59075,"(+/-3,837)",57445,"(+/-2,600)",57408,"(+/-3,460)",58717,"(+/-3,042)",56401,"(+/-3,540)",57151,"(+/-3,300)",58900,"(+/-3,422)",60146,"(+/-3,451)",50581,"(+/-3,110)",54731,"(+/-3,316)",55939,"(+/-3,758)",59528,"(+/-4,058)"
Workers,Occupation,"Sales and office occupations",69692,"(+/-2,861)",77020,"(+/-4,318)",79726,"(+/-3,742)",66482,"(+/-3,289)",69389,"(+/-4,634)",75447,"(+/-3,501)",70122,"(+/-3,361)",87667,"(+/-3,167)",82114,"(+/-4,276)",75441,"(+/-3,813)",83029,"(+/-4,208)",75109,"(+/-3,455)",61164,"(+/-3,843)",63860,"(+/-3,519)"
Workers,Occupation,"Natural resources, construction, and maintenance occupations",30640,"(+/-1,799)",27558,"(+/-2,145)",29148,"(+/-2,500)",33242,"(+/-1,676)",24122,"(+/-2,157)",30854,"(+/-2,105)",29592,"(+/-2,024)",24924,"(+/-2,209)",21742,"(+/-2,183)",31580,"(+/-2,390)",20618,"(+/-2,278)",23642,"(+/-2,572)",18110,"(+/-2,122)",13868,"(+/-1,919)"
Workers,Occupation,"Production, transportation, and material moving occupations",38800,"(+/-2,215)",76349,"(+/-4,287)",64596,"(+/-3,744)",52628,"(+/-3,264)",48737,"(+/-3,159)",58252,"(+/-3,055)",56986,"(+/-2,798)",38550,"(+/-2,841)",53029,"(+/-3,724)",54513,"(+/-3,180)",34724,"(+/-2,787)",45320,"(+/-3,265)",55982,"(+/-3,384)",38467,"(+/-3,243)"
Workers,Industry,"Civilian employed population 16 years and over",297829,"(+/-3,815)",344887,"(+/-5,756)",351028,"(+/-5,778)",305545,"(+/-4,203)",282380,"(+/-5,582)",338465,"(+/-5,151)",315090,"(+/-5,522)",360853,"(+/-5,539)",345827,"(+/-6,882)",335471,"(+/-5,662)",370875,"(+/-6,191)",333135,"(+/-6,694)",250907,"(+/-6,827)",280349,"(+/-7,250)"
Workers,Industry,"Agriculture, forestry, fishing and hunting, and mining",7916,(+/-842),5120,"(+/-1,025)",5806,"(+/-1,216)",8529,"(+/-1,013)",1923,(+/-581),6303,"(+/-1,123)",5157,"(+/-1,067)",1832,(+/-649),794,(+/-403),5372,(+/-820),942,(+/-560),1313,(+/-651),983,(+/-526),593,(+/-385)
Workers,Industry,Construction,19837,"(+/-1,543)",18041,"(+/-1,883)",17988,"(+/-2,157)",20980,"(+/-1,928)",15441,"(+/-1,747)",18194,"(+/-1,797)",18522,"(+/-1,930)",16527,"(+/-2,036)",15137,"(+/-1,707)",22176,"(+/-2,248)",17021,"(+/-1,963)",12745,"(+/-2,296)",10681,"(+/-1,804)",9071,"(+/-1,572)"
Workers,Industry,Manufacturing,33272,"(+/-2,160)",83769,"(+/-4,985)",67666,"(+/-3,822)",51002,"(+/-2,575)",45185,"(+/-2,817)",73883,"(+/-3,277)",62319,"(+/-3,039)",59452,"(+/-2,389)",67054,"(+/-4,038)",71817,"(+/-3,454)",72481,"(+/-3,309)",47680,"(+/-3,334)",42828,"(+/-3,207)",37668,"(+/-2,824)"
Workers,Industry,"Wholesale trade",5830,(+/-905),11739,"(+/-1,737)",11557,"(+/-1,808)",6157,(+/-968),6804,"(+/-1,111)",7572,"(+/-1,060)",6752,"(+/-1,027)",10449,"(+/-1,454)",8936,"(+/-1,374)",7714,"(+/-1,406)",10829,"(+/-1,509)",6901,"(+/-1,308)",6704,"(+/-1,346)",4767,(+/-929)
Workers,Industry,"Retail trade",39333,"(+/-2,135)",40242,"(+/-3,043)",39784,"(+/-3,267)",35221,"(+/-2,160)",40427,"(+/-3,525)",37046,"(+/-2,855)",34368,"(+/-2,484)",37868,"(+/-2,544)",38070,"(+/-3,084)",37651,"(+/-2,572)",37971,"(+/-3,113)",39054,"(+/-2,491)",28399,"(+/-2,646)",29608,"(+/-2,643)"
Workers,Industry,"Transportation and warehousing, and utilities",13184,"(+/-1,641)",11912,"(+/-1,521)",13757,"(+/-2,031)",13224,"(+/-1,614)",12980,"(+/-1,675)",13063,"(+/-1,725)",15137,"(+/-1,555)",11640,"(+/-1,402)",12930,"(+/-1,706)",13625,"(+/-1,795)",11148,"(+/-1,497)",18897,"(+/-2,049)",16405,"(+/-2,199)",14350,"(+/-2,176)"
Workers,Industry,Information,4840,(+/-907),4899,"(+/-1,151)",4624,(+/-867),3078,(+/-693),3883,(+/-868),3414,(+/-664),3527,(+/-725),6042,"(+/-1,087)",5204,"(+/-1,055)",4664,(+/-905),7097,"(+/-1,077)",5916,(+/-951),2995,(+/-755),6277,"(+/-1,200)"
Workers,Industry,"Finance and insurance, and real estate and rental and leasing",14400,"(+/-1,373)",15397,"(+/-1,772)",18854,"(+/-2,348)",13816,"(+/-1,568)",12746,"(+/-1,406)",17137,"(+/-1,903)",13899,"(+/-1,713)",24681,"(+/-2,033)",22363,"(+/-1,958)",18096,"(+/-2,155)",24428,"(+/-2,209)",15228,"(+/-1,798)",14448,"(+/-1,773)",18920,"(+/-2,435)"
Workers,Industry,"Professional, scientific, and management, and administrative and waste management services",18234,"(+/-1,683)",27047,"(+/-2,466)",31468,"(+/-2,780)",21461,"(+/-1,800)",22181,"(+/-2,096)",26178,"(+/-2,389)",23610,"(+/-2,079)",40842,"(+/-3,010)",41739,"(+/-2,420)",24547,"(+/-2,342)",48163,"(+/-2,900)",33072,"(+/-2,738)",27691,"(+/-2,354)",37031,"(+/-3,254)"
Workers,Industry,"Educational services, and health care and social assistance",74859,"(+/-2,856)",70173,"(+/-3,405)",78174,"(+/-3,700)",74959,"(+/-3,058)",69970,"(+/-3,304)",78451,"(+/-3,562)",75065,"(+/-3,344)",89403,"(+/-3,643)",74288,"(+/-4,346)",71354,"(+/-3,753)",83131,"(+/-4,113)",97608,"(+/-4,778)",53565,"(+/-3,169)",68969,"(+/-3,683)"
Workers,Industry,"Arts, entertainment, and recreation, and accommodation and food services",39752,"(+/-2,777)",30318,"(+/-3,109)",32234,"(+/-2,856)",29973,"(+/-2,436)",27484,"(+/-2,755)",33651,"(+/-3,176)",26985,"(+/-2,366)",34197,"(+/-3,079)",32991,"(+/-2,900)",29920,"(+/-2,336)",33075,"(+/-2,682)",32527,"(+/-2,802)",27526,"(+/-2,618)",29620,"(+/-2,796)"
Workers,Industry,"Other services, except public administration",12972,"(+/-1,278)",16986,"(+/-1,809)",17904,"(+/-2,041)",13147,"(+/-1,511)",14399,"(+/-1,638)",13965,"(+/-1,591)",15134,"(+/-1,700)",13726,"(+/-1,360)",15538,"(+/-2,158)",15919,"(+/-1,983)",15380,"(+/-1,666)",13668,"(+/-1,789)",11521,"(+/-1,698)",12932,"(+/-1,930)"
Workers,Industry,"Public administration",13400,"(+/-1,435)",9244,"(+/-1,328)",11212,"(+/-1,497)",13998,"(+/-1,569)",8957,"(+/-1,579)",9608,"(+/-1,534)",14615,"(+/-1,450)",14194,"(+/-1,645)",10783,"(+/-1,414)",12616,"(+/-1,257)",9209,"(+/-1,558)",8526,"(+/-1,265)",7161,"(+/-1,008)",10543,"(+/-1,586)"
Workers,"Class of Worker","Civilian employed population 16 years and over",297829,"(+/-3,815)",344887,"(+/-5,756)",351028,"(+/-5,778)",305545,"(+/-4,203)",282380,"(+/-5,582)",338465,"(+/-5,151)",315090,"(+/-5,522)",360853,"(+/-5,539)",345827,"(+/-6,882)",335471,"(+/-5,662)",370875,"(+/-6,191)",333135,"(+/-6,694)",250907,"(+/-6,827)",280349,"(+/-7,250)"
Workers,"Class of Worker","Private wage and salary workers",236067,"(+/-3,574)",300707,"(+/-6,117)",302209,"(+/-5,905)",248069,"(+/-5,061)",244568,"(+/-5,729)",286103,"(+/-4,995)",259275,"(+/-5,326)",295275,"(+/-5,292)",303094,"(+/-6,446)",285809,"(+/-6,107)",325353,"(+/-5,922)",277126,"(+/-6,198)",222257,"(+/-6,438)",240680,"(+/-6,729)"
Workers,"Class of Worker","Government workers",40677,"(+/-2,252)",28255,"(+/-2,259)",31828,"(+/-2,805)",38457,"(+/-2,473)",25492,"(+/-2,514)",32388,"(+/-2,495)",38310,"(+/-2,477)",47983,"(+/-2,419)",28923,"(+/-2,753)",34106,"(+/-2,448)",29056,"(+/-2,499)",43725,"(+/-3,011)",19191,"(+/-2,047)",27416,"(+/-2,816)"
Workers,"Class of Worker","Self-employed in own not incorporated business workers",20146,"(+/-1,437)",15402,"(+/-1,733)",16650,"(+/-1,678)",18091,"(+/-1,512)",12024,"(+/-1,585)",19458,"(+/-1,789)",17103,"(+/-1,754)",16984,"(+/-1,665)",13473,"(+/-1,979)",14860,"(+/-1,799)",16034,"(+/-1,479)",11706,"(+/-1,341)",9098,"(+/-1,412)",11844,"(+/-1,567)"
Workers,"Class of Worker","Unpaid family workers",939,(+/-372),523,(+/-340),341,(+/-219),928,(+/-342),296,(+/-163),516,(+/-268),402,(+/-177),611,(+/-326),337,(+/-259),696,(+/-343),432,(+/-249),578,(+/-330),361,(+/-212),409,(+/-253)
Housing,"Housing Occupancy","Total housing units",444180,"(+/-1,099)",315625,"(+/-2,312)",295928,"(+/-2,311)",344859,"(+/-1,621)",329343,"(+/-1,678)",326289,(+/-986),303492,"(+/-1,677)",298006,"(+/-2,756)",320396,"(+/-4,317)",309689,"(+/-2,686)",299461,"(+/-4,518)",300340,"(+/-3,631)",333703,"(+/-4,696)",329013,"(+/-5,889)"
Housing,"Housing Occupancy","Occupied housing units",289509,"(+/-4,258)",270589,"(+/-3,226)",273074,"(+/-3,153)",268340,"(+/-3,458)",277003,"(+/-3,955)",279199,"(+/-3,581)",265607,"(+/-3,186)",277217,"(+/-3,573)",298469,"(+/-4,033)",276435,"(+/-2,994)",280995,"(+/-4,072)",274068,"(+/-3,732)",258660,"(+/-4,142)",269367,"(+/-5,460)"
Housing,"Housing Occupancy","Vacant housing units",154671,"(+/-4,212)",45036,"(+/-2,406)",22854,"(+/-2,387)",76519,"(+/-3,097)",52340,"(+/-3,460)",47090,"(+/-3,560)",37885,"(+/-2,982)",20789,"(+/-2,751)",21927,"(+/-2,972)",33254,"(+/-2,579)",18466,"(+/-2,389)",26272,"(+/-3,070)",75043,"(+/-3,439)",59646,"(+/-3,562)"
Housing,"Housing Occupancy","Homeowner vacancy rate",2.8,(+/-0.4),1.5,(+/-0.4),1.1,(+/-0.3),2.4,(+/-0.5),2.7,(+/-0.7),2.1,(+/-0.5),2.3,(+/-0.5),1,(+/-0.4),1.1,(+/-0.4),2.1,(+/-0.7),1.5,(+/-0.5),2.1,(+/-0.7),3.3,(+/-0.7),3.2,(+/-0.7)
Housing,"Housing Occupancy","Rental vacancy rate",7.6,(+/-1.5),3.9,(+/-1.2),5.9,(+/-1.6),6.6,(+/-1.8),7,(+/-1.5),4.4,(+/-1.5),6.8,(+/-1.8),3.6,(+/-1.5),4,(+/-1.2),5.9,(+/-2.0),3.1,(+/-1.1),4.1,(+/-1.1),5.8,(+/-1.2),4.9,(+/-1.0)
Housing,"Housing Tenure","Occupied housing units",289509,"(+/-4,258)",270589,"(+/-3,226)",273074,"(+/-3,153)",268340,"(+/-3,458)",277003,"(+/-3,955)",279199,"(+/-3,581)",265607,"(+/-3,186)",277217,"(+/-3,573)",298469,"(+/-4,033)",276435,"(+/-2,994)",280995,"(+/-4,072)",274068,"(+/-3,732)",258660,"(+/-4,142)",269367,"(+/-5,460)"
Housing,"Housing Tenure",Owner-occupied,225486,"(+/-3,583)",198110,"(+/-3,231)",197183,"(+/-3,513)",205156,"(+/-3,549)",197126,"(+/-3,922)",198075,"(+/-3,046)",202354,"(+/-3,581)",202278,"(+/-3,884)",205239,"(+/-4,090)",218801,"(+/-3,586)",209909,"(+/-3,643)",172849,"(+/-3,996)",138480,"(+/-3,688)",146171,"(+/-4,682)"
Housing,"Housing Tenure",Renter-occupied,64023,"(+/-3,038)",72479,"(+/-3,412)",75891,"(+/-3,749)",63184,"(+/-2,893)",79877,"(+/-4,138)",81124,"(+/-3,217)",63253,"(+/-3,386)",74939,"(+/-3,165)",93230,"(+/-3,553)",57634,"(+/-3,181)",71086,"(+/-3,168)",101219,"(+/-3,653)",120180,"(+/-4,402)",123196,"(+/-3,782)"
Housing,"Housing Tenure","Average household size of owner-occupied unit",2.4,(+/-0.04),2.74,(+/-0.04),2.68,(+/-0.04),2.53,(+/-0.03),2.5,(+/-0.04),2.58,(+/-0.04),2.6,(+/-0.04),2.67,(+/-0.04),2.44,(+/-0.04),2.63,(+/-0.04),2.66,(+/-0.04),2.66,(+/-0.05),2.63,(+/-0.06),2.71,(+/-0.07)
Housing,"Housing Tenure","Average household size of renter-occupied unit",2.08,(+/-0.07),2.32,(+/-0.09),2.42,(+/-0.07),2.45,(+/-0.08),2.26,(+/-0.07),2.29,(+/-0.08),2.31,(+/-0.08),2.23,(+/-0.08),2.27,(+/-0.07),2.26,(+/-0.07),2.18,(+/-0.09),2.26,(+/-0.08),2.53,(+/-0.07),2.34,(+/-0.08)
Housing,"Year Householder Moved into Unit","Occupied housing units",289509,"(+/-4,258)",270589,"(+/-3,226)",273074,"(+/-3,153)",268340,"(+/-3,458)",277003,"(+/-3,955)",279199,"(+/-3,581)",265607,"(+/-3,186)",277217,"(+/-3,573)",298469,"(+/-4,033)",276435,"(+/-2,994)",280995,"(+/-4,072)",274068,"(+/-3,732)",258660,"(+/-4,142)",269367,"(+/-5,460)"
