Topic,Subject,Title,"District 01 Value","District 01 MOE","District 02 Value","District 02 MOE","District 03 Value","District 03 MOE","District 04 Value","District 04 MOE","District 05 Value","District 05 MOE","District 06 Value","District 06 MOE","District 07 Value","District 07 MOE","District 08 Value","District 08 MOE","District 09 Value","District 09 MOE","District 10 Value","District 10 MOE","District 11 Value","District 11 MOE","District 12 Value","District 12 MOE","District 13 Value","District 13 MOE","District 14 Value","District 14 MOE","District 15 Value","District 15 MOE","District 16 Value","District 16 MOE","District 17 Value","District 17 MOE","District 18 Value","District 18 MOE"
People,Ancestry,Italian,35861,"(+/-4,090)",22858,"(+/-3,049)",59940,"(+/-5,251)",24242,"(+/-2,907)",68507,"(+/-5,039)",79949,"(+/-6,800)",31681,"(+/-3,560)",60694,"(+/-5,138)",47751,"(+/-4,496)",41096,"(+/-4,646)",55660,"(+/-6,822)",27082,"(+/-3,418)",26783,"(+/-3,120)",73611,"(+/-7,722)",17782,"(+/-2,444)",53239,"(+/-4,266)",23424,"(+/-2,971)",24713,"(+/-3,111)"
People,Ancestry,Lithuanian,6051,"(+/-2,059)",3044,(+/-967),15867,"(+/-3,318)",1629,(+/-480),3290,(+/-900),6714,"(+/-1,381)",2596,"(+/-1,043)",3099,(+/-732),3847,"(+/-1,120)",3952,"(+/-1,314)",7463,"(+/-1,620)",2078,(+/-741),2600,(+/-816),4245,"(+/-1,118)",1581,(+/-752),2296,(+/-710),1442,(+/-530),1550,(+/-705)
People,Ancestry,Norwegian,2348,(+/-709),2230,(+/-777),4285,"(+/-1,202)",2142,(+/-480),8977,"(+/-1,671)",15319,"(+/-2,204)",4764,"(+/-1,357)",8327,"(+/-1,490)",10576,"(+/-2,057)",9509,"(+/-1,961)",9435,"(+/-2,313)",3158,(+/-978),5580,"(+/-1,370)",20610,"(+/-3,050)",2831,(+/-707),24759,"(+/-2,850)",10119,"(+/-1,366)",6351,(+/-978)
People,Ancestry,Polish,47426,"(+/-5,415)",26570,"(+/-3,172)",109948,"(+/-8,943)",31801,"(+/-3,703)",97728,"(+/-6,889)",83473,"(+/-6,762)",25744,"(+/-3,359)",77145,"(+/-5,669)",69724,"(+/-5,796)",63612,"(+/-4,932)",61390,"(+/-6,041)",18020,"(+/-2,677)",17295,"(+/-2,194)",76610,"(+/-6,669)",15568,"(+/-2,533)",41045,"(+/-4,090)",13197,"(+/-1,959)",15737,"(+/-2,484)"
People,Ancestry,Portuguese,265,(+/-213),194,(+/-183),337,(+/-314),223,(+/-282),717,(+/-455),804,(+/-545),879,(+/-529),177,(+/-174),740,(+/-447),1100,"(+/-1,519)",421,(+/-542),667,(+/-513),1324,(+/-751),508,(+/-347),823,(+/-768),541,(+/-368),520,(+/-579),1003,(+/-575)
People,Ancestry,Russian,1939,(+/-666),1304,(+/-647),3860,"(+/-1,409)",2768,(+/-971),10614,"(+/-1,871)",6058,"(+/-1,167)",6596,"(+/-1,670)",6715,"(+/-1,844)",17812,"(+/-2,551)",27510,"(+/-3,125)",7018,"(+/-3,036)",1328,(+/-633),2268,(+/-913),5360,"(+/-1,497)",928,(+/-463),3159,(+/-967),1351,(+/-545),1783,(+/-615)
People,Ancestry,Scotch-Irish,1722,(+/-529),1573,(+/-630),2136,(+/-716),1275,(+/-632),2574,(+/-608),4103,"(+/-1,021)",2786,"(+/-1,059)",2138,(+/-754),2756,(+/-803),2709,(+/-757),2659,"(+/-1,028)",6333,"(+/-1,341)",6926,"(+/-1,790)",4395,"(+/-1,149)",4615,(+/-938),4468,(+/-913),5504,"(+/-1,207)",7564,"(+/-1,726)"
People,Ancestry,Scottish,2054,(+/-776),3852,"(+/-1,270)",4029,"(+/-1,204)",2343,(+/-840),9848,"(+/-1,471)",10991,"(+/-2,079)",5371,"(+/-1,376)",4714,"(+/-1,098)",9524,"(+/-1,610)",8495,"(+/-1,703)",7371,"(+/-1,783)",11220,"(+/-2,117)",11457,"(+/-1,931)",11765,"(+/-1,754)",9570,"(+/-1,506)",10388,"(+/-1,669)",8563,"(+/-1,455)",14547,"(+/-2,202)"
People,Ancestry,Slovak,2252,"(+/-1,073)",2305,"(+/-1,348)",4659,"(+/-1,183)",1365,(+/-898),1979,(+/-625),2345,(+/-757),1906,(+/-708),1786,(+/-687),1476,(+/-578),1196,(+/-462),4428,"(+/-1,346)",835,(+/-367),1097,(+/-503),2491,(+/-809),559,(+/-345),3420,(+/-865),648,(+/-496),791,(+/-325)
People,Ancestry,"Subsaharan African",10878,"(+/-2,943)",15688,"(+/-3,705)",1597,(+/-721),3593,"(+/-1,647)",3999,"(+/-1,595)",2541,"(+/-1,297)",10378,"(+/-2,465)",5446,"(+/-3,648)",19180,"(+/-5,180)",1689,(+/-816),7487,"(+/-2,542)",3081,"(+/-1,431)",6213,"(+/-1,880)",2101,"(+/-1,094)",1055,(+/-648),1932,"(+/-1,088)",7283,"(+/-1,984)",1791,"(+/-1,276)"
People,Ancestry,Swedish,7774,"(+/-1,969)",7845,"(+/-2,287)",12198,"(+/-2,874)",4370,"(+/-1,145)",12988,"(+/-1,947)",22238,"(+/-2,914)",5977,"(+/-1,221)",14270,"(+/-2,408)",15153,"(+/-2,086)",14849,"(+/-1,979)",11343,"(+/-2,230)",4687,"(+/-1,276)",8252,"(+/-1,839)",32743,"(+/-4,641)",5861,"(+/-1,232)",38158,"(+/-3,860)",35897,"(+/-3,893)",11556,"(+/-2,059)"
People,Ancestry,Swiss,800,(+/-495),464,(+/-324),820,(+/-530),412,(+/-341),2070,(+/-663),3189,(+/-986),836,(+/-423),965,(+/-485),2174,(+/-720),2160,(+/-754),987,(+/-403),1950,(+/-730),2248,(+/-997),2557,"(+/-1,039)",2875,(+/-810),3974,"(+/-1,047)",2936,(+/-813),5058,"(+/-1,397)"
People,Ancestry,Ukrainian,830,(+/-468),502,(+/-405),2226,(+/-900),2798,"(+/-1,283)",9205,"(+/-2,308)",5228,"(+/-1,609)",3271,"(+/-1,911)",4358,"(+/-1,477)",7318,"(+/-1,654)",8595,"(+/-3,004)",1569,(+/-803),504,(+/-425),1079,(+/-855),5380,"(+/-2,075)",715,(+/-332),1494,(+/-737),352,(+/-244),156,(+/-156)
People,Ancestry,Welsh,2144,"(+/-1,866)",1189,(+/-581),1096,(+/-699),692,(+/-315),4002,(+/-910),3814,(+/-958),1706,(+/-716),1673,(+/-708),2208,(+/-681),2529,(+/-857),1851,(+/-831),4384,"(+/-1,512)",5707,"(+/-1,624)",2586,"(+/-1,037)",3386,(+/-720),2982,"(+/-1,091)",4497,"(+/-1,035)",4050,"(+/-1,194)"
People,Ancestry,"West Indian (excluding Hispanic origin groups)",4714,"(+/-1,627)",4105,"(+/-1,882)",1008,(+/-691),2294,"(+/-1,240)",1058,(+/-625),708,(+/-381),2726,"(+/-1,121)",702,(+/-580),5472,"(+/-2,238)",3870,"(+/-1,466)",2118,"(+/-1,217)",294,(+/-277),716,(+/-432),1352,(+/-842),1075,(+/-784),516,(+/-445),396,(+/-395),1726,"(+/-1,141)"
People,"Veteran Status","Civilian population 18 years and over",548304,"(+/-12,420)",535665,"(+/-9,075)",545536,"(+/-10,947)",523275,"(+/-13,312)",593883,"(+/-11,648)",554910,"(+/-8,498)",576774,"(+/-13,565)",544384,"(+/-9,000)",576962,"(+/-11,645)",524813,"(+/-7,026)",535216,"(+/-8,178)",540608,"(+/-3,189)",564335,"(+/-5,906)",541965,"(+/-7,907)",544549,"(+/-3,588)",541641,"(+/-5,243)",538081,"(+/-5,393)",551339,"(+/-6,542)"
People,"Veteran Status","Civilian veterans",33542,"(+/-2,960)",33385,"(+/-2,759)",26955,"(+/-2,241)",10412,"(+/-1,455)",20188,"(+/-1,944)",27492,"(+/-2,151)",20089,"(+/-1,964)",23487,"(+/-2,211)",22027,"(+/-2,000)",30500,"(+/-2,517)",28210,"(+/-2,696)",55712,"(+/-3,183)",46820,"(+/-2,432)",31190,"(+/-2,511)",47402,"(+/-2,437)",46636,"(+/-2,825)",46299,"(+/-2,418)",48578,"(+/-2,509)"
People,"Disability Status of the Civilian Noninstitutionalized Population","Total civilian noninstitutionalized population",713577,"(+/-17,373)",696453,"(+/-11,212)",719255,"(+/-14,411)",706152,"(+/-17,716)",731149,"(+/-15,527)",721875,"(+/-10,727)",708088,"(+/-18,194)",706752,"(+/-10,100)",712929,"(+/-14,650)",696898,"(+/-8,170)",725013,"(+/-8,896)",679592,"(+/-4,485)",693404,"(+/-7,616)",725161,"(+/-9,452)",682115,"(+/-5,888)",687914,"(+/-6,534)",675949,"(+/-7,521)",697584,"(+/-7,885)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",90062,"(+/-4,306)",90899,"(+/-4,633)",68501,"(+/-4,068)",53480,"(+/-3,648)",57432,"(+/-4,016)",54442,"(+/-3,269)",77111,"(+/-4,392)",68387,"(+/-5,065)",71588,"(+/-3,650)",62931,"(+/-3,501)",58087,"(+/-3,572)",93909,"(+/-4,307)",86439,"(+/-3,844)",60170,"(+/-4,128)",101326,"(+/-3,898)",85768,"(+/-3,501)",96715,"(+/-3,695)",77711,"(+/-3,538)"
People,"Disability Status of the Civilian Noninstitutionalized Population","Under 18 years",168876,"(+/-8,628)",166628,"(+/-6,504)",181545,"(+/-8,143)",184524,"(+/-7,604)",141800,"(+/-7,257)",171323,"(+/-5,106)",143811,"(+/-7,734)",165638,"(+/-6,585)",145112,"(+/-6,278)",179222,"(+/-4,808)",193813,"(+/-6,220)",155318,"(+/-2,761)",141561,"(+/-3,944)",185959,"(+/-6,226)",158103,"(+/-3,529)",159286,"(+/-3,909)",152826,"(+/-3,745)",160917,"(+/-3,902)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",5457,"(+/-1,252)",5110,"(+/-1,028)",4580,(+/-896),4832,"(+/-1,068)",4323,"(+/-1,398)",3823,"(+/-1,005)",4687,"(+/-1,111)",5816,"(+/-1,341)",3394,(+/-912),4659,"(+/-1,179)",4676,"(+/-1,178)",6142,"(+/-1,327)",5555,"(+/-1,139)",5197,"(+/-1,652)",8187,"(+/-1,180)",6266,"(+/-1,226)",6301,"(+/-1,209)",4449,(+/-905)
People,"Disability Status of the Civilian Noninstitutionalized Population","18 to 64 years",441041,"(+/-11,149)",431022,"(+/-9,109)",443591,"(+/-10,785)",460657,"(+/-12,518)",499801,"(+/-10,533)",451144,"(+/-8,904)",478546,"(+/-13,485)",456490,"(+/-8,716)",457028,"(+/-11,329)",423385,"(+/-6,612)",452230,"(+/-7,870)",417926,"(+/-4,247)",447434,"(+/-5,905)",450974,"(+/-7,393)",404578,"(+/-4,231)",417233,"(+/-4,792)",405930,"(+/-5,372)",419567,"(+/-6,174)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",46844,"(+/-3,077)",49053,"(+/-3,477)",30143,"(+/-3,218)",29147,"(+/-2,983)",26395,"(+/-2,955)",24297,"(+/-2,551)",42952,"(+/-3,086)",33457,"(+/-3,393)",31155,"(+/-2,750)",29347,"(+/-2,631)",29418,"(+/-2,568)",48155,"(+/-3,201)",44232,"(+/-2,800)",28405,"(+/-2,729)",47879,"(+/-2,833)",41382,"(+/-2,848)",48540,"(+/-2,784)",36842,"(+/-2,783)"
People,"Disability Status of the Civilian Noninstitutionalized Population","65 years and over",103660,"(+/-4,585)",98803,"(+/-4,113)",94119,"(+/-4,441)",60971,"(+/-3,780)",89548,"(+/-4,184)",99408,"(+/-4,887)",85731,"(+/-3,841)",84624,"(+/-5,058)",110789,"(+/-4,561)",94291,"(+/-3,626)",78970,"(+/-3,768)",106348,"(+/-1,924)",104409,"(+/-2,610)",88228,"(+/-3,975)",119434,"(+/-1,664)",111395,"(+/-1,934)",117193,"(+/-2,216)",117100,"(+/-2,273)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",37761,"(+/-2,861)",36736,"(+/-2,527)",33778,"(+/-2,626)",19501,"(+/-1,805)",26714,"(+/-2,098)",26322,"(+/-2,307)",29472,"(+/-2,322)",29114,"(+/-2,990)",37039,"(+/-2,714)",28925,"(+/-2,258)",23993,"(+/-2,271)",39612,"(+/-2,266)",36652,"(+/-2,601)",26568,"(+/-2,332)",45260,"(+/-2,266)",38120,"(+/-2,036)",41874,"(+/-1,999)",36420,"(+/-2,179)"
People,"Residence 1 Year Ago","Population 1 year and over",708956,"(+/-17,168)",696956,"(+/-11,020)",716465,"(+/-14,206)",697308,"(+/-16,949)",726744,"(+/-15,429)",719619,"(+/-10,729)",713141,"(+/-17,789)",700552,"(+/-10,031)",712763,"(+/-14,170)",705052,"(+/-7,964)",719493,"(+/-8,712)",691653,"(+/-3,503)",698797,"(+/-7,125)",721557,"(+/-9,632)",693403,"(+/-5,326)",694449,"(+/-6,227)",683699,"(+/-7,375)",705786,"(+/-7,931)"
People,"Residence 1 Year Ago","Same house",627246,"(+/-16,606)",626566,"(+/-11,988)",648602,"(+/-16,120)",617825,"(+/-17,759)",613984,"(+/-15,430)",645488,"(+/-10,975)",585129,"(+/-16,675)",610008,"(+/-11,811)",619490,"(+/-14,754)",603716,"(+/-11,302)",634276,"(+/-11,315)",594694,"(+/-7,629)",566539,"(+/-7,890)",640267,"(+/-11,039)",604202,"(+/-8,123)",592987,"(+/-9,317)",584105,"(+/-8,913)",614793,"(+/-9,945)"
People,"Residence 1 Year Ago","Different house in the U.S.",78129,"(+/-8,582)",68358,"(+/-8,159)",64169,"(+/-6,174)",75513,"(+/-8,023)",108038,"(+/-7,049)",70785,"(+/-5,576)",120614,"(+/-7,694)",84488,"(+/-7,950)",84861,"(+/-7,420)",97186,"(+/-8,245)",80582,"(+/-8,351)",95837,"(+/-6,817)",126475,"(+/-6,992)",80168,"(+/-8,505)",87626,"(+/-6,302)",99635,"(+/-7,820)",97984,"(+/-6,873)",89209,"(+/-6,909)"
People,"Residence 1 Year Ago","Same county",63323,"(+/-8,636)",52005,"(+/-7,595)",51681,"(+/-5,996)",65993,"(+/-7,713)",79072,"(+/-5,900)",38568,"(+/-4,543)",92886,"(+/-7,181)",57780,"(+/-7,286)",65552,"(+/-6,182)",63758,"(+/-8,091)",48860,"(+/-7,424)",56544,"(+/-5,377)",72078,"(+/-5,641)",40277,"(+/-6,034)",50833,"(+/-4,743)",57325,"(+/-5,860)",65068,"(+/-5,838)",50113,"(+/-5,612)"
People,"Residence 1 Year Ago","Different county",14806,"(+/-2,588)",16353,"(+/-2,915)",12488,"(+/-2,189)",9520,"(+/-2,049)",28966,"(+/-3,325)",32217,"(+/-3,846)",27728,"(+/-3,360)",26708,"(+/-4,263)",19309,"(+/-2,566)",33428,"(+/-4,040)",31722,"(+/-3,837)",39293,"(+/-4,620)",54397,"(+/-4,310)",39891,"(+/-6,358)",36793,"(+/-4,222)",42310,"(+/-4,100)",32916,"(+/-3,500)",39096,"(+/-4,067)"
People,"Residence 1 Year Ago","Same state",5947,"(+/-1,669)",7776,"(+/-2,304)",8050,"(+/-1,795)",4303,"(+/-1,275)",10410,"(+/-2,074)",21556,"(+/-3,185)",9247,"(+/-2,039)",17935,"(+/-3,810)",6303,"(+/-1,332)",12631,"(+/-2,238)",23681,"(+/-3,483)",21977,"(+/-3,026)",39000,"(+/-3,333)",29729,"(+/-6,169)",28788,"(+/-3,890)",30809,"(+/-3,509)",21169,"(+/-2,842)",28802,"(+/-3,390)"
People,"Residence 1 Year Ago","Different state",8859,"(+/-1,982)",8577,"(+/-2,163)",4438,"(+/-1,359)",5217,"(+/-1,450)",18556,"(+/-2,716)",10661,"(+/-2,242)",18481,"(+/-2,572)",8773,"(+/-1,940)",13006,"(+/-2,443)",20797,"(+/-3,180)",8041,"(+/-1,837)",17316,"(+/-3,158)",15397,"(+/-3,314)",10162,"(+/-2,918)",8005,"(+/-1,580)",11501,"(+/-2,194)",11747,"(+/-2,173)",10294,"(+/-2,147)"
People,"Residence 1 Year Ago",Abroad,3581,"(+/-1,880)",2032,"(+/-1,349)",3694,"(+/-2,139)",3970,"(+/-1,050)",4722,"(+/-1,408)",3346,(+/-974),7398,"(+/-2,181)",6056,"(+/-1,947)",8412,"(+/-2,892)",4150,"(+/-1,394)",4635,"(+/-1,460)",1122,(+/-575),5783,"(+/-1,411)",1122,(+/-605),1575,(+/-677),1827,"(+/-1,083)",1610,(+/-643),1784,(+/-731)
Workers,"Employment Status","Population 16 years and over",569754,"(+/-13,326)",558222,"(+/-9,239)",568345,"(+/-11,370)",543741,"(+/-13,779)",606756,"(+/-11,894)",577451,"(+/-8,619)",591766,"(+/-14,031)",561502,"(+/-9,244)",591952,"(+/-11,897)",555990,"(+/-6,888)",557091,"(+/-8,363)",562340,"(+/-3,171)",580422,"(+/-6,079)",565700,"(+/-8,129)",563313,"(+/-3,826)",561395,"(+/-5,476)",553486,"(+/-5,561)",570832,"(+/-6,678)"
Workers,"Employment Status","In labor force",344558,"(+/-10,276)",339620,"(+/-7,816)",366053,"(+/-9,646)",370502,"(+/-10,649)",443914,"(+/-9,109)",397062,"(+/-8,652)",374778,"(+/-11,348)",402991,"(+/-8,331)",381737,"(+/-10,306)",379850,"(+/-6,394)",391055,"(+/-8,010)",336263,"(+/-6,250)",349741,"(+/-6,627)",397393,"(+/-7,684)",337348,"(+/-4,829)",357484,"(+/-5,177)",340600,"(+/-5,426)",363976,"(+/-6,421)"
Workers,"Employment Status","Civilian labor force",344400,"(+/-10,255)",339449,"(+/-7,830)",365828,"(+/-9,662)",370157,"(+/-10,639)",443693,"(+/-9,116)",396909,"(+/-8,675)",374433,"(+/-11,245)",402629,"(+/-8,353)",381737,"(+/-10,306)",369864,"(+/-6,451)",390717,"(+/-8,066)",333006,"(+/-6,369)",349429,"(+/-6,683)",397208,"(+/-7,699)",336904,"(+/-4,821)",357323,"(+/-5,190)",340428,"(+/-5,443)",363241,"(+/-6,473)"
Workers,"Employment Status",Employed,299695,"(+/-9,355)",290095,"(+/-7,837)",341262,"(+/-8,995)",343803,"(+/-10,469)",423185,"(+/-8,884)",379280,"(+/-8,494)",335417,"(+/-10,490)",380785,"(+/-8,115)",360866,"(+/-10,157)",349179,"(+/-6,849)",369956,"(+/-8,255)",306069,"(+/-7,038)",327853,"(+/-6,881)",380665,"(+/-7,488)",317256,"(+/-4,958)",331962,"(+/-5,025)",313461,"(+/-4,789)",345735,"(+/-6,413)"
Workers,"Employment Status",Unemployed,44705,"(+/-4,103)",49354,"(+/-3,767)",24566,"(+/-2,812)",26354,"(+/-2,739)",20508,"(+/-2,506)",17629,"(+/-2,258)",39016,"(+/-3,185)",21844,"(+/-2,445)",20871,"(+/-3,043)",20685,"(+/-2,360)",20761,"(+/-2,458)",26937,"(+/-2,840)",21576,"(+/-2,272)",16543,"(+/-2,286)",19648,"(+/-1,836)",25361,"(+/-2,664)",26967,"(+/-2,160)",17506,"(+/-1,931)"
Workers,"Employment Status","Armed Forces",158,(+/-196),171,(+/-186),225,(+/-274),345,(+/-391),221,(+/-179),153,(+/-250),345,(+/-542),362,(+/-282),0,(+/-182),9986,"(+/-1,585)",338,(+/-400),3257,(+/-943),312,(+/-251),185,(+/-151),444,(+/-311),161,(+/-160),172,(+/-122),735,(+/-425)
Workers,"Employment Status","Not in labor force",225196,"(+/-7,594)",218602,"(+/-6,979)",202292,"(+/-6,912)",173239,"(+/-7,331)",162842,"(+/-7,388)",180389,"(+/-5,737)",216988,"(+/-8,525)",158511,"(+/-5,904)",210215,"(+/-7,722)",176140,"(+/-5,038)",166036,"(+/-6,120)",226077,"(+/-5,636)",230681,"(+/-5,848)",168307,"(+/-5,986)",225965,"(+/-4,464)",203911,"(+/-4,642)",212886,"(+/-4,421)",206856,"(+/-4,388)"
Workers,"Employment Status","Civilian labor force",344400,"(+/-10,255)",339449,"(+/-7,830)",365828,"(+/-9,662)",370157,"(+/-10,639)",443693,"(+/-9,116)",396909,"(+/-8,675)",374433,"(+/-11,245)",402629,"(+/-8,353)",381737,"(+/-10,306)",369864,"(+/-6,451)",390717,"(+/-8,066)",333006,"(+/-6,369)",349429,"(+/-6,683)",397208,"(+/-7,699)",336904,"(+/-4,821)",357323,"(+/-5,190)",340428,"(+/-5,443)",363241,"(+/-6,473)"
Workers,"Employment Status","Unemployment Rate",13,(+/-1.1),14.5,(+/-1.1),6.7,(+/-0.7),7.1,(+/-0.7),4.6,(+/-0.6),4.4,(+/-0.6),10.4,(+/-0.8),5.4,(+/-0.6),5.5,(+/-0.8),5.6,(+/-0.6),5.3,(+/-0.6),8.1,(+/-0.9),6.2,(+/-0.7),4.2,(+/-0.6),5.8,(+/-0.5),7.1,(+/-0.7),7.9,(+/-0.6),4.8,(+/-0.5)
Workers,"Commuting to Work","Workers 16 years and over",290777,"(+/-8,935)",285492,"(+/-8,061)",329655,"(+/-8,683)",338007,"(+/-10,133)",416515,"(+/-8,777)",371767,"(+/-8,301)",327903,"(+/-10,086)",374296,"(+/-7,977)",354077,"(+/-10,427)",354668,"(+/-6,786)",363153,"(+/-8,347)",304081,"(+/-6,964)",322541,"(+/-6,821)",373852,"(+/-7,268)",312791,"(+/-4,944)",325265,"(+/-4,936)",308079,"(+/-4,712)",341909,"(+/-6,351)"
Workers,"Commuting to Work","Car, truck, or van -- drove alone",194442,"(+/-7,893)",211264,"(+/-6,914)",242493,"(+/-8,404)",200169,"(+/-8,070)",225024,"(+/-7,432)",291468,"(+/-7,903)",154820,"(+/-7,652)",296987,"(+/-7,578)",205913,"(+/-7,977)",271810,"(+/-6,593)",299128,"(+/-8,618)",255359,"(+/-7,000)",254882,"(+/-7,016)",309393,"(+/-6,939)",260501,"(+/-4,541)",275003,"(+/-5,281)",250482,"(+/-4,661)",285902,"(+/-6,280)"
Workers,"Commuting to Work","Car, truck, or van -- carpooled",21273,"(+/-2,712)",16804,"(+/-2,146)",32597,"(+/-3,867)",36073,"(+/-3,735)",27433,"(+/-2,979)",21942,"(+/-2,918)",19523,"(+/-2,929)",39938,"(+/-4,101)",26354,"(+/-3,492)",30497,"(+/-3,297)",23938,"(+/-3,061)",22986,"(+/-2,691)",27411,"(+/-2,630)",22501,"(+/-2,634)",27254,"(+/-2,418)",28465,"(+/-2,708)",29096,"(+/-2,726)",28562,"(+/-2,851)"
Workers,"Commuting to Work","Public transportation (excluding taxicab)",50521,"(+/-3,393)",39173,"(+/-4,160)",33445,"(+/-3,022)",68281,"(+/-3,706)",112077,"(+/-4,401)",23538,"(+/-1,931)",80723,"(+/-5,344)",14466,"(+/-1,927)",74396,"(+/-5,390)",18149,"(+/-1,958)",14300,"(+/-1,921)",6186,"(+/-1,374)",7541,"(+/-1,337)",13059,"(+/-2,152)",2044,(+/-640),1133,(+/-619),5414,"(+/-1,391)",2208,(+/-828)
Workers,"Commuting to Work",Walked,9489,"(+/-1,543)",4179,(+/-879),6881,"(+/-1,348)",12239,"(+/-1,808)",14584,"(+/-1,830)",5146,"(+/-1,052)",43618,"(+/-4,127)",5570,"(+/-1,284)",15877,"(+/-2,385)",12110,"(+/-1,487)",4615,"(+/-1,123)",5103,"(+/-1,275)",15340,"(+/-2,331)",3191,(+/-861),8365,"(+/-1,625)",4961,(+/-958),7357,"(+/-1,156)",6779,"(+/-1,251)"
Workers,"Commuting to Work","Other means",3227,(+/-714),4447,"(+/-1,131)",4038,"(+/-1,139)",10794,"(+/-1,800)",14498,"(+/-1,797)",4083,"(+/-1,054)",12032,"(+/-2,264)",4038,(+/-861),9761,"(+/-1,805)",4317,"(+/-1,005)",3935,"(+/-1,035)",3847,(+/-857),6319,"(+/-1,116)",3278,"(+/-1,006)",3820,(+/-990),4077,(+/-934),5456,"(+/-1,147)",4682,"(+/-1,342)"
Workers,"Commuting to Work","Worked at home",11825,"(+/-1,839)",9625,"(+/-1,769)",10201,"(+/-1,679)",10451,"(+/-1,734)",22899,"(+/-2,381)",25590,"(+/-2,158)",17187,"(+/-2,005)",13297,"(+/-2,064)",21776,"(+/-2,521)",17785,"(+/-2,093)",17237,"(+/-2,367)",10600,"(+/-1,685)",11048,"(+/-1,425)",22430,"(+/-2,922)",10807,"(+/-1,570)",11626,"(+/-1,551)",10274,"(+/-1,381)",13776,"(+/-1,667)"
Workers,"Commuting to Work","Mean travel time to work (minutes)",36.5,(+/-0.8),34.5,(+/-0.9),33.3,(+/-0.7),34.2,(+/-0.7),33.1,(+/-0.5),30.7,(+/-0.7),32.7,(+/-0.8),28,(+/-0.6),31.8,(+/-0.6),29.2,(+/-0.5),29.9,(+/-0.6),23.7,(+/-0.6),20.2,(+/-0.4),33.7,(+/-0.8),21.8,(+/-0.5),23.6,(+/-0.5),20,(+/-0.5),20.5,(+/-0.5)
Workers,Occupation,"Civilian employed population 16 years and over",299695,"(+/-9,355)",290095,"(+/-7,837)",341262,"(+/-8,995)",343803,"(+/-10,469)",423185,"(+/-8,884)",379280,"(+/-8,494)",335417,"(+/-10,490)",380785,"(+/-8,115)",360866,"(+/-10,157)",349179,"(+/-6,849)",369956,"(+/-8,255)",306069,"(+/-7,038)",327853,"(+/-6,881)",380665,"(+/-7,488)",317256,"(+/-4,958)",331962,"(+/-5,025)",313461,"(+/-4,789)",345735,"(+/-6,413)"
Workers,Occupation,"Management, business, science, and arts occupations",103017,"(+/-5,359)",89097,"(+/-4,872)",106479,"(+/-5,436)",88675,"(+/-4,771)",211475,"(+/-5,980)",182171,"(+/-6,472)",154766,"(+/-6,984)",127921,"(+/-4,835)",175488,"(+/-5,852)",145961,"(+/-5,234)",131506,"(+/-6,369)",103622,"(+/-4,663)",129298,"(+/-5,274)",155943,"(+/-5,600)",93974,"(+/-3,920)",102058,"(+/-3,450)",82863,"(+/-3,893)",138169,"(+/-4,745)"
Workers,Occupation,"Service occupations",59174,"(+/-3,890)",59006,"(+/-4,608)",62251,"(+/-4,530)",83567,"(+/-5,742)",59625,"(+/-4,143)",48293,"(+/-3,974)",57992,"(+/-4,616)",67358,"(+/-5,725)",53951,"(+/-4,545)",55493,"(+/-4,046)",63679,"(+/-4,202)",57791,"(+/-3,974)",65058,"(+/-3,907)",53575,"(+/-3,891)",57239,"(+/-3,054)",59187,"(+/-3,830)",65641,"(+/-3,676)",53584,"(+/-3,409)"
Workers,Occupation,"Sales and office occupations",78488,"(+/-4,373)",72429,"(+/-5,049)",85991,"(+/-5,064)",73939,"(+/-4,725)",93787,"(+/-4,413)",95295,"(+/-4,128)",75998,"(+/-5,465)",97217,"(+/-4,982)",82987,"(+/-3,936)",83738,"(+/-4,331)",89327,"(+/-4,925)",69950,"(+/-4,105)",69097,"(+/-4,109)",95733,"(+/-4,355)",70862,"(+/-3,476)",76538,"(+/-3,664)",72149,"(+/-3,355)",85698,"(+/-3,851)"
Workers,Occupation,"Natural resources, construction, and maintenance occupations",20376,"(+/-2,389)",22163,"(+/-2,340)",33840,"(+/-3,442)",30412,"(+/-2,591)",21602,"(+/-2,684)",19401,"(+/-2,141)",10817,"(+/-1,854)",25167,"(+/-2,833)",15917,"(+/-2,191)",21414,"(+/-2,202)",26816,"(+/-3,057)",27503,"(+/-2,739)",25126,"(+/-2,289)",32666,"(+/-3,206)",34408,"(+/-2,390)",32268,"(+/-2,279)",29551,"(+/-2,445)",27428,"(+/-1,999)"
Workers,Occupation,"Production, transportation, and material moving occupations",38640,"(+/-3,494)",47400,"(+/-3,265)",52701,"(+/-3,850)",67210,"(+/-4,238)",36696,"(+/-3,391)",34120,"(+/-2,960)",35844,"(+/-3,585)",63122,"(+/-4,491)",32523,"(+/-3,417)",42573,"(+/-3,648)",58628,"(+/-3,992)",47203,"(+/-3,275)",39274,"(+/-2,776)",42748,"(+/-3,786)",60773,"(+/-2,435)",61911,"(+/-3,046)",63257,"(+/-3,484)",40856,"(+/-2,689)"
