Topic,Subject,Title,"District 01 Value","District 01 MOE","District 02 Value","District 02 MOE","District 03 Value","District 03 MOE","District 04 Value","District 04 MOE","District 05 Value","District 05 MOE","District 06 Value","District 06 MOE","District 07 Value","District 07 MOE","District 08 Value","District 08 MOE","District 09 Value","District 09 MOE","District 10 Value","District 10 MOE","District 11 Value","District 11 MOE","District 12 Value","District 12 MOE","District 13 Value","District 13 MOE","District 14 Value","District 14 MOE","District 15 Value","District 15 MOE","District 16 Value","District 16 MOE","District 17 Value","District 17 MOE","District 18 Value","District 18 MOE","District 19 Value","District 19 MOE","District 20 Value","District 20 MOE","District 21 Value","District 21 MOE","District 22 Value","District 22 MOE","District 23 Value","District 23 MOE","District 24 Value","District 24 MOE","District 25 Value","District 25 MOE","District 26 Value","District 26 MOE","District 27 Value","District 27 MOE","District 28 Value","District 28 MOE","District 29 Value","District 29 MOE","District 30 Value","District 30 MOE","District 31 Value","District 31 MOE","District 32 Value","District 32 MOE","District 33 Value","District 33 MOE","District 34 Value","District 34 MOE","District 35 Value","District 35 MOE","District 36 Value","District 36 MOE"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",107394,"(+/-4,693)",72879,"(+/-6,085)",56659,"(+/-3,641)",107636,"(+/-5,682)",101304,"(+/-6,002)",81388,"(+/-5,553)",54047,"(+/-4,733)",84018,"(+/-5,858)",71295,"(+/-5,564)",75092,"(+/-5,035)",97774,"(+/-4,753)",96422,"(+/-5,219)",98914,"(+/-4,013)",94292,"(+/-5,124)",95078,"(+/-5,826)",101373,"(+/-7,203)",79850,"(+/-4,216)",85115,"(+/-5,517)",102004,"(+/-3,650)",101933,"(+/-6,236)",86252,"(+/-5,361)",70830,"(+/-5,547)",99170,"(+/-5,064)",57602,"(+/-4,078)",80273,"(+/-4,592)",70795,"(+/-5,475)",112967,"(+/-6,313)",102524,"(+/-6,333)",59945,"(+/-4,967)",83840,"(+/-5,588)",92765,"(+/-4,920)",65762,"(+/-4,725)",67432,"(+/-4,514)",102579,"(+/-5,544)",108674,"(+/-6,444)",100469,"(+/-5,950)"
People,"Disability Status of the Civilian Noninstitutionalized Population","Under 18 years",176044,"(+/-2,182)",177333,"(+/-10,201)",218540,"(+/-3,503)",177558,"(+/-3,328)",191254,"(+/-6,477)",192755,"(+/-7,528)",205428,"(+/-11,908)",201194,"(+/-5,113)",206228,"(+/-12,484)",204292,"(+/-10,058)",190445,"(+/-2,981)",198731,"(+/-8,403)",175767,"(+/-2,914)",180266,"(+/-3,501)",238242,"(+/-8,093)",204346,"(+/-3,215)",172536,"(+/-5,021)",201196,"(+/-13,621)",181394,"(+/-3,041)",206148,"(+/-8,899)",152245,"(+/-9,264)",240020,"(+/-8,939)",211085,"(+/-9,239)",188249,"(+/-7,147)",182253,"(+/-5,604)",223594,"(+/-5,969)",185708,"(+/-3,412)",225835,"(+/-7,565)",239122,"(+/-13,351)",210155,"(+/-8,475)",216462,"(+/-3,211)",179276,"(+/-7,869)",232875,"(+/-10,095)",219328,"(+/-7,084)",211969,"(+/-9,738)",179980,"(+/-6,534)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",10458,"(+/-1,808)",4729,"(+/-1,325)",6796,"(+/-1,395)",8318,"(+/-1,396)",10300,"(+/-2,037)",7804,"(+/-1,917)",5597,"(+/-1,504)",8460,"(+/-2,533)",5599,"(+/-1,564)",8160,"(+/-1,632)",7581,"(+/-1,574)",9383,"(+/-1,771)",7175,"(+/-1,392)",7663,"(+/-1,703)",10440,"(+/-2,135)",10924,"(+/-2,601)",7139,"(+/-1,782)",7989,"(+/-1,656)",8396,"(+/-1,659)",8913,"(+/-1,763)",4527,"(+/-1,207)",8305,"(+/-2,401)",8838,"(+/-1,498)",4831,"(+/-1,206)",6282,"(+/-1,532)",6796,"(+/-1,473)",10005,"(+/-1,967)",12940,"(+/-2,454)",6287,"(+/-1,487)",6702,"(+/-1,874)",12148,"(+/-2,397)",5724,"(+/-1,127)",7200,"(+/-1,636)",14404,"(+/-2,622)",8966,"(+/-1,787)",8105,"(+/-1,623)"
People,"Disability Status of the Civilian Noninstitutionalized Population","18 to 64 years",415925,"(+/-3,526)",494365,"(+/-16,948)",519055,"(+/-3,940)",418785,"(+/-4,042)",435508,"(+/-11,428)",466812,"(+/-8,491)",490186,"(+/-15,468)",471486,"(+/-9,509)",504986,"(+/-16,735)",495787,"(+/-12,756)",439197,"(+/-4,887)",483382,"(+/-10,887)",402497,"(+/-5,127)",434772,"(+/-6,066)",433411,"(+/-7,943)",424402,"(+/-4,375)",478735,"(+/-6,905)",486080,"(+/-15,126)",418957,"(+/-4,551)",480826,"(+/-12,538)",492327,"(+/-10,475)",529804,"(+/-13,414)",419436,"(+/-11,889)",512528,"(+/-8,685)",455044,"(+/-10,478)",517196,"(+/-9,012)",433766,"(+/-4,693)",413714,"(+/-8,122)",461726,"(+/-16,250)",463526,"(+/-10,357)",474810,"(+/-5,041)",476563,"(+/-9,536)",446886,"(+/-12,063)",398570,"(+/-6,856)",525987,"(+/-13,591)",440120,"(+/-10,329)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",50610,"(+/-3,411)",41970,"(+/-4,783)",26791,"(+/-2,825)",53766,"(+/-3,936)",51817,"(+/-4,596)",44966,"(+/-3,978)",24019,"(+/-3,133)",44206,"(+/-4,735)",39351,"(+/-3,926)",40013,"(+/-3,947)",48274,"(+/-4,081)",50213,"(+/-3,888)",50945,"(+/-3,316)",48554,"(+/-4,363)",47492,"(+/-4,442)",52289,"(+/-5,618)",39158,"(+/-3,348)",49450,"(+/-3,975)",50411,"(+/-3,263)",63450,"(+/-5,022)",42981,"(+/-4,315)",33323,"(+/-4,026)",48523,"(+/-3,969)",30130,"(+/-2,959)",40972,"(+/-3,483)",40156,"(+/-4,251)",58809,"(+/-4,403)",51138,"(+/-4,576)",31509,"(+/-3,355)",47553,"(+/-4,005)",49468,"(+/-3,358)",29572,"(+/-3,023)",37041,"(+/-3,428)",45652,"(+/-3,472)",67515,"(+/-5,317)",52351,"(+/-4,061)"
People,"Disability Status of the Civilian Noninstitutionalized Population","65 years and over",109208,"(+/-2,187)",77971,"(+/-4,176)",79731,"(+/-2,028)",114772,"(+/-2,000)",94508,"(+/-2,711)",78988,"(+/-3,128)",80802,"(+/-4,835)",99666,"(+/-2,710)",69524,"(+/-4,051)",86182,"(+/-3,903)",113400,"(+/-2,380)",96139,"(+/-4,172)",96682,"(+/-1,957)",94093,"(+/-2,217)",79968,"(+/-3,572)",85747,"(+/-2,078)",85500,"(+/-2,882)",68556,"(+/-4,643)",93722,"(+/-1,971)",76633,"(+/-3,520)",117343,"(+/-4,365)",84953,"(+/-3,983)",94242,"(+/-3,614)",76824,"(+/-4,028)",96370,"(+/-3,073)",73275,"(+/-2,361)",105186,"(+/-2,442)",79166,"(+/-3,961)",56505,"(+/-3,500)",69194,"(+/-4,039)",88555,"(+/-1,233)",90060,"(+/-3,491)",56521,"(+/-3,243)",96547,"(+/-3,051)",74684,"(+/-3,686)",94208,"(+/-3,744)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",46326,"(+/-2,768)",26180,"(+/-2,541)",23072,"(+/-2,053)",45552,"(+/-3,049)",39187,"(+/-2,773)",28618,"(+/-2,421)",24431,"(+/-2,796)",31352,"(+/-2,727)",26345,"(+/-2,927)",26919,"(+/-2,269)",41919,"(+/-2,310)",36826,"(+/-2,904)",40794,"(+/-2,118)",38075,"(+/-2,162)",37146,"(+/-2,636)",38160,"(+/-2,171)",33553,"(+/-2,642)",27676,"(+/-2,430)",43197,"(+/-2,209)",29570,"(+/-2,191)",38744,"(+/-3,144)",29202,"(+/-3,255)",41809,"(+/-2,721)",22641,"(+/-2,310)",33019,"(+/-2,549)",23843,"(+/-1,847)",44153,"(+/-3,133)",38446,"(+/-2,934)",22149,"(+/-2,355)",29585,"(+/-2,877)",31149,"(+/-2,076)",30466,"(+/-2,760)",23191,"(+/-2,241)",42523,"(+/-3,104)",32193,"(+/-2,669)",40013,"(+/-3,321)"
People,"Residence 1 Year Ago","Population 1 year and over",706986,"(+/-4,461)",744466,"(+/-24,876)",810884,"(+/-5,821)",718108,"(+/-5,826)",733151,"(+/-12,915)",732775,"(+/-12,000)",763978,"(+/-24,569)",792949,"(+/-10,629)",770424,"(+/-24,404)",785023,"(+/-17,948)",749462,"(+/-5,964)",778318,"(+/-16,251)",697295,"(+/-5,477)",732165,"(+/-6,968)",756804,"(+/-14,575)",730250,"(+/-6,133)",740252,"(+/-9,217)",752427,"(+/-25,182)",715495,"(+/-6,350)",762229,"(+/-17,004)",761444,"(+/-16,028)",852527,"(+/-19,913)",736248,"(+/-17,974)",768689,"(+/-10,120)",753204,"(+/-12,926)",807877,"(+/-11,115)",724466,"(+/-6,396)",712645,"(+/-12,378)",747084,"(+/-26,430)",744792,"(+/-15,730)",793339,"(+/-5,790)",738085,"(+/-12,496)",726152,"(+/-18,453)",718625,"(+/-11,598)",812083,"(+/-19,380)",722147,"(+/-13,070)"
People,"Residence 1 Year Ago","Same house",598465,"(+/-10,844)",629925,"(+/-24,273)",703260,"(+/-10,356)",610193,"(+/-10,466)",601939,"(+/-14,893)",613927,"(+/-12,239)",621109,"(+/-20,919)",676860,"(+/-15,161)",659303,"(+/-23,708)",671649,"(+/-17,692)",625347,"(+/-7,659)",642180,"(+/-15,604)",580063,"(+/-8,590)",627281,"(+/-8,983)",677791,"(+/-16,489)",617358,"(+/-11,259)",584913,"(+/-10,920)",623406,"(+/-24,681)",560974,"(+/-10,994)",608091,"(+/-15,701)",613792,"(+/-16,167)",740592,"(+/-18,760)",636462,"(+/-17,121)",615450,"(+/-13,481)",628265,"(+/-12,830)",657848,"(+/-14,512)",596455,"(+/-11,207)",633846,"(+/-13,553)",638932,"(+/-24,485)",649533,"(+/-15,855)",635559,"(+/-10,415)",614527,"(+/-15,162)",619958,"(+/-19,275)",650784,"(+/-12,278)",664895,"(+/-19,389)",592413,"(+/-12,376)"
People,"Residence 1 Year Ago","Different house in the U.S.",107029,"(+/-10,249)",107914,"(+/-10,111)",99421,"(+/-8,784)",105594,"(+/-7,920)",125593,"(+/-11,269)",114015,"(+/-9,497)",118780,"(+/-10,486)",112504,"(+/-12,369)",98424,"(+/-10,770)",107827,"(+/-10,964)",120251,"(+/-7,320)",131023,"(+/-8,997)",115257,"(+/-7,203)",102348,"(+/-8,348)",73674,"(+/-9,006)",102230,"(+/-8,181)",148849,"(+/-9,931)",122490,"(+/-11,714)",150577,"(+/-8,535)",147824,"(+/-14,023)",143489,"(+/-12,063)",96930,"(+/-11,050)",92876,"(+/-8,327)",141192,"(+/-10,287)",121150,"(+/-10,471)",145560,"(+/-11,338)",126227,"(+/-9,629)",74895,"(+/-9,650)",102306,"(+/-10,944)",92618,"(+/-7,884)",150082,"(+/-10,227)",118396,"(+/-9,186)",99692,"(+/-9,268)",64547,"(+/-7,058)",141454,"(+/-10,285)",124276,"(+/-9,668)"
People,"Residence 1 Year Ago","Same county",59660,"(+/-8,235)",76571,"(+/-8,366)",44283,"(+/-5,213)",55584,"(+/-6,148)",77925,"(+/-8,098)",67383,"(+/-6,877)",84353,"(+/-9,825)",50863,"(+/-7,497)",64053,"(+/-7,849)",60293,"(+/-7,775)",63570,"(+/-7,196)",85644,"(+/-7,441)",62053,"(+/-5,669)",58553,"(+/-6,319)",44880,"(+/-7,389)",69838,"(+/-8,014)",77637,"(+/-7,299)",94786,"(+/-9,846)",88017,"(+/-7,291)",108180,"(+/-12,067)",86009,"(+/-9,112)",47738,"(+/-8,541)",59996,"(+/-7,357)",76906,"(+/-7,640)",62009,"(+/-6,652)",75360,"(+/-9,502)",73949,"(+/-7,555)",57819,"(+/-8,398)",87006,"(+/-10,904)",68461,"(+/-7,834)",71721,"(+/-6,248)",77239,"(+/-8,245)",75715,"(+/-8,255)",43994,"(+/-6,352)",88922,"(+/-8,928)",75105,"(+/-8,620)"
People,"Residence 1 Year Ago","Different county",47369,"(+/-5,609)",31343,"(+/-5,379)",55138,"(+/-6,434)",50010,"(+/-5,501)",47668,"(+/-6,582)",46632,"(+/-7,353)",34427,"(+/-6,070)",61641,"(+/-9,024)",34371,"(+/-6,780)",47534,"(+/-5,799)",56681,"(+/-6,390)",45379,"(+/-5,989)",53204,"(+/-4,982)",43795,"(+/-6,479)",28794,"(+/-5,086)",32392,"(+/-4,460)",71212,"(+/-6,853)",27704,"(+/-4,624)",62560,"(+/-4,640)",39644,"(+/-5,811)",57480,"(+/-6,466)",49192,"(+/-7,571)",32880,"(+/-4,320)",64286,"(+/-8,008)",59141,"(+/-7,042)",70200,"(+/-7,425)",52278,"(+/-6,246)",17076,"(+/-3,894)",15300,"(+/-3,693)",24157,"(+/-3,077)",78361,"(+/-8,981)",41157,"(+/-4,445)",23977,"(+/-4,190)",20553,"(+/-3,463)",52532,"(+/-6,622)",49171,"(+/-6,553)"
People,"Residence 1 Year Ago","Same state",38562,"(+/-4,521)",16480,"(+/-4,221)",30576,"(+/-4,524)",36057,"(+/-4,679)",36511,"(+/-6,019)",30519,"(+/-5,676)",13979,"(+/-3,442)",43270,"(+/-7,338)",22260,"(+/-5,451)",32618,"(+/-4,930)",41043,"(+/-5,240)",28603,"(+/-4,519)",40374,"(+/-4,349)",30098,"(+/-4,384)",23811,"(+/-4,867)",10357,"(+/-3,213)",57219,"(+/-5,898)",13694,"(+/-2,908)",46657,"(+/-4,330)",20522,"(+/-4,447)",35739,"(+/-5,278)",33712,"(+/-7,080)",20755,"(+/-3,286)",40454,"(+/-6,018)",34383,"(+/-4,512)",45929,"(+/-6,671)",36956,"(+/-5,416)",7292,"(+/-1,792)",8371,"(+/-2,916)",15882,"(+/-2,397)",49896,"(+/-7,033)",24002,"(+/-3,480)",14753,"(+/-3,695)",16157,"(+/-3,034)",38270,"(+/-5,075)",36446,"(+/-5,240)"
People,"Residence 1 Year Ago","Different state",8807,"(+/-2,209)",14863,"(+/-2,792)",24562,"(+/-4,406)",13953,"(+/-2,920)",11157,"(+/-2,996)",16113,"(+/-4,625)",20448,"(+/-5,323)",18371,"(+/-6,332)",12111,"(+/-3,096)",14916,"(+/-3,025)",15638,"(+/-3,385)",16776,"(+/-3,599)",12830,"(+/-2,717)",13697,"(+/-3,877)",4983,"(+/-1,902)",22035,"(+/-3,887)",13993,"(+/-2,466)",14010,"(+/-2,841)",15903,"(+/-2,423)",19122,"(+/-4,085)",21741,"(+/-3,816)",15480,"(+/-3,979)",12125,"(+/-2,723)",23832,"(+/-4,005)",24758,"(+/-4,293)",24271,"(+/-4,457)",15322,"(+/-3,321)",9784,"(+/-3,390)",6929,"(+/-2,777)",8275,"(+/-1,862)",28465,"(+/-5,259)",17155,"(+/-3,260)",9224,"(+/-2,310)",4396,"(+/-1,402)",14262,"(+/-3,678)",12725,"(+/-4,207)"
People,"Residence 1 Year Ago",Abroad,1492,(+/-670),6627,"(+/-1,943)",8203,"(+/-1,858)",2321,(+/-893),5619,"(+/-2,506)",4833,"(+/-1,878)",24089,"(+/-7,161)",3585,"(+/-1,378)",12697,"(+/-3,607)",5547,"(+/-2,662)",3864,"(+/-1,354)",5115,"(+/-2,417)",1975,(+/-769),2536,"(+/-1,100)",5339,"(+/-1,936)",10662,"(+/-2,856)",6490,"(+/-2,293)",6531,"(+/-1,888)",3944,"(+/-1,111)",6314,"(+/-2,744)",4163,"(+/-1,417)",15005,"(+/-4,643)",6910,"(+/-1,402)",12047,"(+/-3,123)",3789,"(+/-1,360)",4469,"(+/-1,573)",1784,(+/-933),3904,"(+/-1,179)",5846,"(+/-2,272)",2641,(+/-985),7698,"(+/-2,221)",5162,"(+/-1,791)",6502,"(+/-2,555)",3294,"(+/-1,382)",5734,"(+/-1,685)",5458,"(+/-3,476)"
Workers,"Employment Status","Population 16 years and over",557077,"(+/-3,940)",597290,"(+/-18,620)",626982,"(+/-3,734)",567393,"(+/-4,488)",573762,"(+/-11,481)",574341,"(+/-9,257)",593360,"(+/-16,955)",621970,"(+/-8,244)",598152,"(+/-17,882)",608035,"(+/-13,405)",590811,"(+/-5,086)",610486,"(+/-12,420)",549728,"(+/-4,321)",583014,"(+/-5,826)",554848,"(+/-9,347)",559336,"(+/-4,490)",596263,"(+/-7,998)",583371,"(+/-17,465)",561660,"(+/-4,386)",590611,"(+/-13,331)",637199,"(+/-12,201)",650309,"(+/-14,470)",561310,"(+/-13,234)",611969,"(+/-9,651)",598184,"(+/-9,584)",618247,"(+/-9,096)",570240,"(+/-4,342)",524033,"(+/-8,439)",542632,"(+/-18,565)",564463,"(+/-11,697)",612224,"(+/-4,118)",587203,"(+/-10,283)",529857,"(+/-13,343)",532523,"(+/-7,990)",631201,"(+/-14,394)",573164,"(+/-10,929)"
Workers,"Employment Status","In labor force",319398,"(+/-6,197)",417076,"(+/-15,735)",442494,"(+/-6,299)",332172,"(+/-6,889)",348452,"(+/-9,762)",390883,"(+/-9,296)",415685,"(+/-13,004)",369615,"(+/-9,874)",415285,"(+/-14,180)",418026,"(+/-12,313)",362619,"(+/-7,613)",405304,"(+/-11,484)",335835,"(+/-5,810)",351363,"(+/-6,656)",326769,"(+/-7,322)",347935,"(+/-6,105)",374902,"(+/-7,799)",378670,"(+/-11,841)",341294,"(+/-5,662)",379685,"(+/-10,751)",410559,"(+/-10,119)",439921,"(+/-12,043)",330655,"(+/-9,898)",449962,"(+/-7,773)",375920,"(+/-9,598)",448774,"(+/-8,339)",353047,"(+/-6,774)",315873,"(+/-8,388)",352852,"(+/-12,980)",359494,"(+/-10,115)",415461,"(+/-6,636)",413696,"(+/-9,583)",345396,"(+/-9,866)",285770,"(+/-7,576)",417830,"(+/-10,310)",344883,"(+/-9,191)"
Workers,"Employment Status","Civilian labor force",319207,"(+/-6,248)",416793,"(+/-15,717)",441842,"(+/-6,326)",331490,"(+/-6,719)",347987,"(+/-9,805)",390540,"(+/-9,278)",415685,"(+/-13,004)",368950,"(+/-9,889)",414939,"(+/-14,280)",417851,"(+/-12,287)",358867,"(+/-7,324)",403976,"(+/-11,546)",330063,"(+/-5,914)",350149,"(+/-6,595)",326049,"(+/-7,456)",327921,"(+/-6,252)",374655,"(+/-7,772)",378606,"(+/-11,831)",337044,"(+/-5,804)",372008,"(+/-10,688)",406756,"(+/-9,858)",439030,"(+/-11,971)",325978,"(+/-9,907)",449784,"(+/-7,774)",363750,"(+/-9,458)",448513,"(+/-8,298)",351523,"(+/-6,888)",314343,"(+/-8,404)",352441,"(+/-12,925)",359446,"(+/-10,107)",396490,"(+/-7,196)",413447,"(+/-9,583)",345224,"(+/-9,862)",285211,"(+/-7,576)",416316,"(+/-10,354)",344259,"(+/-9,329)"
Workers,"Employment Status",Employed,298086,"(+/-6,185)",398374,"(+/-15,090)",425586,"(+/-6,350)",310435,"(+/-6,424)",327931,"(+/-9,375)",371688,"(+/-8,917)",396313,"(+/-12,221)",349821,"(+/-10,116)",387105,"(+/-14,152)",399263,"(+/-11,988)",343800,"(+/-7,325)",378604,"(+/-10,651)",314910,"(+/-5,704)",325917,"(+/-7,003)",300991,"(+/-7,370)",307397,"(+/-6,368)",357797,"(+/-7,925)",352050,"(+/-11,585)",321858,"(+/-6,164)",349049,"(+/-10,157)",389033,"(+/-9,833)",422996,"(+/-11,457)",302764,"(+/-9,903)",434492,"(+/-7,651)",347478,"(+/-9,193)",428261,"(+/-9,028)",328831,"(+/-6,288)",288375,"(+/-8,109)",331514,"(+/-12,837)",336394,"(+/-9,371)",373095,"(+/-7,207)",396159,"(+/-9,258)",323813,"(+/-9,526)",261555,"(+/-7,925)",393642,"(+/-10,188)",318524,"(+/-8,926)"
Workers,"Employment Status",Unemployed,21121,"(+/-2,513)",18419,"(+/-2,390)",16256,"(+/-2,793)",21055,"(+/-2,415)",20056,"(+/-3,265)",18852,"(+/-2,554)",19372,"(+/-3,115)",19129,"(+/-2,838)",27834,"(+/-3,345)",18588,"(+/-3,073)",15067,"(+/-2,559)",25372,"(+/-3,577)",15153,"(+/-1,993)",24232,"(+/-3,418)",25058,"(+/-3,318)",20524,"(+/-3,028)",16858,"(+/-2,687)",26556,"(+/-3,117)",15186,"(+/-1,943)",22959,"(+/-3,018)",17723,"(+/-2,326)",16034,"(+/-2,762)",23214,"(+/-2,798)",15292,"(+/-2,215)",16272,"(+/-2,146)",20252,"(+/-2,584)",22692,"(+/-3,261)",25968,"(+/-3,794)",20927,"(+/-2,595)",23052,"(+/-3,792)",23395,"(+/-3,175)",17288,"(+/-2,410)",21411,"(+/-2,737)",23656,"(+/-2,679)",22674,"(+/-3,329)",25735,"(+/-2,975)"
Workers,"Employment Status","Armed Forces",191,(+/-211),283,(+/-300),652,(+/-644),682,(+/-723),465,(+/-458),343,(+/-221),0,(+/-214),665,(+/-674),346,(+/-477),175,(+/-241),3752,"(+/-1,404)",1328,(+/-887),5772,"(+/-2,218)",1214,(+/-728),720,(+/-445),20014,"(+/-2,608)",247,(+/-208),64,(+/-111),4250,"(+/-1,117)",7677,"(+/-1,216)",3803,(+/-960),891,(+/-989),4677,"(+/-1,348)",178,(+/-170),12170,"(+/-1,553)",261,(+/-219),1524,(+/-675),1530,(+/-698),411,(+/-417),48,(+/-79),18971,"(+/-2,356)",249,(+/-190),172,(+/-171),559,(+/-575),1514,(+/-576),624,(+/-492)
Workers,"Employment Status","Not in labor force",237679,"(+/-5,943)",180214,"(+/-8,862)",184488,"(+/-5,653)",235221,"(+/-5,951)",225310,"(+/-8,610)",183458,"(+/-6,919)",177675,"(+/-7,785)",252355,"(+/-9,449)",182867,"(+/-8,207)",190009,"(+/-8,203)",228192,"(+/-6,104)",205182,"(+/-8,164)",213893,"(+/-5,252)",231651,"(+/-6,707)",228079,"(+/-7,856)",211401,"(+/-5,477)",221361,"(+/-7,140)",204701,"(+/-9,342)",220366,"(+/-5,588)",210926,"(+/-8,396)",226640,"(+/-7,232)",210388,"(+/-8,415)",230655,"(+/-8,590)",162007,"(+/-6,592)",222264,"(+/-6,173)",169473,"(+/-6,481)",217193,"(+/-6,315)",208160,"(+/-7,014)",189780,"(+/-9,374)",204969,"(+/-7,976)",196763,"(+/-5,761)",173507,"(+/-6,349)",184461,"(+/-7,535)",246753,"(+/-6,773)",213371,"(+/-7,761)",228281,"(+/-7,401)"
Workers,"Employment Status","Civilian labor force",319207,"(+/-6,248)",416793,"(+/-15,717)",441842,"(+/-6,326)",331490,"(+/-6,719)",347987,"(+/-9,805)",390540,"(+/-9,278)",415685,"(+/-13,004)",368950,"(+/-9,889)",414939,"(+/-14,280)",417851,"(+/-12,287)",358867,"(+/-7,324)",403976,"(+/-11,546)",330063,"(+/-5,914)",350149,"(+/-6,595)",326049,"(+/-7,456)",327921,"(+/-6,252)",374655,"(+/-7,772)",378606,"(+/-11,831)",337044,"(+/-5,804)",372008,"(+/-10,688)",406756,"(+/-9,858)",439030,"(+/-11,971)",325978,"(+/-9,907)",449784,"(+/-7,774)",363750,"(+/-9,458)",448513,"(+/-8,298)",351523,"(+/-6,888)",314343,"(+/-8,404)",352441,"(+/-12,925)",359446,"(+/-10,107)",396490,"(+/-7,196)",413447,"(+/-9,583)",345224,"(+/-9,862)",285211,"(+/-7,576)",416316,"(+/-10,354)",344259,"(+/-9,329)"
Workers,"Employment Status","Unemployment Rate",6.6,(+/-0.8),4.4,(+/-0.5),3.7,(+/-0.6),6.4,(+/-0.7),5.8,(+/-0.9),4.8,(+/-0.6),4.7,(+/-0.7),5.2,(+/-0.8),6.7,(+/-0.8),4.4,(+/-0.7),4.2,(+/-0.7),6.3,(+/-0.8),4.6,(+/-0.6),6.9,(+/-1.0),7.7,(+/-1.0),6.3,(+/-0.9),4.5,(+/-0.7),7,(+/-0.8),4.5,(+/-0.6),6.2,(+/-0.8),4.4,(+/-0.6),3.7,(+/-0.6),7.1,(+/-0.9),3.4,(+/-0.5),4.5,(+/-0.6),4.5,(+/-0.6),6.5,(+/-0.9),8.3,(+/-1.2),5.9,(+/-0.7),6.4,(+/-1.0),5.9,(+/-0.8),4.2,(+/-0.6),6.2,(+/-0.8),8.3,(+/-1.0),5.4,(+/-0.8),7.5,(+/-0.8)
Workers,"Commuting to Work","Workers 16 years and over",293952,"(+/-5,891)",391419,"(+/-14,883)",421355,"(+/-6,509)",305169,"(+/-6,619)",319184,"(+/-8,980)",366647,"(+/-8,622)",390926,"(+/-12,294)",343467,"(+/-10,417)",378496,"(+/-13,781)",393069,"(+/-12,071)",341600,"(+/-7,495)",373264,"(+/-10,617)",314510,"(+/-5,695)",321563,"(+/-6,895)",296967,"(+/-7,344)",318243,"(+/-6,127)",351962,"(+/-8,023)",344549,"(+/-11,294)",321647,"(+/-6,061)",351318,"(+/-10,213)",386054,"(+/-10,160)",413826,"(+/-11,242)",301095,"(+/-9,613)",427600,"(+/-7,444)",353327,"(+/-9,429)",419815,"(+/-9,210)",324123,"(+/-6,182)",284122,"(+/-8,129)",324743,"(+/-13,018)",332425,"(+/-9,373)",385484,"(+/-7,089)",389651,"(+/-8,888)",316137,"(+/-9,462)",257722,"(+/-7,796)",389890,"(+/-9,813)",311398,"(+/-8,995)"
Workers,"Commuting to Work","Car, truck, or van -- drove alone",249743,"(+/-6,282)",312862,"(+/-13,185)",343565,"(+/-7,084)",254147,"(+/-6,461)",252383,"(+/-8,390)",310322,"(+/-8,708)",316817,"(+/-10,303)",277354,"(+/-10,643)",292527,"(+/-12,072)",312570,"(+/-10,055)",286192,"(+/-7,440)",313262,"(+/-10,595)",256951,"(+/-6,361)",269864,"(+/-7,142)",235601,"(+/-7,173)",252741,"(+/-7,881)",284820,"(+/-8,896)",276123,"(+/-10,035)",259724,"(+/-6,126)",281156,"(+/-9,700)",301797,"(+/-9,530)",349972,"(+/-11,621)",242214,"(+/-8,686)",352819,"(+/-7,268)",272364,"(+/-8,663)",343353,"(+/-9,104)",265488,"(+/-7,038)",230394,"(+/-7,893)",253148,"(+/-11,830)",268137,"(+/-9,116)",309187,"(+/-7,576)",306946,"(+/-8,971)",231908,"(+/-7,676)",215966,"(+/-6,932)",300238,"(+/-8,993)",263093,"(+/-7,841)"
Workers,"Commuting to Work","Car, truck, or van -- carpooled",26898,"(+/-2,475)",38185,"(+/-4,113)",25905,"(+/-3,304)",27875,"(+/-3,062)",39787,"(+/-4,338)",31001,"(+/-3,356)",30216,"(+/-3,956)",36769,"(+/-4,546)",48960,"(+/-5,217)",41891,"(+/-5,168)",36221,"(+/-3,459)",35609,"(+/-4,453)",34416,"(+/-3,334)",30945,"(+/-3,911)",31152,"(+/-3,531)",36685,"(+/-3,908)",39367,"(+/-3,891)",32758,"(+/-3,754)",41729,"(+/-3,616)",36686,"(+/-4,364)",29694,"(+/-3,296)",33279,"(+/-3,855)",33514,"(+/-3,783)",34280,"(+/-3,172)",30023,"(+/-3,324)",35847,"(+/-4,036)",36153,"(+/-3,218)",33890,"(+/-3,272)",39814,"(+/-4,555)",31458,"(+/-3,768)",37669,"(+/-3,944)",37198,"(+/-4,475)",56412,"(+/-5,355)",24424,"(+/-3,034)",49679,"(+/-4,767)",30564,"(+/-4,114)"
