Topic,Subject,Title,"District 01 Value","District 01 MOE","District 02 Value","District 02 MOE","District 03 Value","District 03 MOE","District 04 Value","District 04 MOE","District 05 Value","District 05 MOE","District 06 Value","District 06 MOE"
Housing,"Year Householder Moved into Unit","Moved in 1980 to 1989",22832,"(+/-2,384)",20437,"(+/-1,934)",20520,"(+/-2,093)",20706,"(+/-2,077)",19802,"(+/-1,730)",20250,"(+/-2,123)"
Housing,"Year Householder Moved into Unit","Moved in 1979 and earlier",27314,"(+/-2,094)",30557,"(+/-2,116)",29381,"(+/-2,343)",27482,"(+/-2,076)",30933,"(+/-2,064)",24427,"(+/-2,224)"
Housing,Value,"Owner-occupied units",204670,"(+/-4,899)",156498,"(+/-3,968)",201246,"(+/-4,732)",179088,"(+/-4,305)",168514,"(+/-4,630)",212278,"(+/-4,444)"
Housing,Value,"Less than $50,000",14022,"(+/-1,896)",10168,"(+/-1,622)",33228,"(+/-2,906)",31949,"(+/-2,605)",35928,"(+/-3,364)",18748,"(+/-2,468)"
Housing,Value,"$50,000 to $99,999",20295,"(+/-1,950)",29252,"(+/-2,288)",41394,"(+/-3,330)",40942,"(+/-2,834)",40376,"(+/-2,602)",21431,"(+/-2,772)"
Housing,Value,"$100,000 to $149,999",33202,"(+/-2,842)",34045,"(+/-2,656)",32883,"(+/-2,647)",30629,"(+/-2,172)",31185,"(+/-2,448)",32805,"(+/-2,845)"
Housing,Value,"$150,000 to $199,999",40291,"(+/-3,151)",33235,"(+/-2,360)",38296,"(+/-3,037)",29464,"(+/-2,505)",23762,"(+/-2,525)",48030,"(+/-3,859)"
Housing,Value,"$200,000 to $299,999",53915,"(+/-3,231)",28472,"(+/-2,181)",31657,"(+/-2,460)",28470,"(+/-2,803)",23837,"(+/-2,144)",49614,"(+/-3,524)"
Housing,Value,"$300,000 to $499,999",29498,"(+/-2,356)",13785,"(+/-1,188)",16425,"(+/-1,820)",13287,"(+/-1,743)",9913,"(+/-1,659)",31059,"(+/-2,659)"
Housing,Value,"$500,000 to $999,999",10772,"(+/-1,403)",6176,(+/-986),6025,"(+/-1,099)",3547,(+/-836),2705,(+/-742),8731,"(+/-1,270)"
Housing,Value,"$1,000,000 or more",2675,(+/-566),1365,(+/-416),1338,(+/-533),800,(+/-377),808,(+/-397),1860,(+/-634)
Housing,Value,"Median (dollars)",192200,"(+/-4,403)",155900,"(+/-2,987)",138600,"(+/-5,265)",124800,"(+/-4,744)",110300,"(+/-4,214)",182300,"(+/-4,478)"
Housing,"Mortgage Status","Owner-occupied units",204670,"(+/-4,899)",156498,"(+/-3,968)",201246,"(+/-4,732)",179088,"(+/-4,305)",168514,"(+/-4,630)",212278,"(+/-4,444)"
Housing,"Mortgage Status","Housing units with a mortgage",114176,"(+/-4,520)",85989,"(+/-3,094)",97988,"(+/-4,358)",86680,"(+/-4,231)",75524,"(+/-3,878)",127572,"(+/-4,961)"
Housing,"Mortgage Status","Housing units without a mortgage",90494,"(+/-3,748)",70509,"(+/-2,809)",103258,"(+/-3,801)",92408,"(+/-3,872)",92990,"(+/-3,870)",84706,"(+/-3,972)"
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units with a mortgage",114176,"(+/-4,520)",85989,"(+/-3,094)",97988,"(+/-4,358)",86680,"(+/-4,231)",75524,"(+/-3,878)",127572,"(+/-4,961)"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $500",1809,(+/-673),2439,(+/-729),4329,(+/-967),3799,(+/-937),3687,(+/-869),1899,(+/-613)
Housing,"Selected Monthly Owner Costs(SMOC)","$500 to $999",23628,"(+/-2,327)",23595,"(+/-2,356)",36300,"(+/-3,096)",33151,"(+/-2,919)",34649,"(+/-2,932)",30353,"(+/-2,950)"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,000 to $1,499",37658,"(+/-3,102)",30416,"(+/-2,287)",31945,"(+/-2,833)",28063,"(+/-2,537)",22449,"(+/-2,098)",47064,"(+/-3,665)"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,500 to $1,999",25863,"(+/-2,801)",16437,"(+/-1,949)",15209,"(+/-1,810)",14322,"(+/-1,873)",8623,"(+/-1,418)",28949,"(+/-3,217)"
Housing,"Selected Monthly Owner Costs(SMOC)","$2,000 to $2,499",12992,"(+/-1,651)",5798,"(+/-1,051)",5598,"(+/-1,027)",4311,"(+/-1,096)",3228,(+/-857),9906,"(+/-1,476)"
Housing,"Selected Monthly Owner Costs(SMOC)","$2,500 to $2,999",4981,(+/-985),3228,(+/-843),2799,(+/-852),1291,(+/-547),1734,(+/-807),4701,"(+/-1,238)"
Housing,"Selected Monthly Owner Costs(SMOC)","$3,000 or more",7245,"(+/-1,088)",4076,(+/-881),1808,(+/-547),1743,(+/-585),1154,(+/-469),4700,"(+/-1,048)"
Housing,"Selected Monthly Owner Costs(SMOC)","Median (dollars)",1419,(+/-37),1267,(+/-43),1120,(+/-34),1101,(+/-37),993,(+/-28),1331,(+/-31)
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units without a mortgage",90494,"(+/-3,748)",70509,"(+/-2,809)",103258,"(+/-3,801)",92408,"(+/-3,872)",92990,"(+/-3,870)",84706,"(+/-3,972)"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $250",21383,"(+/-2,248)",16606,"(+/-1,916)",36848,"(+/-2,455)",35955,"(+/-2,677)",36597,"(+/-3,466)",21571,"(+/-2,315)"
Housing,"Selected Monthly Owner Costs(SMOC)","$250 to $399",23689,"(+/-2,097)",24629,"(+/-1,972)",37483,"(+/-2,694)",31404,"(+/-2,194)",34103,"(+/-2,563)",29295,"(+/-2,601)"
Housing,"Selected Monthly Owner Costs(SMOC)","$400 to $599",26210,"(+/-2,137)",19343,"(+/-1,934)",19486,"(+/-1,962)",17578,"(+/-2,125)",16222,"(+/-1,816)",21711,"(+/-2,253)"
Housing,"Selected Monthly Owner Costs(SMOC)","$600 to $799",8871,"(+/-1,350)",5796,"(+/-1,091)",6774,"(+/-1,250)",4617,"(+/-1,076)",3976,(+/-845),8135,"(+/-1,545)"
Housing,"Selected Monthly Owner Costs(SMOC)","$800 to $999",5106,"(+/-1,078)",1701,(+/-416),1590,(+/-609),1254,(+/-433),1148,(+/-477),1924,(+/-619)
Housing,"Selected Monthly Owner Costs(SMOC)","$1,000 or more",5235,(+/-822),2434,(+/-543),1077,(+/-381),1600,(+/-643),944,(+/-408),2070,(+/-760)
Housing,"Selected Monthly Owner Costs(SMOC)","Median (dollars)",402,(+/-15),357,(+/-14),303,(+/-9),291,(+/-8),284,(+/-8),349,(+/-13)
Housing,"Gross Rent","Occupied units paying rent",89597,"(+/-4,542)",131103,"(+/-4,266)",80266,"(+/-4,822)",91194,"(+/-4,371)",82126,"(+/-3,874)",69842,"(+/-4,902)"
Housing,"Gross Rent","Less than $500",6945,"(+/-1,653)",18731,"(+/-1,772)",15015,"(+/-2,307)",19053,"(+/-1,966)",23532,"(+/-2,266)",6154,"(+/-1,464)"
Housing,"Gross Rent","$500 to $999",49064,"(+/-3,126)",68073,"(+/-3,792)",46985,"(+/-3,756)",52153,"(+/-3,214)",49534,"(+/-3,574)",34840,"(+/-3,332)"
Housing,"Gross Rent","$1,000 to $1,499",25193,"(+/-2,819)",34837,"(+/-2,539)",14425,"(+/-2,164)",15595,"(+/-2,081)",7799,"(+/-1,458)",20882,"(+/-2,865)"
Housing,"Gross Rent","$1,500 to $1,999",5928,"(+/-1,353)",7124,"(+/-1,202)",2929,(+/-982),3026,(+/-821),767,(+/-386),5745,"(+/-1,390)"
Housing,"Gross Rent","$2,000 to $2,499",1174,(+/-550),1623,(+/-501),863,(+/-497),956,(+/-567),178,(+/-180),2026,(+/-973)
Housing,"Gross Rent","$2,500 to $2,999",509,(+/-339),407,(+/-235),0,(+/-204),177,(+/-202),151,(+/-234),195,(+/-195)
Housing,"Gross Rent","$3,000 or more",784,(+/-422),308,(+/-182),49,(+/-80),234,(+/-316),165,(+/-198),0,(+/-204)
Housing,"Gross Rent","Median (dollars)",896,(+/-22),871,(+/-17),733,(+/-24),731,(+/-15),653,(+/-22),915,(+/-31)
Housing,"Gross Rent","No rent paid",8727,"(+/-1,839)",8844,"(+/-1,243)",13506,"(+/-1,772)",14655,"(+/-1,868)",17431,"(+/-2,442)",8323,"(+/-1,502)"
Socioeconomic,"Income and Benefits (In 2015 inflation-adjusted dollars)","Total households",302994,"(+/-4,328)",296445,"(+/-4,546)",295018,"(+/-3,903)",284937,"(+/-4,042)",268071,"(+/-4,473)",290443,"(+/-5,389)"
Socioeconomic,"Income and Benefits (In 2015 inflation-adjusted dollars)","Less than $10,000",22702,"(+/-2,301)",40439,"(+/-3,012)",28330,"(+/-2,555)",33957,"(+/-2,784)",34853,"(+/-3,132)",19538,"(+/-2,751)"
Socioeconomic,"Income and Benefits (In 2015 inflation-adjusted dollars)","$10,000 to $14,999",14704,"(+/-2,068)",22712,"(+/-2,031)",17188,"(+/-2,189)",21292,"(+/-1,979)",24260,"(+/-2,594)",13020,"(+/-1,868)"
Socioeconomic,"Income and Benefits (In 2015 inflation-adjusted dollars)","$15,000 to $24,999",32811,"(+/-3,020)",40690,"(+/-3,183)",39458,"(+/-2,835)",39538,"(+/-3,644)",42350,"(+/-2,885)",28386,"(+/-2,844)"
Socioeconomic,"Income and Benefits (In 2015 inflation-adjusted dollars)","$25,000 to $34,999",30295,"(+/-2,958)",34244,"(+/-2,639)",30301,"(+/-3,140)",31982,"(+/-2,533)",31641,"(+/-2,360)",25762,"(+/-2,514)"
Socioeconomic,"Income and Benefits (In 2015 inflation-adjusted dollars)","$35,000 to $49,999",38311,"(+/-3,176)",42756,"(+/-2,727)",38485,"(+/-2,882)",37911,"(+/-3,087)",32674,"(+/-2,303)",34224,"(+/-3,528)"
Socioeconomic,"Income and Benefits (In 2015 inflation-adjusted dollars)","$50,000 to $74,999",54380,"(+/-3,194)",43756,"(+/-2,844)",45617,"(+/-3,531)",47633,"(+/-2,745)",41659,"(+/-2,476)",49955,"(+/-4,587)"
Socioeconomic,"Income and Benefits (In 2015 inflation-adjusted dollars)","$75,000 to $99,999",35869,"(+/-2,808)",29255,"(+/-2,597)",34729,"(+/-3,143)",29577,"(+/-2,453)",24013,"(+/-2,008)",36469,"(+/-3,649)"
Socioeconomic,"Income and Benefits (In 2015 inflation-adjusted dollars)","$100,000 to $149,999",40859,"(+/-2,763)",27281,"(+/-2,357)",35362,"(+/-2,986)",26837,"(+/-1,876)",23743,"(+/-2,420)",48288,"(+/-3,977)"
Socioeconomic,"Income and Benefits (In 2015 inflation-adjusted dollars)","$150,000 to $199,000",17645,"(+/-1,919)",8996,"(+/-1,211)",13100,"(+/-2,041)",8511,"(+/-1,171)",6528,"(+/-1,221)",20141,"(+/-2,072)"
Socioeconomic,"Income and Benefits (In 2015 inflation-adjusted dollars)","$200,000 or more",15418,"(+/-1,772)",6316,"(+/-1,014)",12448,"(+/-1,729)",7699,"(+/-1,185)",6350,"(+/-1,029)",14660,"(+/-1,612)"
Socioeconomic,"Income and Benefits (In 2015 inflation-adjusted dollars)","Median household income (dollars)",54677,"(+/-2,129)",37856,"(+/-1,296)",46766,"(+/-1,630)",40689,"(+/-1,305)",35321,"(+/-1,268)",60440,"(+/-1,668)"
Socioeconomic,"Income and Benefits (In 2015 inflation-adjusted dollars)","Mean household income (dollars)",75497,"(+/-2,246)",54597,"(+/-1,467)",67659,"(+/-2,155)",57407,"(+/-1,584)",52947,"(+/-1,733)",79912,"(+/-2,126)"
Socioeconomic,"Health Insurance Coverage","Civilian noninstitutionalized population",798787,"(+/-10,622)",778179,"(+/-11,981)",773337,"(+/-2,167)",730814,"(+/-5,465)",706049,"(+/-7,962)",780265,"(+/-9,811)"
Socioeconomic,"Health Insurance Coverage","With health insurance coverage",707972,"(+/-10,425)",674818,"(+/-11,866)",679813,"(+/-7,309)",636889,"(+/-7,337)",607079,"(+/-10,347)",715229,"(+/-11,714)"
Socioeconomic,"Health Insurance Coverage","With private health insurance",534605,"(+/-10,685)",421472,"(+/-10,702)",487070,"(+/-11,131)",439858,"(+/-9,766)",403075,"(+/-10,823)",567222,"(+/-14,121)"
Socioeconomic,"Health Insurance Coverage","With public coverage",263201,"(+/-10,403)",319618,"(+/-10,161)",270353,"(+/-7,986)",290468,"(+/-7,429)",285879,"(+/-8,329)",228026,"(+/-9,760)"
Socioeconomic,"Health Insurance Coverage","No health insurance coverage",90815,"(+/-7,542)",103361,"(+/-6,341)",93524,"(+/-7,178)",93925,"(+/-6,162)",98970,"(+/-6,980)",65036,"(+/-6,682)"
Socioeconomic,"Health Insurance Coverage","Civilian noninstitutionalized population under 18 years",184344,"(+/-5,151)",181661,"(+/-5,558)",194628,"(+/-1,359)",186993,"(+/-2,679)",178345,"(+/-3,337)",188707,"(+/-4,929)"
Socioeconomic,"Health Insurance Coverage","No health insurance coverage",5754,"(+/-1,888)",6117,"(+/-1,616)",4934,"(+/-1,942)",6380,"(+/-2,200)",12486,"(+/-2,462)",4252,"(+/-1,799)"
Socioeconomic,"Percentage of Families and People whose Income in the Past 12 Months is Below the Poverty Level","All families",12,(+/-1.5),19.2,(+/-1.5),13.9,(+/-1.4),16.3,(+/-1.4),19.9,(+/-1.5),8,(+/-1.3)
Socioeconomic,"Percentage of Families and People whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 18 years",19.2,(+/-2.7),31,(+/-2.6),21,(+/-2.4),26.2,(+/-2.6),31.8,(+/-2.6),12.7,(+/-2.4)
Socioeconomic,"Percentage of Families and People whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 5 years only",21.6,(+/-5.3),31.7,(+/-6.1),18.1,(+/-6.1),22.2,(+/-5.1),34,(+/-7.9),14.1,(+/-5.8)
Socioeconomic,"Percentage of Families and People whose Income in the Past 12 Months is Below the Poverty Level","Married couple families",4.6,(+/-1.1),6.7,(+/-1.3),5.3,(+/-1.2),7,(+/-1.1),8.4,(+/-1.4),2.4,(+/-0.7)
Socioeconomic,"Percentage of Families and People whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 18 years",6,(+/-1.9),8.9,(+/-2.1),5.7,(+/-2.0),10.6,(+/-2.4),11.5,(+/-2.4),3.3,(+/-1.3)
Socioeconomic,"Percentage of Families and People whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 5 years only",5.4,(+/-3.7),11.9,(+/-6.1),3.5,(+/-2.6),9,(+/-5.1),7.3,(+/-6.0),3.5,(+/-3.9)
Socioeconomic,"Percentage of Families and People whose Income in the Past 12 Months is Below the Poverty Level","Families with female householder, no husband present",35,(+/-4.4),38,(+/-3.1),38.8,(+/-4.2),39.9,(+/-3.8),47.1,(+/-3.8),28.1,(+/-5.2)
Socioeconomic,"Percentage of Families and People whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 18 years",47.4,(+/-6.1),52.8,(+/-4.1),48,(+/-4.8),52.2,(+/-5.0),57.5,(+/-4.5),35.7,(+/-7.5)
Socioeconomic,"Percentage of Families and People whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 5 years only",65.2,(+/-12.4),57.6,(+/-11.0),53.6,(+/-14.9),50.8,(+/-13.3),62.4,(+/-11.8),46.3,(+/-22.1)
Socioeconomic,"Percentage of Families and People whose Income in the Past 12 Months is Below the Poverty Level","All people",15.6,(+/-1.4),23.9,(+/-1.4),18.7,(+/-1.2),22.1,(+/-1.4),24.7,(+/-1.3),13.3,(+/-1.5)
Socioeconomic,"Percentage of Families and People whose Income in the Past 12 Months is Below the Poverty Level","Under 18 years",21.9,(+/-3.1),37.8,(+/-3.0),26.3,(+/-2.6),32.4,(+/-2.8),35.1,(+/-2.6),17.4,(+/-3.4)
Socioeconomic,"Percentage of Families and People whose Income in the Past 12 Months is Below the Poverty Level","Related children of the householder under 18 years",21.6,(+/-3.1),37.6,(+/-2.9),26,(+/-2.6),32.2,(+/-2.8),34.9,(+/-2.6),17.2,(+/-3.3)
Socioeconomic,"Percentage of Families and People whose Income in the Past 12 Months is Below the Poverty Level","Related children of the householder under 5 years",23.4,(+/-4.6),44.1,(+/-3.7),27.6,(+/-5.0),35.1,(+/-4.0),39.9,(+/-4.1),18.8,(+/-4.4)
Socioeconomic,"Percentage of Families and People whose Income in the Past 12 Months is Below the Poverty Level","Related children of the householder 5 to 17 years",20.9,(+/-3.4),35.1,(+/-3.6),25.4,(+/-2.9),31.1,(+/-3.2),33,(+/-2.9),16.7,(+/-3.4)
Socioeconomic,"Percentage of Families and People whose Income in the Past 12 Months is Below the Poverty Level","18 years and over",13.7,(+/-1.1),19.6,(+/-1.2),16.2,(+/-1.0),18.6,(+/-1.2),21.1,(+/-1.2),12,(+/-1.3)
Socioeconomic,"Percentage of Families and People whose Income in the Past 12 Months is Below the Poverty Level","65 years and over",10.6,(+/-1.5),15.4,(+/-1.9),15.1,(+/-1.9),13,(+/-1.5),16,(+/-1.5),7.4,(+/-1.5)
Socioeconomic,"Percentage of Families and People whose Income in the Past 12 Months is Below the Poverty Level","People in families",13.2,(+/-1.7),21.2,(+/-1.7),15.5,(+/-1.4),19.1,(+/-1.5),21.4,(+/-1.5),9.8,(+/-1.7)
Socioeconomic,"Percentage of Families and People whose Income in the Past 12 Months is Below the Poverty Level","Unrelated individuals 15 years and over",26,(+/-2.1),33,(+/-1.9),32.4,(+/-2.4),35.4,(+/-2.6),39.2,(+/-2.1),27.9,(+/-2.6)
Education,"School Enrollment","Population 3 years and over enrolled in school",204619,"(+/-6,404)",198792,"(+/-6,650)",194851,"(+/-4,352)",183638,"(+/-4,888)",179792,"(+/-5,296)",213025,"(+/-6,782)"
Education,"School Enrollment","Nursery school, preschool",14085,"(+/-2,056)",16377,"(+/-1,991)",12755,"(+/-1,754)",12023,"(+/-1,518)",13692,"(+/-1,585)",13204,"(+/-2,079)"
Education,"School Enrollment",Kindergarten,11139,"(+/-2,125)",8309,"(+/-1,353)",11086,"(+/-1,864)",9573,"(+/-1,609)",10526,"(+/-1,711)",10047,"(+/-1,685)"
Education,"School Enrollment","Elementary school (grades 1-8)",84821,"(+/-4,293)",82333,"(+/-3,685)",86981,"(+/-3,273)",86397,"(+/-3,572)",79756,"(+/-3,375)",87715,"(+/-4,616)"
Education,"School Enrollment","High school (grades 9-12)",40309,"(+/-2,357)",42014,"(+/-2,539)",43210,"(+/-2,389)",38501,"(+/-2,617)",40585,"(+/-2,586)",40223,"(+/-3,309)"
Education,"School Enrollment","College or graduate school",54265,"(+/-4,266)",49759,"(+/-4,315)",40819,"(+/-3,305)",37144,"(+/-3,506)",35233,"(+/-3,458)",61836,"(+/-4,518)"
Education,"Educational Attainment","Population 25 years and over",550479,"(+/-6,805)",529491,"(+/-7,729)",513651,"(+/-2,894)",498110,"(+/-3,695)",495408,"(+/-5,161)",508116,"(+/-7,132)"
Education,"Educational Attainment","Less than 9th grade",26040,"(+/-3,154)",30677,"(+/-2,835)",32325,"(+/-2,633)",23905,"(+/-2,542)",28028,"(+/-2,838)",18958,"(+/-2,708)"
Education,"Educational Attainment","9th to 12th grade, no diploma",43067,"(+/-4,258)",65371,"(+/-4,285)",54334,"(+/-4,303)",52186,"(+/-3,676)",65567,"(+/-3,738)",36312,"(+/-3,402)"
Education,"Educational Attainment","High school graduate (includes equivalency)",166181,"(+/-6,810)",167837,"(+/-6,855)",185566,"(+/-5,705)",181235,"(+/-6,748)",192761,"(+/-6,505)",162953,"(+/-6,002)"
Education,"Educational Attainment","Some college, no degree",121977,"(+/-5,522)",118007,"(+/-5,652)",105205,"(+/-4,305)",106014,"(+/-5,664)",96339,"(+/-4,397)",106669,"(+/-5,172)"
Education,"Educational Attainment","Associate's degree",31445,"(+/-3,034)",27096,"(+/-2,535)",32604,"(+/-3,158)",38555,"(+/-3,645)",25569,"(+/-2,394)",34414,"(+/-4,167)"
Education,"Educational Attainment","Bachelor's degree",106605,"(+/-4,837)",76900,"(+/-3,863)",71436,"(+/-4,509)",62669,"(+/-4,279)",55654,"(+/-3,703)",97475,"(+/-4,847)"
Education,"Educational Attainment","Graduate or professional degree",55164,"(+/-3,369)",43603,"(+/-2,928)",32181,"(+/-3,137)",33546,"(+/-3,110)",31490,"(+/-2,541)",51335,"(+/-3,905)"
Education,"Educational Attainment","Percent high school graduate or higher",87.4,(+/-0.9),81.9,(+/-0.9),83.1,(+/-1.1),84.7,(+/-0.9),81.1,(+/-0.9),89.1,(+/-0.8)
Education,"Educational Attainment","Percent bachelor's degree or higher",29.4,(+/-1.0),22.8,(+/-0.8),20.2,(+/-1.0),19.3,(+/-1.0),17.6,(+/-0.9),29.3,(+/-1.1)
Topic,Subject,Title,"District 01 Value","District 01 Flag","District 02 Value","District 02 Flag","District 03 Value","District 03 Flag","District 04 Value","District 04 Flag","District 05 Value","District 05 Flag","District 06 Value","District 06 Flag"
Business,"Paid employees for pay period including March 12","Total for all sectors",320713,G,294953,G,301403,G,218177,G,209785,G,325892,G
Business,"Paid employees for pay period including March 12","Agriculture, forestry, fishing and hunting",202,G,229,G,229,H,1757,G,1459,G,238,J
Business,"Paid employees for pay period including March 12","Mining, quarrying, and oil and gas extraction",7194,G,2851,G,18689,G,6328,G,1649,G,2215,G
Business,"Paid employees for pay period including March 12",Utilities,1006,J,h,D,1288,H,2053,G,2471,J,1504,H
Business,"Paid employees for pay period including March 12",Construction,18777,G,16387,G,19225,G,13864,G,10519,G,58288,H
Business,"Paid employees for pay period including March 12",Manufacturing,18650,G,26177,G,28668,G,18381,G,16954,G,16524,G
Business,"Paid employees for pay period including March 12","Wholesale trade",17369,G,10622,G,16767,G,9929,G,8348,G,13625,G
Business,"Paid employees for pay period including March 12","Retail trade",47441,G,31139,G,42510,G,34083,G,34873,G,48118,G
Business,"Paid employees for pay period including March 12","Transportation and warehousing",19646,G,17420,G,12509,G,8382,G,6244,G,7939,H
Business,"Paid employees for pay period including March 12",Information,4404,G,3742,H,3891,H,3392,G,5996,G,4615,G
Business,"Paid employees for pay period including March 12","Finance and insurance",14422,G,10506,G,8131,G,7078,H,8761,G,13427,G
Business,"Paid employees for pay period including March 12","Real estate and rental and leasing",7109,G,4800,G,9105,G,3497,G,2947,G,4435,G
Business,"Paid employees for pay period including March 12","Professional, scientific, and technical services",16636,G,22146,G,17450,G,8405,G,7693,G,23713,G
Business,"Paid employees for pay period including March 12","Management of companies and enterprises",5767,G,5405,G,3780,G,1688,H,1542,G,5205,G
Business,"Paid employees for pay period including March 12","Administrative and support and waste management and remediation services",17083,G,18550,G,12971,G,9261,G,7390,G,17646,G
Business,"Paid employees for pay period including March 12","Educational services",12371,G,15536,G,3934,G,2771,G,3271,G,5957,G
Business,"Paid employees for pay period including March 12","Health care and social assistance",55734,G,36773,G,50707,G,45916,G,55114,G,44921,G
Business,"Paid employees for pay period including March 12","Arts, entertainment, and recreation",6174,G,6955,G,2736,G,2403,G,1815,G,5077,H
Business,"Paid employees for pay period including March 12","Accommodation and food services",36265,G,50416,G,36173,G,28058,G,22411,G,37536,G
Business,"Paid employees for pay period including March 12","Other services (except public administration)",14418,G,12501,G,12616,G,10884,G,10271,G,14874,G
Business,"Paid employees for pay period including March 12","Industries not classified",45,J,38,G,24,J,47,J,57,J,35,J
Business,"Annual payroll ($1,000)","Total for all sectors",14841706,G,14734232,G,13412884,G,8271605,G,7404011,G,15070111,G
Business,"Annual payroll ($1,000)","Agriculture, forestry, fishing and hunting",4637,G,11955,H,10119,G,79813,G,64944,G,7694,H
Business,"Annual payroll ($1,000)","Mining, quarrying, and oil and gas extraction",607117,G,263445,G,1355316,G,371859,G,90810,G,156408,G
Business,"Annual payroll ($1,000)",Utilities,79979,J,D,D,107588,H,157677,H,224383,J,121447,H
Business,"Annual payroll ($1,000)",Construction,1046251,G,960022,G,1013093,G,673429,G,483614,G,3640771,H
Business,"Annual payroll ($1,000)",Manufacturing,1130292,G,2424688,G,1798275,G,1011922,G,892262,G,1221318,G
Business,"Annual payroll ($1,000)","Wholesale trade",1017590,G,613449,G,937932,G,494839,G,383983,G,818781,G
Business,"Annual payroll ($1,000)","Retail trade",1263199,G,837987,G,1082563,G,855032,G,849743,G,1209608,G
Business,"Annual payroll ($1,000)","Transportation and warehousing",1289891,G,974212,G,758787,G,389996,G,285591,G,451417,H
Business,"Annual payroll ($1,000)",Information,233012,G,214346,H,179410,H,147600,G,313640,H,221288,G
Business,"Annual payroll ($1,000)","Finance and insurance",1033316,G,883317,G,463684,G,370441,G,412624,G,947384,G
Business,"Annual payroll ($1,000)","Real estate and rental and leasing",373375,G,215661,G,494268,G,135958,G,100951,G,200511,G
Business,"Annual payroll ($1,000)","Professional, scientific, and technical services",1047543,G,1682298,G,1158948,G,394080,G,364482,G,1646268,G
Business,"Annual payroll ($1,000)","Management of companies and enterprises",525823,G,786390,G,289304,H,98884,H,84469,G,512345,G
Business,"Annual payroll ($1,000)","Administrative and support and waste management and remediation services",615089,G,639262,G,575450,G,258748,G,206177,G,694341,G
Business,"Annual payroll ($1,000)","Educational services",470062,G,606778,G,111652,G,81092,G,76465,G,177087,G
Business,"Annual payroll ($1,000)","Health care and social assistance",2682421,G,1547583,G,2020811,G,2003781,G,1965643,G,1878472,G
Business,"Annual payroll ($1,000)","Arts, entertainment, and recreation",318478,H,242726,H,43711,G,41303,G,33166,H,88091,H
Business,"Annual payroll ($1,000)","Accommodation and food services",621227,G,1104784,G,651023,G,457784,G,317878,G,579633,G
Business,"Annual payroll ($1,000)","Other services (except public administration)",481579,G,394749,G,360037,G,245766,G,252199,G,496686,G
Business,"Annual payroll ($1,000)","Industries not classified",825,G,542,H,913,G,1601,G,987,G,561,G
Business,"Total Establishments","Total for all sectors",21006,X,15688,X,19853,X,15041,X,15228,X,18252,X
Business,"Total Establishments","Agriculture, forestry, fishing and hunting",70,X,13,X,50,X,216,X,211,X,39,X
Business,"Total Establishments","Mining, quarrying, and oil and gas extraction",191,X,62,X,576,X,434,X,170,X,121,X
Business,"Total Establishments",Utilities,52,X,64,X,70,X,125,X,136,X,54,X
Business,"Total Establishments",Construction,1705,X,916,X,1496,X,1228,X,1069,X,1575,X
Business,"Total Establishments",Manufacturing,599,X,485,X,817,X,420,X,435,X,517,X
Business,"Total Establishments","Wholesale trade",1265,X,721,X,1118,X,705,X,642,X,922,X
Business,"Total Establishments","Retail trade",2946,X,2568,X,2987,X,2500,X,2695,X,2827,X
Business,"Total Establishments","Transportation and warehousing",866,X,676,X,803,X,563,X,495,X,518,X
Business,"Total Establishments",Information,281,X,224,X,229,X,213,X,231,X,239,X
Business,"Total Establishments","Finance and insurance",1514,X,906,X,1312,X,1112,X,1187,X,1388,X
Business,"Total Establishments","Real estate and rental and leasing",1042,X,670,X,1053,X,658,X,643,X,868,X
Business,"Total Establishments","Professional, scientific, and technical services",2637,X,1920,X,2491,X,1364,X,1456,X,2322,X
Business,"Total Establishments","Management of companies and enterprises",161,X,130,X,123,X,71,X,70,X,108,X
Business,"Total Establishments","Administrative and support and waste management and remediation services",1097,X,727,X,791,X,583,X,567,X,878,X
Business,"Total Establishments","Educational services",248,X,256,X,190,X,149,X,159,X,254,X
Business,"Total Establishments","Health care and social assistance",2437,X,1515,X,2291,X,1794,X,2164,X,1932,X
Business,"Total Establishments","Arts, entertainment, and recreation",311,X,247,X,257,X,177,X,182,X,252,X
Business,"Total Establishments","Accommodation and food services",1910,X,1970,X,1584,X,1190,X,1064,X,1670,X
Business,"Total Establishments","Other services (except public administration)",1643,X,1598,X,1591,X,1507,X,1628,X,1744,X
Business,"Total Establishments","Industries not classified",31,X,20,X,24,X,32,X,24,X,24,X
"Source: 2015 American Community Survey 1-Year Estimates"
