Topic,Subject,Title,"District 01 Value","District 01 MOE","District 02 Value","District 02 MOE","District 03 Value","District 03 MOE"
Socioeconomic,"Percentage of Families and People whose Income in the Past 12 Months is Below the Poverty Level","65 years and over",7.1,(+/-1.2),7,(+/-1.4),7.9,(+/-1.0)
Socioeconomic,"Percentage of Families and People whose Income in the Past 12 Months is Below the Poverty Level","People in families",8.8,(+/-1.1),11,(+/-1.3),9.2,(+/-0.9)
Socioeconomic,"Percentage of Families and People whose Income in the Past 12 Months is Below the Poverty Level","Unrelated individuals 15 years and over",25.2,(+/-2.1),20.7,(+/-1.8),24.8,(+/-1.8)
Education,"School Enrollment","Population 3 years and over enrolled in school",180035,"(+/-4,477)",179102,"(+/-3,670)",146690,"(+/-3,645)"
Education,"School Enrollment","Nursery school, preschool",10698,"(+/-1,299)",12242,"(+/-1,543)",10678,"(+/-1,409)"
Education,"School Enrollment",Kindergarten,7960,"(+/-1,370)",10359,"(+/-1,348)",8012,(+/-925)
Education,"School Enrollment","Elementary school (grades 1-8)",68586,"(+/-2,568)",73058,"(+/-2,284)",64560,"(+/-1,957)"
Education,"School Enrollment","High school (grades 9-12)",34668,"(+/-1,995)",36861,"(+/-1,580)",32738,"(+/-1,760)"
Education,"School Enrollment","College or graduate school",58123,"(+/-3,606)",46582,"(+/-2,876)",30702,"(+/-2,583)"
Education,"Educational Attainment","Population 25 years and over",404616,"(+/-3,508)",423227,"(+/-2,008)",404740,"(+/-2,668)"
Education,"Educational Attainment","Less than 9th grade",13611,"(+/-1,831)",16267,"(+/-1,872)",17980,"(+/-2,153)"
Education,"Educational Attainment","9th to 12th grade, no diploma",19773,"(+/-2,349)",20136,"(+/-2,174)",22859,"(+/-1,778)"
Education,"Educational Attainment","High school graduate (includes equivalency)",109488,"(+/-4,675)",90231,"(+/-3,720)",132149,"(+/-3,752)"
Education,"Educational Attainment","Some college, no degree",93029,"(+/-4,062)",99720,"(+/-3,467)",99997,"(+/-3,054)"
Education,"Educational Attainment","Associate's degree",47717,"(+/-3,190)",34095,"(+/-2,353)",43243,"(+/-2,303)"
Education,"Educational Attainment","Bachelor's degree",78095,"(+/-3,755)",106001,"(+/-3,872)",60460,"(+/-2,823)"
Education,"Educational Attainment","Graduate or professional degree",42903,"(+/-2,912)",56777,"(+/-2,836)",28052,"(+/-2,119)"
Education,"Educational Attainment","Percent high school graduate or higher",91.7,(+/-0.7),91.4,(+/-0.6),89.9,(+/-0.7)
Education,"Educational Attainment","Percent bachelor's degree or higher",29.9,(+/-1.2),38.5,(+/-1.0),21.9,(+/-0.9)
Topic,Subject,Title,"District 01 Value","District 01 Flag","District 02 Value","District 02 Flag","District 03 Value","District 03 Flag"
Business,"Paid employees for pay period including March 12","Total for all sectors",237617,G,346475,G,208714,G
Business,"Paid employees for pay period including March 12","Agriculture, forestry, fishing and hunting",114,H,38,J,1045,G
Business,"Paid employees for pay period including March 12","Mining, quarrying, and oil and gas extraction",536,G,81,J,526,G
Business,"Paid employees for pay period including March 12",Utilities,174,J,281,J,502,J
Business,"Paid employees for pay period including March 12",Construction,14300,G,18963,G,11497,G
Business,"Paid employees for pay period including March 12",Manufacturing,33121,G,22647,G,37381,G
Business,"Paid employees for pay period including March 12","Wholesale trade",9994,G,17519,G,14086,G
Business,"Paid employees for pay period including March 12","Retail trade",34615,G,43229,G,34982,G
Business,"Paid employees for pay period including March 12","Transportation and warehousing",7652,G,11942,G,10008,G
Business,"Paid employees for pay period including March 12",Information,6271,G,11414,H,3106,G
Business,"Paid employees for pay period including March 12","Finance and insurance",14702,G,37459,H,9544,G
Business,"Paid employees for pay period including March 12","Real estate and rental and leasing",2898,G,6426,G,1409,G
Business,"Paid employees for pay period including March 12","Professional, scientific, and technical services",13013,G,21670,G,5194,G
Business,"Paid employees for pay period including March 12","Management of companies and enterprises",3055,H,14805,G,2408,H
Business,"Paid employees for pay period including March 12","Administrative and support and waste management and remediation services",10746,G,28573,G,5562,G
Business,"Paid employees for pay period including March 12","Educational services",6763,G,9224,H,2796,G
Business,"Paid employees for pay period including March 12","Health care and social assistance",39260,G,50260,G,35569,G
Business,"Paid employees for pay period including March 12","Arts, entertainment, and recreation",4302,G,7103,G,2761,G
Business,"Paid employees for pay period including March 12","Accommodation and food services",23993,G,30497,G,19832,G
Business,"Paid employees for pay period including March 12","Other services (except public administration)",12078,G,14324,G,10411,G
Business,"Paid employees for pay period including March 12","Industries not classified",30,J,20,J,95,J
Business,"Annual payroll ($1,000)","Total for all sectors",9222000,G,17027609,G,7216425,G
Business,"Annual payroll ($1,000)","Agriculture, forestry, fishing and hunting",7982,H,1582,H,51191,G
Business,"Annual payroll ($1,000)","Mining, quarrying, and oil and gas extraction",32093,G,5754,H,28127,G
Business,"Annual payroll ($1,000)",Utilities,16314,G,53797,J,37365,H
Business,"Annual payroll ($1,000)",Construction,685911,G,1023228,G,487822,G
Business,"Annual payroll ($1,000)",Manufacturing,1662443,G,1050013,G,1585963,G
Business,"Annual payroll ($1,000)","Wholesale trade",516594,G,1271069,G,654607,G
Business,"Annual payroll ($1,000)","Retail trade",868630,G,1135983,G,830236,G
Business,"Annual payroll ($1,000)","Transportation and warehousing",349367,G,564793,G,426989,G
Business,"Annual payroll ($1,000)",Information,351851,G,772090,H,114197,G
Business,"Annual payroll ($1,000)","Finance and insurance",867287,G,3046569,H,442826,G
Business,"Annual payroll ($1,000)","Real estate and rental and leasing",99620,G,300168,G,47469,G
Business,"Annual payroll ($1,000)","Professional, scientific, and technical services",761997,G,1432613,G,202526,G
Business,"Annual payroll ($1,000)","Management of companies and enterprises",205436,H,1354815,G,180787,H
Business,"Annual payroll ($1,000)","Administrative and support and waste management and remediation services",298207,G,1075543,G,152840,G
Business,"Annual payroll ($1,000)","Educational services",160441,G,280991,H,60320,G
Business,"Annual payroll ($1,000)","Health care and social assistance",1629849,G,2620508,H,1374270,G
Business,"Annual payroll ($1,000)","Arts, entertainment, and recreation",62807,G,124423,G,41640,G
Business,"Annual payroll ($1,000)","Accommodation and food services",324797,G,490532,G,258296,G
Business,"Annual payroll ($1,000)","Other services (except public administration)",319725,G,422729,G,237814,G
Business,"Annual payroll ($1,000)","Industries not classified",649,H,409,G,1140,G
Business,"Total Establishments","Total for all sectors",16706,X,17772,X,18930,X
Business,"Total Establishments","Agriculture, forestry, fishing and hunting",44,X,11,X,137,X
Business,"Total Establishments","Mining, quarrying, and oil and gas extraction",25,X,9,X,90,X
Business,"Total Establishments",Utilities,16,X,15,X,89,X
Business,"Total Establishments",Construction,2111,X,1975,X,2156,X
Business,"Total Establishments",Manufacturing,597,X,451,X,737,X
Business,"Total Establishments","Wholesale trade",801,X,1047,X,1296,X
Business,"Total Establishments","Retail trade",2205,X,2052,X,3093,X
Business,"Total Establishments","Transportation and warehousing",707,X,523,X,1160,X
Business,"Total Establishments",Information,236,X,311,X,310,X
Business,"Total Establishments","Finance and insurance",1282,X,1448,X,1488,X
Business,"Total Establishments","Real estate and rental and leasing",676,X,909,X,544,X
Business,"Total Establishments","Professional, scientific, and technical services",1491,X,1981,X,1106,X
Business,"Total Establishments","Management of companies and enterprises",108,X,193,X,67,X
Business,"Total Establishments","Administrative and support and waste management and remediation services",871,X,1137,X,614,X
Business,"Total Establishments","Educational services",190,X,225,X,146,X
Business,"Total Establishments","Health care and social assistance",1752,X,2021,X,1751,X
Business,"Total Establishments","Arts, entertainment, and recreation",269,X,294,X,317,X
Business,"Total Establishments","Accommodation and food services",1389,X,1485,X,1551,X
Business,"Total Establishments","Other services (except public administration)",1903,X,1654,X,2223,X
Business,"Total Establishments","Industries not classified",33,X,31,X,55,X
"Source: 2015 American Community Survey 1-Year Estimates"
"Estimates in the People, Workers, Housing, Socioeconomic, and Education tabs are from the American Community Survey (ACS). The ACS is an annual household survey developed by the U.S. Census Bureau to replace the long form of the decennial census program. Each year, the ACS samples about 3.5 million household addresses to produce nearly 11 billion estimates covering demographic, social, economic, and housing characteristics."
"Except where noted, 'race' refers to people reporting only one race.  'Hispanic' refers to an ethnic category;  Hispanics may be of any race."
"An '**' entry in the margin of error column indicates that either no sample observations or too few sample observations were available to compute a standard error and thus the margin of error. A statistical test is not appropriate."
"An '-' entry in the estimate column indicates that either no sample observations or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest interval or upper interval of an open-ended distribution."
"An '-' following a median estimate means the median falls in the lowest interval of an open-ended distribution."
"An '+' following a median estimate means the median falls in the upper interval of an open-ended distribution."
"An '***' entry in the margin of error column indicates that the median falls in the lowest interval or upper interval of an open-ended distribution. A statistical test is not appropriate."
"An '*****' entry in the margin of error column indicates that the estimate is controlled. A statistical test for sampling variability is not appropriate."
"An 'N' entry in the estimate and margin of error columns indicates that data for this geographic area cannot be displayed because the number of sample cases is too small."
"An '(X)' means that the estimate is not applicable or not available"
"If calculating a percentage, use the total population line within the section as the denominator. Do not use total population lines from other sections since these may have different universes."
"Source: 2015 County Business Patterns for Congressional Districts"
"1. CBP data includes the number of establishments, employment during the week of March 12, and annual payroll. CBP basic data are extracted from the Business Register (BR), a database of all known single and multi-establishment employer companies maintained and updated by the U.S. Census Bureau. Primary causes of differences between CBP employment estimates and ACS estimates: CBP does not cover the self-employed, public employment, and most agricultural employment; CBP estimates are not based on a sample survey; they represent business location as opposed to workers' residence in the district; use the week of March 12 as a reference period; and use a business source to determine industry."
"2. Industries not classified - Industry could not be determined."
"3. Statewide - CBP data includes employers without a fixed location within a state (or of unknown county location), these are included under a statewide classification. Statewide cases are withheld from the tabulation for this My Congressional District tool. This incomplete detail causes only a slight understatement of a district's total estimates. Statewide cases do not apply to at-large districts."
"4. If a sector does not appear in a district, CBP did not identify any establishments in the district."
"5. Disclosure and Quality Indicator Flag Definitions:"
"D Withheld to avoid disclosing data for individual companies; data are included in higher level totals"
"G Cell value changed by less than 2 percent by the application of noise"
"H Cell value changed by at least 2 percent but less than 5 percent by the application of noise"
"S Cell value withheld because it did not meet publication standards"
"N Not available or not comparable"
"X Not applicable"
"a 0 to 19 employees"
"b 20 to 99 employees"
"c 100 to 249 employees"
"e 250 to 499 employees"
"f 500 to 999 employees"
"g 1,000 to 2,499 employees"
"h 2,500 to 4,999 employees"
"i 5,000 to 9,999 employees"
"j 10,000 to 24,999 employees"
"l 50,000 to 99,999 employees"
"m 100,000 employees or more"
