Topic,Subject,Title,"District 01 Value","District 01 MOE","District 02 Value","District 02 MOE","District 03 Value","District 03 MOE","District 04 Value","District 04 MOE","District 05 Value","District 05 MOE","District 06 Value","District 06 MOE","District 07 Value","District 07 MOE"
Workers,"Class of Worker","Self-employed in own not incorporated business workers",19445,"(+/-2,639)",16546,"(+/-1,683)",16884,"(+/-2,047)",17484,"(+/-2,104)",13962,"(+/-1,881)",13566,"(+/-1,749)",18682,"(+/-2,668)"
Workers,"Class of Worker","Unpaid family workers",510,(+/-286),419,(+/-352),510,(+/-358),757,(+/-504),296,(+/-238),388,(+/-295),279,(+/-208)
Housing,"Housing Occupancy","Total housing units",344619,"(+/-3,522)",296879,"(+/-3,267)",304864,"(+/-2,253)",295914,"(+/-2,357)",300165,"(+/-2,167)",292572,"(+/-4,685)",375137,"(+/-1,768)"
Housing,"Housing Occupancy","Occupied housing units",283863,"(+/-4,613)",263691,"(+/-3,892)",257805,"(+/-4,389)",270447,"(+/-3,771)",264794,"(+/-4,089)",240849,"(+/-4,687)",276319,"(+/-4,067)"
Housing,"Housing Occupancy","Vacant housing units",60756,"(+/-3,940)",33188,"(+/-3,470)",47059,"(+/-4,036)",25467,"(+/-2,993)",35371,"(+/-3,668)",51723,"(+/-3,793)",98818,"(+/-4,202)"
Housing,"Housing Occupancy","Homeowner vacancy rate",1.7,(+/-0.6),2.4,(+/-0.7),2.3,(+/-0.7),1.9,(+/-0.6),2.1,(+/-0.7),1.4,(+/-0.5),1.9,(+/-0.6)
Housing,"Housing Occupancy","Rental vacancy rate",10.3,(+/-2.0),7,(+/-1.8),5.4,(+/-1.6),5.3,(+/-1.4),4.8,(+/-1.5),10.8,(+/-1.6),19.4,(+/-2.1)
Housing,"Housing Tenure","Occupied housing units",283863,"(+/-4,613)",263691,"(+/-3,892)",257805,"(+/-4,389)",270447,"(+/-3,771)",264794,"(+/-4,089)",240849,"(+/-4,687)",276319,"(+/-4,067)"
Housing,"Housing Tenure",Owner-occupied,196511,"(+/-5,045)",188654,"(+/-4,735)",182420,"(+/-4,319)",176736,"(+/-4,180)",191745,"(+/-4,360)",138358,"(+/-3,830)",191203,"(+/-4,465)"
Housing,"Housing Tenure",Renter-occupied,87352,"(+/-4,831)",75037,"(+/-4,082)",75385,"(+/-3,979)",93711,"(+/-3,899)",73049,"(+/-4,066)",102491,"(+/-4,713)",85116,"(+/-4,113)"
Housing,"Housing Tenure","Average household size of owner-occupied unit",2.59,(+/-0.04),2.59,(+/-0.05),2.6,(+/-0.05),2.61,(+/-0.05),2.59,(+/-0.05),2.6,(+/-0.06),2.45,(+/-0.04)
Housing,"Housing Tenure","Average household size of renter-occupied unit",2.67,(+/-0.10),2.58,(+/-0.10),2.45,(+/-0.11),2.46,(+/-0.08),2.51,(+/-0.09),2.52,(+/-0.08),2.56,(+/-0.08)
Housing,"Year Householder Moved into Unit","Occupied housing units",283863,"(+/-4,613)",263691,"(+/-3,892)",257805,"(+/-4,389)",270447,"(+/-3,771)",264794,"(+/-4,089)",240849,"(+/-4,687)",276319,"(+/-4,067)"
Housing,"Year Householder Moved into Unit","Moved in 2015 or later",28298,"(+/-2,780)",17952,"(+/-1,974)",17278,"(+/-1,881)",22619,"(+/-2,512)",14650,"(+/-1,937)",18443,"(+/-2,030)",20197,"(+/-2,592)"
Housing,"Year Householder Moved into Unit","Moved in 2010 to 2014",109794,"(+/-4,808)",86831,"(+/-4,304)",77696,"(+/-4,404)",98310,"(+/-3,943)",86377,"(+/-4,202)",88182,"(+/-4,696)",90178,"(+/-4,160)"
Housing,"Year Householder Moved into Unit","Moved in 2000 to 2009",83341,"(+/-4,237)",85567,"(+/-4,131)",73405,"(+/-4,584)",77692,"(+/-4,245)",79398,"(+/-3,642)",54281,"(+/-2,897)",81954,"(+/-3,556)"
Housing,"Year Householder Moved into Unit","Moved in 1990 to 1999",34388,"(+/-2,846)",36638,"(+/-2,621)",39760,"(+/-3,015)",32907,"(+/-2,525)",40302,"(+/-3,274)",35050,"(+/-2,679)",40633,"(+/-2,800)"
Housing,"Year Householder Moved into Unit","Moved in 1980 to 1989",14930,"(+/-1,479)",17767,"(+/-2,001)",20869,"(+/-2,097)",15446,"(+/-1,533)",18662,"(+/-1,654)",18823,"(+/-2,085)",19827,"(+/-1,954)"
Housing,"Year Householder Moved into Unit","Moved in 1979 and earlier",13112,"(+/-1,754)",18936,"(+/-1,747)",28797,"(+/-2,241)",23473,"(+/-1,723)",25405,"(+/-1,856)",26070,"(+/-1,836)",23530,"(+/-2,032)"
Housing,Value,"Owner-occupied units",196511,"(+/-5,045)",188654,"(+/-4,735)",182420,"(+/-4,319)",176736,"(+/-4,180)",191745,"(+/-4,360)",138358,"(+/-3,830)",191203,"(+/-4,465)"
Housing,Value,"Less than $50,000",7992,"(+/-1,204)",16342,"(+/-2,041)",26813,"(+/-2,324)",13318,"(+/-1,788)",25193,"(+/-2,371)",26987,"(+/-2,568)",29575,"(+/-2,386)"
Housing,Value,"$50,000 to $99,999",12919,"(+/-1,688)",34807,"(+/-2,743)",41446,"(+/-2,749)",32616,"(+/-2,403)",40125,"(+/-2,833)",38733,"(+/-2,779)",43996,"(+/-2,797)"
Housing,Value,"$100,000 to $149,999",27003,"(+/-2,505)",40296,"(+/-3,090)",37815,"(+/-2,855)",42419,"(+/-3,128)",40596,"(+/-2,574)",29676,"(+/-2,913)",31129,"(+/-2,527)"
Housing,Value,"$150,000 to $199,999",32368,"(+/-2,364)",35456,"(+/-2,712)",29490,"(+/-2,240)",34268,"(+/-2,115)",29296,"(+/-2,566)",15328,"(+/-1,538)",31666,"(+/-2,888)"
Housing,Value,"$200,000 to $299,999",43709,"(+/-3,032)",31185,"(+/-2,540)",25159,"(+/-2,164)",28571,"(+/-2,362)",29761,"(+/-2,902)",13765,"(+/-1,521)",31477,"(+/-2,408)"
Housing,Value,"$300,000 to $499,999",41019,"(+/-3,065)",21162,"(+/-2,324)",14491,"(+/-1,749)",16724,"(+/-1,485)",19889,"(+/-1,927)",8304,"(+/-1,521)",16126,"(+/-1,771)"
Housing,Value,"$500,000 to $999,999",24746,"(+/-2,288)",8244,"(+/-1,029)",6118,"(+/-1,192)",7911,"(+/-1,206)",5562,(+/-986),4392,(+/-997),6232,"(+/-1,038)"
Housing,Value,"$1,000,000 or more",6755,"(+/-1,147)",1162,(+/-387),1088,(+/-359),909,(+/-377),1323,(+/-533),1173,(+/-410),1002,(+/-420)
Housing,Value,"Median (dollars)",236500,"(+/-6,422)",153500,"(+/-3,940)",130400,"(+/-3,564)",150000,"(+/-3,431)",135300,"(+/-3,930)",105200,"(+/-3,936)",136100,"(+/-4,483)"
Housing,"Mortgage Status","Owner-occupied units",196511,"(+/-5,045)",188654,"(+/-4,735)",182420,"(+/-4,319)",176736,"(+/-4,180)",191745,"(+/-4,360)",138358,"(+/-3,830)",191203,"(+/-4,465)"
Housing,"Mortgage Status","Housing units with a mortgage",133073,"(+/-5,041)",117756,"(+/-4,181)",99220,"(+/-4,345)",111440,"(+/-4,035)",111187,"(+/-4,234)",67867,"(+/-3,319)",102309,"(+/-4,029)"
Housing,"Mortgage Status","Housing units without a mortgage",63438,"(+/-3,112)",70898,"(+/-3,332)",83200,"(+/-3,270)",65296,"(+/-2,840)",80558,"(+/-4,003)",70491,"(+/-3,299)",88894,"(+/-3,879)"
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units with a mortgage",133073,"(+/-5,041)",117756,"(+/-4,181)",99220,"(+/-4,345)",111440,"(+/-4,035)",111187,"(+/-4,234)",67867,"(+/-3,319)",102309,"(+/-4,029)"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $500",925,(+/-453),2230,(+/-588),4379,"(+/-1,092)",2688,(+/-734),3209,(+/-903),1540,(+/-523),3366,(+/-813)
Housing,"Selected Monthly Owner Costs(SMOC)","$500 to $999",22377,"(+/-2,872)",35694,"(+/-3,054)",42659,"(+/-3,191)",39612,"(+/-3,218)",40145,"(+/-2,929)",28289,"(+/-2,669)",40466,"(+/-2,945)"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,000 to $1,499",45476,"(+/-3,077)",44913,"(+/-2,822)",32497,"(+/-2,694)",41443,"(+/-2,815)",38824,"(+/-2,619)",24223,"(+/-2,528)",34209,"(+/-2,898)"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,500 to $1,999",30849,"(+/-2,897)",20852,"(+/-1,980)",11982,"(+/-1,565)",14726,"(+/-1,508)",17279,"(+/-1,998)",8001,"(+/-1,264)",14219,"(+/-1,748)"
Housing,"Selected Monthly Owner Costs(SMOC)","$2,000 to $2,499",13123,"(+/-1,869)",7826,"(+/-1,289)",4491,(+/-867),7740,"(+/-1,168)",7645,"(+/-1,255)",2723,(+/-569),5503,"(+/-1,008)"
Housing,"Selected Monthly Owner Costs(SMOC)","$2,500 to $2,999",9455,"(+/-1,966)",2871,(+/-795),2115,(+/-686),2437,(+/-633),2367,(+/-799),871,(+/-329),2085,(+/-603)
Housing,"Selected Monthly Owner Costs(SMOC)","$3,000 or more",10868,"(+/-1,541)",3370,(+/-754),1097,(+/-399),2794,(+/-598),1718,(+/-613),2220,(+/-663),2461,(+/-653)
Housing,"Selected Monthly Owner Costs(SMOC)","Median (dollars)",1474,(+/-36),1193,(+/-24),1031,(+/-26),1137,(+/-23),1129,(+/-23),1071,(+/-34),1090,(+/-27)
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units without a mortgage",63438,"(+/-3,112)",70898,"(+/-3,332)",83200,"(+/-3,270)",65296,"(+/-2,840)",80558,"(+/-4,003)",70491,"(+/-3,299)",88894,"(+/-3,879)"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $250",5441,"(+/-1,256)",12406,"(+/-1,681)",23656,"(+/-2,301)",16349,"(+/-1,546)",22381,"(+/-2,304)",17765,"(+/-1,806)",19511,"(+/-2,009)"
Housing,"Selected Monthly Owner Costs(SMOC)","$250 to $399",14820,"(+/-1,930)",26235,"(+/-2,366)",33298,"(+/-2,681)",25884,"(+/-2,139)",31154,"(+/-2,546)",23413,"(+/-1,831)",35160,"(+/-2,462)"
Housing,"Selected Monthly Owner Costs(SMOC)","$400 to $599",21337,"(+/-1,988)",22247,"(+/-2,327)",19125,"(+/-1,860)",15888,"(+/-1,694)",19989,"(+/-2,191)",18955,"(+/-2,013)",23583,"(+/-2,279)"
Housing,"Selected Monthly Owner Costs(SMOC)","$600 to $799",10046,"(+/-1,311)",6077,(+/-946),4950,"(+/-1,028)",4657,(+/-925),5060,"(+/-1,102)",7117,"(+/-1,235)",6870,"(+/-1,104)"
Housing,"Selected Monthly Owner Costs(SMOC)","$800 to $999",4785,"(+/-1,040)",2197,(+/-620),1456,(+/-521),1299,(+/-412),1158,(+/-455),2114,(+/-724),2251,(+/-566)
Housing,"Selected Monthly Owner Costs(SMOC)","$1,000 or more",7009,"(+/-1,214)",1736,(+/-499),715,(+/-352),1219,(+/-447),816,(+/-511),1127,(+/-453),1519,(+/-422)
Housing,"Selected Monthly Owner Costs(SMOC)","Median (dollars)",490,(+/-16),385,(+/-9),323,(+/-8),337,(+/-7),335,(+/-10),363,(+/-12),350,(+/-9)
Housing,"Gross Rent","Occupied units paying rent",83491,"(+/-4,726)",69428,"(+/-4,129)",65676,"(+/-3,922)",87275,"(+/-3,724)",65527,"(+/-3,921)",91393,"(+/-4,421)",75119,"(+/-3,702)"
Housing,"Gross Rent","Less than $500",4826,"(+/-1,260)",6271,"(+/-1,337)",13411,"(+/-2,030)",12442,"(+/-2,008)",8818,"(+/-1,436)",15703,"(+/-1,696)",11442,"(+/-1,750)"
Housing,"Gross Rent","$500 to $999",29355,"(+/-2,961)",39770,"(+/-2,896)",39794,"(+/-3,236)",53497,"(+/-2,945)",42615,"(+/-3,168)",53314,"(+/-3,395)",46747,"(+/-3,323)"
Housing,"Gross Rent","$1,000 to $1,499",32665,"(+/-3,256)",16692,"(+/-2,455)",9282,"(+/-2,028)",16873,"(+/-1,959)",10310,"(+/-1,865)",16877,"(+/-2,143)",14044,"(+/-2,174)"
Housing,"Gross Rent","$1,500 to $1,999",10420,"(+/-1,628)",4878,"(+/-1,340)",1530,(+/-727),2995,(+/-842),2090,(+/-942),3950,(+/-970),1977,(+/-666)
Housing,"Gross Rent","$2,000 to $2,499",3392,(+/-930),1431,(+/-730),1157,(+/-614),1053,(+/-853),907,(+/-520),767,(+/-313),464,(+/-409)
Housing,"Gross Rent","$2,500 to $2,999",1132,(+/-556),155,(+/-138),105,(+/-169),267,(+/-248),206,(+/-190),282,(+/-253),160,(+/-254)
Housing,"Gross Rent","$3,000 or more",1701,(+/-682),231,(+/-198),397,(+/-331),148,(+/-167),581,(+/-508),500,(+/-366),285,(+/-275)
Housing,"Gross Rent","Median (dollars)",1092,(+/-27),864,(+/-27),698,(+/-29),785,(+/-20),780,(+/-16),787,(+/-16),769,(+/-16)
Housing,"Gross Rent","No rent paid",3861,(+/-968),5609,"(+/-1,282)",9709,"(+/-1,427)",6436,"(+/-1,137)",7522,"(+/-1,621)",11098,"(+/-1,560)",9997,"(+/-1,853)"
Socioeconomic,"Income and Benefits (In 2015 inflation-adjusted dollars)","Total households",283863,"(+/-4,613)",263691,"(+/-3,892)",257805,"(+/-4,389)",270447,"(+/-3,771)",264794,"(+/-4,089)",240849,"(+/-4,687)",276319,"(+/-4,067)"
Socioeconomic,"Income and Benefits (In 2015 inflation-adjusted dollars)","Less than $10,000",16289,"(+/-2,653)",17928,"(+/-2,273)",23414,"(+/-2,889)",19329,"(+/-2,121)",21310,"(+/-2,298)",29772,"(+/-2,190)",24277,"(+/-2,218)"
Socioeconomic,"Income and Benefits (In 2015 inflation-adjusted dollars)","$10,000 to $14,999",9855,"(+/-1,559)",11845,"(+/-1,898)",17137,"(+/-2,225)",14818,"(+/-1,956)",19149,"(+/-2,101)",22903,"(+/-2,530)",20303,"(+/-1,910)"
Socioeconomic,"Income and Benefits (In 2015 inflation-adjusted dollars)","$15,000 to $24,999",23429,"(+/-2,749)",25774,"(+/-2,744)",33546,"(+/-2,941)",32835,"(+/-2,571)",29974,"(+/-2,973)",35511,"(+/-2,951)",39674,"(+/-3,266)"
Socioeconomic,"Income and Benefits (In 2015 inflation-adjusted dollars)","$25,000 to $34,999",23157,"(+/-2,368)",25424,"(+/-2,514)",32067,"(+/-3,180)",30034,"(+/-2,769)",30013,"(+/-2,701)",33429,"(+/-2,900)",34088,"(+/-2,881)"
Socioeconomic,"Income and Benefits (In 2015 inflation-adjusted dollars)","$35,000 to $49,999",39107,"(+/-3,359)",36138,"(+/-3,163)",39141,"(+/-2,832)",38153,"(+/-3,251)",41092,"(+/-2,845)",36549,"(+/-3,251)",40791,"(+/-3,432)"
Socioeconomic,"Income and Benefits (In 2015 inflation-adjusted dollars)","$50,000 to $74,999",56962,"(+/-3,259)",51756,"(+/-3,144)",45959,"(+/-2,769)",51776,"(+/-3,512)",49585,"(+/-3,018)",39763,"(+/-2,573)",51859,"(+/-3,661)"
Socioeconomic,"Income and Benefits (In 2015 inflation-adjusted dollars)","$75,000 to $99,999",39158,"(+/-3,330)",35243,"(+/-2,805)",29843,"(+/-2,456)",32341,"(+/-2,501)",31046,"(+/-2,856)",20374,"(+/-1,929)",28528,"(+/-2,536)"
Socioeconomic,"Income and Benefits (In 2015 inflation-adjusted dollars)","$100,000 to $149,999",41313,"(+/-3,049)",35447,"(+/-2,715)",23499,"(+/-2,309)",31637,"(+/-2,472)",27353,"(+/-2,101)",15958,"(+/-1,446)",24402,"(+/-2,104)"
Socioeconomic,"Income and Benefits (In 2015 inflation-adjusted dollars)","$150,000 to $199,000",16933,"(+/-2,354)",12379,"(+/-1,402)",8038,"(+/-1,292)",10082,"(+/-1,257)",8715,"(+/-1,182)",3350,(+/-865),6146,"(+/-1,081)"
Socioeconomic,"Income and Benefits (In 2015 inflation-adjusted dollars)","$200,000 or more",17660,"(+/-2,395)",11757,"(+/-1,411)",5161,(+/-997),9442,"(+/-1,596)",6557,"(+/-1,070)",3240,(+/-654),6251,"(+/-1,070)"
Socioeconomic,"Income and Benefits (In 2015 inflation-adjusted dollars)","Median household income (dollars)",61907,"(+/-1,377)",56454,"(+/-1,680)",43034,"(+/-1,673)",50015,"(+/-1,421)",45802,"(+/-1,305)",34566,"(+/-1,202)",41473,"(+/-1,142)"
Socioeconomic,"Income and Benefits (In 2015 inflation-adjusted dollars)","Mean household income (dollars)",84296,"(+/-3,014)",73492,"(+/-1,832)",57440,"(+/-1,898)",66487,"(+/-2,174)",60549,"(+/-1,812)",47522,"(+/-1,242)",57813,"(+/-1,982)"
Socioeconomic,"Health Insurance Coverage","Civilian noninstitutionalized population",739224,"(+/-8,059)",681803,"(+/-8,138)",670235,"(+/-7,330)",702577,"(+/-6,891)",683195,"(+/-4,647)",634708,"(+/-10,850)",689559,"(+/-3,754)"
Socioeconomic,"Health Insurance Coverage","With health insurance coverage",668642,"(+/-8,538)",621929,"(+/-9,841)",594369,"(+/-8,295)",619397,"(+/-7,398)",619674,"(+/-6,775)",551778,"(+/-10,590)",602284,"(+/-6,756)"
Socioeconomic,"Health Insurance Coverage","With private health insurance",547757,"(+/-11,821)",486640,"(+/-11,553)",431509,"(+/-12,089)",473477,"(+/-8,912)",462184,"(+/-9,403)",351251,"(+/-9,311)",414124,"(+/-8,886)"
Socioeconomic,"Health Insurance Coverage","With public coverage",232022,"(+/-7,706)",226875,"(+/-9,288)",252238,"(+/-9,021)",226200,"(+/-8,308)",249568,"(+/-6,877)",272545,"(+/-8,838)",291042,"(+/-8,056)"
Socioeconomic,"Health Insurance Coverage","No health insurance coverage",70582,"(+/-4,986)",59874,"(+/-5,988)",75866,"(+/-5,557)",83180,"(+/-5,655)",63521,"(+/-5,260)",82930,"(+/-5,670)",87275,"(+/-5,795)"
Socioeconomic,"Health Insurance Coverage","Civilian noninstitutionalized population under 18 years",166008,"(+/-3,776)",160266,"(+/-4,130)",146213,"(+/-2,971)",166385,"(+/-3,379)",159901,"(+/-2,648)",142171,"(+/-5,946)",145663,"(+/-2,498)"
Socioeconomic,"Health Insurance Coverage","No health insurance coverage",6876,"(+/-1,637)",4889,"(+/-2,039)",8674,"(+/-2,242)",7016,"(+/-1,888)",5297,"(+/-1,797)",5344,"(+/-1,640)",6084,"(+/-1,971)"
Socioeconomic,"Percentage of Families and People whose Income in the Past 12 Months is Below the Poverty Level","All families",7.4,(+/-1.0),10.2,(+/-1.2),12.7,(+/-1.4),10.6,(+/-1.2),11.1,(+/-1.3),20,(+/-1.5),14.6,(+/-1.5)
Socioeconomic,"Percentage of Families and People whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 18 years",13.9,(+/-2.0),16.7,(+/-2.3),21.7,(+/-2.9),15.5,(+/-2.3),18.5,(+/-2.6),33.2,(+/-3.2),25.3,(+/-2.6)
Socioeconomic,"Percentage of Families and People whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 5 years only",14.1,(+/-5.6),14.7,(+/-5.1),27.4,(+/-6.0),12,(+/-3.9),17.7,(+/-6.7),31.7,(+/-6.5),25.8,(+/-5.9)
Socioeconomic,"Percentage of Families and People whose Income in the Past 12 Months is Below the Poverty Level","Married couple families",3.4,(+/-0.8),4.6,(+/-1.0),6.5,(+/-1.1),4.3,(+/-0.8),5.5,(+/-1.1),10,(+/-1.4),7.9,(+/-1.2)
Socioeconomic,"Percentage of Families and People whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 18 years",6,(+/-1.7),7.9,(+/-2.2),8.9,(+/-2.3),5.3,(+/-1.4),8.4,(+/-2.5),18,(+/-3.3),11.2,(+/-2.4)
Socioeconomic,"Percentage of Families and People whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 5 years only",4.3,(+/-4.5),4.7,(+/-3.3),7.6,(+/-4.2),5.4,(+/-3.6),7.2,(+/-7.6),6.9,(+/-5.5),8.4,(+/-5.0)
Socioeconomic,"Percentage of Families and People whose Income in the Past 12 Months is Below the Poverty Level","Families with female householder, no husband present",24.1,(+/-4.3),29,(+/-4.0),34.6,(+/-5.1),30.4,(+/-4.4),27.4,(+/-3.9),36,(+/-4.0),34.4,(+/-4.0)
Socioeconomic,"Percentage of Families and People whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 18 years",34.9,(+/-6.2),35.7,(+/-5.8),49,(+/-7.1),37.5,(+/-6.0),37.5,(+/-5.7),46.6,(+/-5.7),48,(+/-5.0)
Socioeconomic,"Percentage of Families and People whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 5 years only",54.5,(+/-17.3),23.7,(+/-13.9),65.7,(+/-13.0),39.1,(+/-14.1),35.4,(+/-14.0),51.7,(+/-9.1),57.2,(+/-12.2)
Socioeconomic,"Percentage of Families and People whose Income in the Past 12 Months is Below the Poverty Level","All people",11.1,(+/-1.1),13.9,(+/-1.2),18,(+/-1.5),14.2,(+/-1.1),16.4,(+/-1.3),25.2,(+/-1.4),19.1,(+/-1.4)
Socioeconomic,"Percentage of Families and People whose Income in the Past 12 Months is Below the Poverty Level","Under 18 years",15.2,(+/-2.0),20.2,(+/-2.9),24.1,(+/-3.1),19.1,(+/-2.4),23.3,(+/-2.5),39.2,(+/-3.1),29.8,(+/-3.1)
Socioeconomic,"Percentage of Families and People whose Income in the Past 12 Months is Below the Poverty Level","Related children of the householder under 18 years",15,(+/-2.1),20.1,(+/-2.9),23.9,(+/-3.1),18.8,(+/-2.4),23.2,(+/-2.6),39,(+/-3.1),29.7,(+/-3.1)
Socioeconomic,"Percentage of Families and People whose Income in the Past 12 Months is Below the Poverty Level","Related children of the householder under 5 years",15.6,(+/-2.9),21.7,(+/-4.1),28.7,(+/-4.4),18.8,(+/-3.4),21.5,(+/-4.9),43.7,(+/-5.0),33.5,(+/-5.2)
Socioeconomic,"Percentage of Families and People whose Income in the Past 12 Months is Below the Poverty Level","Related children of the householder 5 to 17 years",14.8,(+/-2.5),19.5,(+/-3.1),22.1,(+/-3.3),18.8,(+/-2.8),23.7,(+/-2.6),37.3,(+/-3.4),28.4,(+/-3.3)
Socioeconomic,"Percentage of Families and People whose Income in the Past 12 Months is Below the Poverty Level","18 years and over",9.9,(+/-1.0),12,(+/-0.9),16.4,(+/-1.3),12.7,(+/-1.1),14.3,(+/-1.2),21.1,(+/-1.3),16.2,(+/-1.2)
Socioeconomic,"Percentage of Families and People whose Income in the Past 12 Months is Below the Poverty Level","65 years and over",7.3,(+/-1.3),5.7,(+/-1.1),9.1,(+/-1.3),8.2,(+/-1.3),11.1,(+/-1.8),13.7,(+/-1.6),10.3,(+/-1.5)
Socioeconomic,"Percentage of Families and People whose Income in the Past 12 Months is Below the Poverty Level","People in families",8.5,(+/-1.1),12,(+/-1.4),13.9,(+/-1.5),11.7,(+/-1.3),13.6,(+/-1.4),22.6,(+/-1.6),17,(+/-1.6)
Socioeconomic,"Percentage of Families and People whose Income in the Past 12 Months is Below the Poverty Level","Unrelated individuals 15 years and over",21.9,(+/-2.5),23,(+/-1.8),36.7,(+/-2.7),25.1,(+/-2.4),29.8,(+/-2.6),34.3,(+/-2.1),28.2,(+/-2.3)
Education,"School Enrollment","Population 3 years and over enrolled in school",178287,"(+/-5,532)",177332,"(+/-5,587)",167084,"(+/-4,576)",177522,"(+/-5,303)",163692,"(+/-4,414)",178395,"(+/-6,275)",155895,"(+/-3,904)"
Education,"School Enrollment","Nursery school, preschool",12629,"(+/-1,908)",8200,"(+/-1,396)",6252,"(+/-1,085)",8771,"(+/-1,506)",8887,"(+/-1,597)",7820,"(+/-1,490)",7219,"(+/-1,437)"
Education,"School Enrollment",Kindergarten,11052,"(+/-1,903)",9866,"(+/-1,967)",9805,"(+/-1,721)",13138,"(+/-2,031)",8812,"(+/-1,666)",9122,"(+/-1,485)",11557,"(+/-2,110)"
Education,"School Enrollment","Elementary school (grades 1-8)",72923,"(+/-3,237)",73816,"(+/-2,965)",64652,"(+/-2,855)",75470,"(+/-2,965)",73765,"(+/-3,182)",64392,"(+/-3,689)",64667,"(+/-2,461)"
Education,"School Enrollment","High school (grades 9-12)",36769,"(+/-2,770)",40691,"(+/-2,717)",35373,"(+/-2,401)",37132,"(+/-2,674)",37420,"(+/-2,533)",35267,"(+/-2,961)",34757,"(+/-2,030)"
Education,"School Enrollment","College or graduate school",44914,"(+/-3,754)",44759,"(+/-4,548)",51002,"(+/-3,171)",43011,"(+/-2,935)",34808,"(+/-3,434)",61794,"(+/-3,992)",37695,"(+/-3,159)"
Education,"Educational Attainment","Population 25 years and over",521530,"(+/-5,002)",467919,"(+/-4,632)",462263,"(+/-4,867)",474056,"(+/-4,198)",469048,"(+/-3,735)",430757,"(+/-7,055)",494259,"(+/-3,033)"
Education,"Educational Attainment","Less than 9th grade",11366,"(+/-2,227)",17509,"(+/-2,657)",25439,"(+/-2,364)",27087,"(+/-3,186)",20804,"(+/-2,575)",21791,"(+/-2,087)",23016,"(+/-2,419)"
Education,"Educational Attainment","9th to 12th grade, no diploma",24432,"(+/-2,853)",32048,"(+/-2,880)",51050,"(+/-4,093)",44740,"(+/-3,269)",51308,"(+/-4,118)",51500,"(+/-3,439)",51765,"(+/-3,673)"
Education,"Educational Attainment","High school graduate (includes equivalency)",122525,"(+/-6,904)",121708,"(+/-4,962)",147723,"(+/-4,884)",121960,"(+/-5,597)",146426,"(+/-5,643)",148246,"(+/-5,497)",168511,"(+/-6,518)"
Education,"Educational Attainment","Some college, no degree",110423,"(+/-6,231)",96256,"(+/-4,716)",97680,"(+/-4,853)",95881,"(+/-5,259)",95898,"(+/-4,544)",87229,"(+/-5,087)",102550,"(+/-5,159)"
Education,"Educational Attainment","Associate's degree",46248,"(+/-3,953)",43860,"(+/-3,463)",48827,"(+/-3,180)",41442,"(+/-3,087)",46045,"(+/-3,696)",39460,"(+/-3,073)",46838,"(+/-3,895)"
Education,"Educational Attainment","Bachelor's degree",134033,"(+/-6,014)",97588,"(+/-4,638)",59532,"(+/-3,404)",92537,"(+/-4,709)",73186,"(+/-4,145)",52874,"(+/-3,964)",66093,"(+/-3,776)"
Education,"Educational Attainment","Graduate or professional degree",72503,"(+/-4,375)",58950,"(+/-3,688)",32012,"(+/-2,620)",50409,"(+/-3,516)",35381,"(+/-3,174)",29657,"(+/-2,835)",35486,"(+/-3,070)"
Education,"Educational Attainment","Percent high school graduate or higher",93.1,(+/-0.7),89.4,(+/-0.8),83.5,(+/-0.9),84.8,(+/-1.0),84.6,(+/-1.0),83,(+/-0.8),84.9,(+/-0.9)
Education,"Educational Attainment","Percent bachelor's degree or higher",39.6,(+/-1.2),33.5,(+/-1.0),19.8,(+/-0.9),30.2,(+/-1.1),23.1,(+/-1.0),19.2,(+/-1.1),20.6,(+/-0.9)
Topic,Subject,Title,"District 01 Value","District 01 Flag","District 02 Value","District 02 Flag","District 03 Value","District 03 Flag","District 04 Value","District 04 Flag","District 05 Value","District 05 Flag","District 06 Value","District 06 Flag","District 07 Value","District 07 Flag"
Business,"Paid employees for pay period including March 12","Total for all sectors",222636,G,198015,G,172155,G,330850,G,180774,G,280354,G,222874,G
Business,"Paid employees for pay period including March 12","Agriculture, forestry, fishing and hunting",78,J,334,G,495,G,93,J,726,G,1293,G,877,G
Business,"Paid employees for pay period including March 12","Mining, quarrying, and oil and gas extraction",24,H,240,G,111,J,160,G,208,J,129,G,119,J
Business,"Paid employees for pay period including March 12",Utilities,697,J,2700,J,1913,H,606,J,3038,G,1457,J,1424,J
Business,"Paid employees for pay period including March 12",Construction,10770,G,10714,G,7223,G,13877,G,8461,G,13891,G,9906,G
Business,"Paid employees for pay period including March 12",Manufacturing,9578,G,20962,G,44625,G,51104,H,35883,G,37012,G,25500,G
